date,가상화폐거래소
2020-03-20,2.02847
2020-03-21,1.54486
2020-03-22,1.87399
2020-03-23,2.15609
2020-03-24,3.08973
2020-03-25,3.12332
2020-03-26,2.62627
2020-03-27,2.39118
2020-03-28,1.53815
2020-03-29,1.53815
2020-03-30,1.78667
2020-03-31,1.98817
2020-04-01,1.69263
2020-04-02,1.57173
2020-04-03,1.55158
2020-04-04,1.12842
2020-04-05,1.10155
2020-04-06,2.4382
2020-04-07,2.59269
2020-04-08,1.7195
2020-04-09,1.64562
2020-04-10,1.38366
2020-04-11,1.02095
2020-04-12,1.06125
2020-04-13,1.52471
2020-04-14,1.34336
2020-04-15,1.05454
2020-04-16,1.41053
2020-04-17,1.26276
2020-04-18,0.89333
2020-04-19,0.98737
2020-04-20,1.20231
2020-04-21,1.42396
2020-04-22,1.162
2020-04-23,0.97393
2020-04-24,1.18887
2020-04-25,0.83288
2020-04-26,0.87318
2020-04-27,1.55158
2020-04-28,1.30306
2020-04-29,1.48441
2020-04-30,1.70607
2020-05-01,1.14185
2020-05-02,0.87318
2020-05-03,0.81273
2020-05-04,1.04782
2020-05-05,0.92692
2020-05-06,1.37694
2020-05-07,1.06125
2020-05-08,0.97393
2020-05-09,0.75228
2020-05-10,0.64481
2020-05-11,0.89333
2020-05-12,0.91348
2020-05-13,1.13514
2020-05-14,0.80601
2020-05-15,1.04782
2020-05-16,0.77915
2020-05-17,0.71869
2020-05-18,0.89333
2020-05-19,0.91348
2020-05-20,1.01423
2020-05-21,0.94035
2020-05-22,0.83288
2020-05-23,0.49704
2020-05-24,0.57092
2020-05-25,0.71869
2020-05-26,0.81273
2020-05-27,0.81945
2020-05-28,0.84631
2020-05-29,0.90005
2020-05-30,0.54406
2020-05-31,0.8799
2020-06-01,1.39038
2020-06-02,1.15529
2020-06-03,1.22246
2020-06-04,1.0008
2020-06-05,0.84631
2020-06-06,0.64481
2020-06-07,0.85975
2020-06-08,1.28291
2020-06-09,1.1217
2020-06-10,1.39038
2020-06-11,1.42396
2020-06-12,1.26947
2020-06-13,0.759
2020-06-14,0.85303
2020-06-15,1.8807
2020-06-16,1.43068
2020-06-17,1.4777
2020-06-18,1.19559
2020-06-19,0.90005
2020-06-20,0.59779
2020-06-21,0.98737
2020-06-22,1.25604
2020-06-23,0.96722
2020-06-24,1.00752
2020-06-25,0.95378
2020-06-26,0.95378
2020-06-27,0.73885
2020-06-28,0.70526
2020-06-29,0.96722
2020-06-30,1.17544
2020-07-01,1.01423
2020-07-02,1.26276
2020-07-03,1.21574
2020-07-04,0.95378
2020-07-05,1.10155
2020-07-06,1.74637
2020-07-07,1.46426
2020-07-08,1.59188
2020-07-09,1.37023
2020-07-10,1.49785
2020-07-11,1.02767
2020-07-12,1.09484
2020-07-13,1.21574
2020-07-14,1.56501
2020-07-15,1.34336
2020-07-16,1.20231
2020-07-17,1.05454
2020-07-18,0.759
2020-07-19,0.63809
2020-07-20,0.93363
2020-07-21,1.14185
2020-07-22,1.00752
2020-07-23,1.20231
2020-07-24,0.90677
2020-07-25,0.69854
2020-07-26,0.81273
2020-07-27,1.39038
2020-07-28,1.5986
2020-07-29,1.78667
2020-07-30,1.83369
2020-07-31,1.6389
2020-08-01,1.35008
2020-08-02,3.42557
2020-08-03,2.97555
2020-08-04,3.27109
2020-08-05,2.68001
2020-08-06,2.13594
2020-08-07,2.29043
2020-08-08,1.44411
2020-08-09,1.61203
2020-08-10,2.19639
2020-08-11,2.46507
2020-08-12,1.83369
2020-08-13,2.26356
2020-08-14,2.12251
2020-08-15,1.70607
2020-08-16,1.4777
2020-08-17,1.69263
2020-08-18,2.59269
2020-08-19,1.95459
2020-08-20,1.81354
2020-08-21,2.08221
2020-08-22,1.50456
2020-08-23,1.56501
2020-08-24,2.09564
2020-08-25,2.00161
2020-08-26,2.41805
2020-08-27,1.8807
2020-08-28,1.77995
2020-08-29,1.5583
2020-08-30,1.63218
2020-08-31,2.02176
2020-09-01,2.31058
2020-09-02,2.4785
2020-09-03,2.44492
2020-09-04,2.3173
2020-09-05,1.65905
2020-09-06,1.56501
2020-09-07,2.18296
2020-09-08,2.07549
2020-09-09,1.91429
2020-09-10,2.05534
2020-09-11,2.12923
2020-09-12,1.4777
2020-09-13,1.66577
2020-09-14,1.92101
2020-09-15,1.69935
2020-09-16,1.43739
2020-09-17,1.55158
2020-09-18,1.7195
