date,주식수수료
2020-03-20,58.62068
2020-03-21,21.39544
2020-03-22,18.18915
2020-03-23,47.93305
2020-03-24,57.73341
2020-03-25,67.31195
2020-03-26,68.64287
2020-03-27,62.31094
2020-03-28,20.20568
2020-03-29,18.65295
2020-03-30,43.0127
2020-03-31,45.81568
2020-04-01,41.39947
2020-04-02,41.9036
2020-04-03,36.19681
2020-04-04,14.23674
2020-04-05,12.01855
2020-04-06,39.38294
2020-04-07,41.45997
2020-04-08,38.65698
2020-04-09,37.38656
2020-04-10,32.10324
2020-04-11,14.82153
2020-04-12,13.24863
2020-04-13,26.1343
2020-04-14,27.38455
2020-04-15,12.17987
2020-04-16,23.85561
2020-04-17,30.87315
2020-04-18,12.96632
2020-04-19,11.39342
2020-04-20,25.69066
2020-04-21,28.75579
2020-04-22,30.08671
2020-04-23,29.60274
2020-04-24,22.30288
2020-04-25,9.6592
2020-04-26,8.46944
2020-04-27,22.16172
2020-04-28,22.02056
2020-04-29,19.80237
2020-04-30,8.57027
2020-05-01,6.67473
2020-05-02,5.36398
2020-05-03,5.86811
2020-05-04,15.40633
2020-05-05,8.48961
2020-05-06,19.88304
2020-05-07,17.62452
2020-05-08,18.89493
2020-05-09,9.05424
2020-05-10,6.43274
2020-05-11,15.44666
2020-05-12,18.65295
2020-05-13,20.00403
2020-05-14,19.98386
2020-05-15,18.65295
2020-05-16,6.5739
2020-05-17,6.13026
2020-05-18,17.68501
2020-05-19,21.59709
2020-05-20,22.50453
2020-05-21,22.14156
2020-05-22,19.54022
2020-05-23,7.98548
2020-05-24,6.5134
2020-05-25,19.72171
2020-05-26,25.20669
2020-05-27,23.91611
2020-05-28,22.70619
2020-05-29,17.927
2020-05-30,7.44101
2020-05-31,6.15043
2020-06-01,20.02419
2020-06-02,23.91611
2020-06-03,27.38455
2020-06-04,25.44867
2020-06-05,25.14619
2020-06-06,9.61887
2020-06-07,8.16696
2020-06-08,21.69792
2020-06-09,24.82355
2020-06-10,23.37164
2020-06-11,22.48437
2020-06-12,21.4761
2020-06-13,7.32002
2020-06-14,8.10647
2020-06-15,18.53196
2020-06-16,24.0371
2020-06-17,22.64569
2020-06-18,22.28271
2020-06-19,19.39907
2020-06-20,7.76366
2020-06-21,6.93688
2020-06-22,18.71345
2020-06-23,18.65295
2020-06-24,20.50816
2020-06-25,20.38717
2020-06-26,19.09659
2020-06-27,7.13853
2020-06-28,5.5253
2020-06-29,13.28896
2020-06-30,16.25327
2020-07-01,15.64831
2020-07-02,16.93889
2020-07-03,19.70155
2020-07-04,6.77555
2020-07-05,6.27142
2020-07-06,19.25791
2020-07-07,21.05263
2020-07-08,21.87941
2020-07-09,23.41197
2020-07-10,18.73361
2020-07-11,8.65093
2020-07-12,8.48961
2020-07-13,21.07279
2020-07-14,21.43577
2020-07-15,22.66586
2020-07-16,21.13329
2020-07-17,19.64105
2020-07-18,8.73159
2020-07-19,6.49324
2020-07-20,20.488
2020-07-21,26.37628
2020-07-22,29.0986
2020-07-23,26.47711
2020-07-24,22.88767
2020-07-25,9.17523
2020-07-26,10.14317
2020-07-27,23.49263
2020-07-28,28.13067
2020-07-29,27.44504
2020-07-30,24.94454
2020-07-31,23.27082
2020-08-01,9.37689
2020-08-02,7.78382
2020-08-03,24.37991
2020-08-04,28.87678
2020-08-05,30.1472
2020-08-06,31.35712
2020-08-07,29.01794
2020-08-08,11.31276
2020-08-09,11.91772
2020-08-10,31.33696
