date,국채
2020-03-20,16.87555
2020-03-21,9.80304
2020-03-22,19.50164
2020-03-23,30.54312
2020-03-24,22.63503
2020-03-25,14.18979
2020-03-26,24.72396
2020-03-27,17.81557
2020-03-28,9.68367
2020-03-29,11.29513
2020-03-30,23.69441
2020-03-31,17.68128
2020-04-01,14.80155
2020-04-02,12.01133
2020-04-03,9.4897
2020-04-04,6.95314
2020-04-05,6.46075
2020-04-06,8.89286
2020-04-07,17.08445
2020-04-08,19.14353
2020-04-09,10.60877
2020-04-10,8.65413
2020-04-11,5.52074
2020-04-12,6.71441
2020-04-13,14.24947
2020-04-14,9.32557
2020-04-15,7.66935
2020-04-16,14.89107
2020-04-17,12.75738
2020-04-18,10.2059
2020-04-19,21.35183
2020-04-20,50.96985
2020-04-21,32.02029
2020-04-22,32.64697
2020-04-23,83.36317
2020-04-24,85.24321
2020-04-25,40.67442
2020-04-26,29.0361
2020-04-27,21.15786
2020-04-28,23.91823
2020-04-29,23.66457
2020-04-30,29.97612
2020-05-01,12.80214
2020-05-02,6.95314
2020-05-03,7.80364
2020-05-04,8.35571
2020-05-05,7.11727
2020-05-06,7.87824
2020-05-07,9.4897
2020-05-08,9.1316
2020-05-09,6.44583
2020-05-10,7.08743
2020-05-11,13.44374
2020-05-12,8.80334
2020-05-13,7.54998
2020-05-14,9.04207
2020-05-15,9.75828
2020-05-16,6.66965
2020-05-17,9.53446
2020-05-18,8.78842
2020-05-19,7.63951
2020-05-20,7.19188
2020-05-21,6.68457
2020-05-22,7.22172
2020-05-23,4.3569
2020-05-24,5.11787
2020-05-25,6.62488
2020-05-26,9.80304
2020-05-27,7.54998
2020-05-28,7.46045
2020-05-29,8.07221
2020-05-30,4.34198
2020-05-31,4.9985
2020-06-01,7.02775
2020-06-02,6.6398
2020-06-03,13.9809
2020-06-04,11.99641
2020-06-05,7.01283
2020-06-06,5.37153
2020-06-07,5.32676
2020-06-08,7.08743
2020-06-09,7.01283
2020-06-10,7.11727
2020-06-11,6.83378
2020-06-12,6.5652
2020-06-13,4.83437
2020-06-14,5.02834
2020-06-15,5.96836
2020-06-16,6.89346
2020-06-17,5.83407
2020-06-18,5.77439
2020-06-19,5.11787
2020-06-20,4.02864
2020-06-21,4.55088
2020-06-22,5.16263
2020-06-23,5.65502
2020-06-24,5.46105
2020-06-25,5.86392
2020-06-26,4.22262
2020-06-27,3.38704
2020-06-28,3.52133
2020-06-29,4.47627
2020-06-30,5.38645
2020-07-01,4.49119
2020-07-02,5.23724
2020-07-03,4.89406
