date,근로기준법
2020-03-20,60.8641
2020-03-21,15.64933
2020-03-22,16.20195
2020-03-23,72.0422
2020-03-24,72.94649
2020-03-25,72.24315
2020-03-26,74.67972
2020-03-27,62.64757
2020-03-28,16.98065
2020-03-29,16.05124
2020-03-30,74.02662
2020-03-31,81.38658
2020-04-01,73.54935
2020-04-02,75.70962
2020-04-03,62.84853
2020-04-04,15.29766
2020-04-05,15.62421
2020-04-06,73.44888
2020-04-07,77.34237
2020-04-08,78.95001
2020-04-09,81.2861
2020-04-10,67.47048
2020-04-11,15.37302
2020-04-12,16.45315
2020-04-13,80.05526
2020-04-14,80.70836
2020-04-15,25.6217
2020-04-16,79.12584
2020-04-17,73.82567
2020-04-18,16.6541
2020-04-19,18.11102
2020-04-20,84.65209
2020-04-21,88.74654
2020-04-22,86.30997
2020-04-23,88.92238
2020-04-24,80.60788
2020-04-25,17.63376
2020-04-26,19.69354
2020-04-27,97.81461
2020-04-28,97.71414
2020-04-29,93.61969
2020-04-30,32.1276
2020-05-01,67.14393
2020-05-02,14.06681
2020-05-03,15.07159
2020-05-04,48.55563
2020-05-05,17.50816
2020-05-06,68.52549
2020-05-07,65.31022
2020-05-08,55.11178
2020-05-09,14.99623
2020-05-10,13.7905
2020-05-11,66.79226
2020-05-12,65.23486
2020-05-13,65.63677
2020-05-14,64.88319
2020-05-15,57.54835
2020-05-16,15.04647
2020-05-17,14.87063
2020-05-18,65.31022
2020-05-19,69.63074
2020-05-20,68.04822
2020-05-21,68.90228
2020-05-22,57.97538
2020-05-23,14.77015
2020-05-24,13.63978
2020-05-25,67.4956
2020-05-26,70.63551
2020-05-27,78.92489
2020-05-28,78.89977
2020-05-29,70.08289
2020-05-30,18.73901
2020-05-31,19.06556
2020-06-01,74.30293
2020-06-02,80.13062
2020-06-03,80.85908
2020-06-04,70.66063
2020-06-05,63.35091
2020-06-06,15.62421
2020-06-07,16.45315
2020-06-08,68.12358
2020-06-09,70.18337
2020-06-10,70.50992
2020-06-11,67.42024
2020-06-12,58.87967
2020-06-13,14.46872
2020-06-14,16.37779
2020-06-15,69.7061
2020-06-16,72.39387
2020-06-17,71.89148
2020-06-18,68.07334
2020-06-19,59.63325
2020-06-20,14.04169
2020-06-21,13.31323
2020-06-22,70.33408
2020-06-23,71.46445
2020-06-24,72.94649
2020-06-25,66.79226
2020-06-26,62.34614
2020-06-27,16.25219
2020-06-28,17.4328
2020-06-29,72.09243
2020-06-30,80.58276
2020-07-01,76.96558
2020-07-02,68.45013
2020-07-03,61.34137
2020-07-04,14.01657
2020-07-05,15.57397
2020-07-06,67.11881
2020-07-07,70.05777
2020-07-08,69.98241
2020-07-09,66.44059
2020-07-10,54.60939
2020-07-11,12.08239
2020-07-12,14.06681
2020-07-13,65.51117
2020-07-14,68.8018
2020-07-15,69.35443
2020-07-16,66.91785
2020-07-17,58.98015
2020-07-18,14.26777
2020-07-19,18.48781
2020-07-20,72.59482
2020-07-21,89.52524
2020-07-22,79.95478
2020-07-23,75.08163
2020-07-24,62.4215
2020-07-25,14.59432
2020-07-26,14.92087
2020-07-27,70.30896
2020-07-28,72.5697
2020-07-29,68.04822
2020-07-30,66.36523
2020-07-31,57.59859
2020-08-01,14.39336
2020-08-02,13.9161
2020-08-03,58.27681
2020-08-04,60.96458
2020-08-05,61.16553
2020-08-06,59.68349
2020-08-07,54.53403
2020-08-08,15.2223
2020-08-09,16.17683
2020-08-10,63.92866
2020-08-11,65.31022
2020-08-12,64.65712
2020-08-13,61.61768
2020-08-14,50.16327
2020-08-15,12.05727
2020-08-16,9.89701
2020-08-17,19.21627
2020-08-18,53.52926
2020-08-19,55.5388
2020-08-20,56.99572
2020-08-21,49.48505
2020-08-22,11.55488
2020-08-23,13.11228
2020-08-24,60.58779
2020-08-25,62.14518
2020-08-26,65.00879
2020-08-27,63.25043
2020-08-28,53.22783
2020-08-29,12.4843
2020-08-30,15.37302
2020-08-31,63.45139
2020-09-01,61.99447
2020-09-02,66.91785
2020-09-03,60.38683
2020-09-04,53.5795
2020-09-05,13.16252
2020-09-06,12.43406
2020-09-07,60.56267
2020-09-08,63.95378
2020-09-09,65.43582
2020-09-10,63.8533
2020-09-11,53.67997
2020-09-12,11.98191
2020-09-13,14.06681
2020-09-14,63.40115
2020-09-15,63.52675
2020-09-16,61.49208
2020-09-17,63.04948
2020-09-18,52.82592
2020-09-19,13.74026
2020-09-20,13.86586
2020-09-21,57.77442
2020-09-22,63.60211
2020-09-23,59.10575
2020-09-24,60.7385
2020-09-25,49.83672
2020-09-26,11.7056
2020-09-27,13.41371
2020-09-28,58.02562
2020-09-29,43.10474
2020-09-30,10.12308
2020-10-01,6.48078
2020-10-02,8.03818
2020-10-03,9.52022
2020-10-04,15.47349
2020-10-05,64.75759
2020-10-06,68.75156
2020-10-07,66.03868
2020-10-08,60.41195
2020-10-09,17.25697
2020-10-10,14.89575
2020-10-11,15.62421
2020-10-12,63.25043
2020-10-13,66.99321
2020-10-14,65.1595
2020-10-15,61.91911
2020-10-16,55.1369
2020-10-17,16.07636
2020-10-18,18.53805
2020-10-19,63.75282
2020-10-20,63.8533
2020-10-21,68.50037
2020-10-22,64.23009
2020-10-23,55.79
2020-10-24,14.41848
2020-10-25,14.82039
2020-10-26,65.48605
2020-10-27,69.12835
2020-10-28,64.02913
2020-10-29,66.13916
2020-10-30,53.07711
2020-10-31,15.14694
2020-11-01,14.39336
2020-11-02,63.37603
2020-11-03,68.12358
2020-11-04,66.99321
2020-11-05,62.44662
2020-11-06,56.19191
2020-11-07,13.96634
2020-11-08,13.99145
2020-11-09,59.28158
2020-11-10,64.23009
2020-11-11,60.68826
2020-11-12,67.57096
2020-11-13,65.43582
2020-11-14,19.89449
2020-11-15,20.07033
2020-11-16,63.55187
2020-11-17,67.06857
2020-11-18,67.69655
2020-11-19,67.64632
2020-11-20,54.15724
2020-11-21,13.94122
2020-11-22,14.34312
2020-11-23,68.50037
2020-11-24,73.27304
2020-11-25,67.21929
2020-11-26,69.7061
2020-11-27,60.38683
2020-11-28,14.92087
2020-11-29,18.03566
2020-11-30,73.09721
2020-12-01,73.77543
2020-12-02,71.06254
2020-12-03,67.97287
2020-12-04,61.5172
2020-12-05,15.54885
2020-12-06,19.6433
