date,시간외거래
2020-03-20,28.74306
2020-03-21,4.48243
2020-03-22,3.69685
2020-03-23,29.71349
2020-03-24,23.05914
2020-03-25,43.39186
2020-03-26,36.73752
2020-03-27,39.2329
2020-03-28,5.22181
2020-03-29,4.48243
2020-03-30,35.16635
2020-03-31,37.33826
2020-04-01,30.96118
2020-04-02,29.80591
2020-04-03,25.55452
2020-04-04,3.55822
2020-04-05,3.28096
2020-04-06,27.40295
2020-04-07,28.74306
2020-04-08,32.30129
2020-04-09,31.4695
2020-04-10,24.86136
2020-04-11,3.51201
2020-04-12,3.97412
2020-04-13,22.96672
2020-04-14,20.10166
2020-04-15,4.11275
2020-04-16,18.34565
2020-04-17,20.24029
2020-04-18,3.09611
2020-04-19,4.06654
2020-04-20,24.5841
2020-04-21,22.92051
2020-04-22,29.89833
2020-04-23,37.98521
2020-04-24,23.98336
2020-04-25,2.54158
2020-04-26,1.66358
2020-04-27,20.2865
2020-04-28,19.26987
2020-04-29,15.48059
2020-04-30,3.41959
2020-05-01,2.77264
2020-05-02,0.83179
2020-05-03,1.10905
2020-05-04,11.96857
2020-05-05,2.44916
2020-05-06,13.30868
2020-05-07,12.80036
2020-05-08,10.48983
2020-05-09,1.70979
2020-05-10,1.43253
2020-05-11,12.70794
2020-05-12,16.21996
2020-05-13,19.08502
2020-05-14,18.06839
2020-05-15,18.25323
2020-05-16,2.07948
2020-05-17,2.5878
2020-05-18,14.46395
2020-05-19,17.42144
2020-05-20,15.24953
2020-05-21,19.91682
2020-05-22,17.2828
2020-05-23,1.61737
2020-05-24,1.80221
2020-05-25,15.89648
2020-05-26,18.06839
2020-05-27,21.85767
2020-05-28,20.05545
2020-05-29,17.42144
2020-05-30,2.21811
2020-05-31,1.61737
2020-06-01,15.34195
2020-06-02,21.39556
2020-06-03,24.76894
2020-06-04,18.76155
2020-06-05,14.46395
2020-06-06,1.61737
2020-06-07,1.66358
2020-06-08,12.98521
2020-06-09,17.19038
2020-06-10,16.4048
2020-06-11,21.9963
2020-06-12,21.48798
2020-06-13,2.40295
2020-06-14,2.40295
2020-06-15,19.36229
2020-06-16,70.97966
2020-06-17,31.79297
2020-06-18,25.09242
2020-06-19,18.1146
2020-06-20,2.1719
2020-06-21,2.5878
2020-06-22,17.56007
2020-06-23,13.30868
2020-06-24,18.71534
2020-06-25,15.89648
2020-06-26,11.13678
2020-06-27,1.15526
2020-06-28,1.94085
2020-06-29,11.59889
2020-06-30,13.44731
2020-07-01,12.75415
2020-07-02,17.83733
2020-07-03,13.12384
2020-07-04,1.34011
2020-07-05,1.15526
2020-07-06,13.49353
2020-07-07,16.12754
2020-07-08,12.29205
2020-07-09,14.46395
2020-07-10,12.43068
2020-07-11,1.70979
2020-07-12,2.63401
2020-07-13,14.04805
2020-07-14,15.9889
2020-07-15,15.9889
2020-07-16,12.70794
2020-07-17,12.33826
2020-07-18,1.43253
2020-07-19,1.52495
2020-07-20,14.00184
2020-07-21,20.7024
2020-07-22,18.9926
2020-07-23,21.11829
2020-07-24,29.80591
2020-07-25,3.23475
2020-07-26,2.68022
2020-07-27,22.31977
2020-07-28,20.2865
2020-07-29,21.30314
2020-07-30,19.77818
2020-07-31,20.14787
2020-08-01,1.89463
2020-08-02,2.03327
2020-08-03,18.43807
2020-08-04,21.16451
2020-08-05,21.44177
2020-08-06,22.31977
2020-08-07,17.74491
2020-08-08,2.86506
2020-08-09,3.74306
2020-08-10,21.34935
2020-08-11,21.95009
2020-08-12,23.38262
2020-08-13,28.92791
2020-08-14,20.65619
2020-08-15,1.98706
2020-08-16,1.47874
2020-08-17,2.77264
2020-08-18,19.59334
2020-08-19,19.13123
2020-08-20,24.53789
2020-08-21,19.22365
2020-08-22,2.03327
2020-08-23,1.89463
2020-08-24,18.1146
2020-08-25,18.20702
2020-08-26,22.45841
2020-08-27,21.90388
2020-08-28,17.83733
2020-08-29,2.21811
2020-08-30,1.80221
2020-08-31,21.25693
2020-09-01,18.48428
2020-09-02,21.67282
2020-09-03,18.66913
2020-09-04,26.61737
2020-09-05,6.19223
2020-09-06,4.25138
2020-09-07,23.47504
2020-09-08,28.60443
2020-09-09,28.60443
2020-09-10,30.03696
2020-09-11,20.24029
2020-09-12,1.94085
2020-09-13,3.23475
2020-09-14,17.05175
2020-09-15,19.8706
