date,플레이댑
2020-03-25,0.00457
2020-03-26,0.00548
2020-05-21,0.0064
2020-05-22,0.01097
2020-05-25,0.00731
2020-05-26,0.00457
2020-06-04,0.02287
2020-06-05,0.05123
2020-06-06,0.00914
2020-06-07,0.00823
2020-06-08,0.02378
2020-06-09,0.00731
2020-06-10,0.0064
2020-06-11,0.05854
2020-06-12,0.03476
2020-06-13,0.00457
2020-06-15,0.02287
2020-06-16,0.02744
2020-06-17,0.01829
2020-06-18,0.04025
2020-06-19,0.01921
2020-06-22,0.03933
2020-06-23,0.01006
2020-06-24,0.01463
2020-06-25,0.02195
2020-06-26,0.01463
2020-06-27,0.00731
2020-06-28,0.01921
2020-06-29,0.01189
2020-06-30,0.00914
2020-07-01,0.01097
2020-07-02,0.01189
2020-07-03,0.02012
2020-07-07,0.0064
2020-07-08,0.00914
2020-07-10,0.00731
2020-07-13,0.01189
2020-07-14,0.0247
2020-07-15,0.01555
2020-07-19,0.00457
2020-07-20,0.01006
2020-07-21,0.02378
2020-07-22,0.01646
2020-07-23,0.01463
2020-07-24,0.00731
2020-07-27,0.02104
2020-07-28,0.01372
2020-07-29,0.00457
2020-07-30,0.0064
2020-08-03,0.01006
2020-08-04,0.06312
2020-08-05,0.02195
2020-08-06,0.01921
2020-08-07,0.01372
2020-08-08,0.0128
2020-08-09,0.01738
2020-08-10,0.02287
2020-08-11,0.00731
2020-08-12,0.0128
2020-08-13,0.02012
2020-08-14,0.00914
2020-08-15,0.00914
2020-08-16,0.00457
2020-08-18,0.01829
2020-08-19,0.00548
2020-08-20,0.0128
2020-08-21,0.01097
2020-08-22,0.00457
2020-08-24,0.02378
2020-08-25,0.01829
2020-08-26,0.01921
2020-08-27,0.01921
2020-08-28,0.07593
2020-08-29,0.02927
2020-08-30,0.03476
2020-08-31,0.02653
2020-09-01,0.03384
2020-09-02,0.01646
2020-09-03,0.01921
2020-09-04,0.0311
2020-09-05,0.0064
2020-09-06,0.0064
2020-09-07,0.03476
2020-09-08,0.03293
2020-09-09,0.04116
2020-09-10,0.45649
2020-09-11,0.22138
2020-09-12,0.06037
2020-09-13,0.07135
2020-09-14,0.2287
2020-09-15,0.16924
2020-09-16,0.15643
2020-09-17,0.15552
2020-09-18,0.10612
2020-09-19,0.04208
2020-09-20,0.04299
2020-09-21,0.07044
2020-09-22,0.04848
2020-09-23,0.04665
2020-09-24,0.09331
2020-09-25,0.10154
2020-09-26,0.04208
2020-09-27,0.02927
2020-09-28,0.04848
2020-09-29,0.57725
2020-09-30,0.28542
2020-10-01,0.11526
2020-10-02,0.13447
2020-10-03,0.09605
2020-10-04,0.09788
2020-10-05,0.17381
2020-10-06,0.16192
2020-10-07,0.15735
2020-10-08,0.0869
2020-10-09,0.49126
2020-10-10,0.08324
2020-10-11,0.04848
2020-10-12,0.08324
2020-10-13,0.04482
2020-10-14,0.05854
2020-10-15,0.06037
2020-10-16,0.04574
2020-10-17,0.01555
2020-10-18,0.02927
2020-10-19,0.04482
2020-10-20,0.06312
2020-10-21,0.04757
2020-10-22,0.04391
2020-10-23,0.0375
2020-10-24,0.01829
2020-10-25,0.05488
2020-10-26,0.05397
2020-10-27,0.04208
2020-10-28,0.03293
2020-10-29,0.02378
2020-10-30,0.01189
2020-10-31,0.02012
2020-11-01,0.01555
2020-11-02,0.02195
2020-11-03,0.0311
2020-11-04,0.02012
2020-11-05,0.03659
2020-11-06,0.02195
2020-11-07,0.01738
2020-11-08,0.00823
2020-11-09,0.01829
2020-11-10,0.02744
2020-11-11,0.03018
2020-11-12,0.03293
2020-11-13,0.02561
2020-11-14,0.0247
2020-11-15,0.02104
2020-11-16,0.02653
2020-11-17,0.04025
2020-11-18,0.0247
2020-11-19,0.02287
2020-11-20,0.02927
2020-11-21,0.03476
2020-11-22,0.02653
2020-11-23,0.05488
2020-11-24,0.06952
2020-11-25,0.10703
2020-11-26,0.03933
2020-11-27,0.03018
2020-11-28,0.03201
2020-11-29,0.01921
2020-11-30,0.04299
2020-12-01,0.0558
2020-12-02,0.25706
2020-12-03,0.13082
2020-12-04,0.05854
2020-12-05,0.05214
2020-12-06,0.03201
2020-12-07,0.04391
2020-12-08,0.03842
2020-12-09,0.03659
2020-12-10,0.7593
2020-12-11,0.23968
2020-12-12,0.15826
2020-12-13,0.0741
2020-12-14,0.07501
2020-12-15,0.06586
2020-12-16,1.89644
2020-12-17,0.94684
2020-12-18,0.69527
2020-12-19,0.23419
2020-12-20,0.17839
2020-12-21,0.20034
2020-12-22,0.12533
2020-12-23,0.1299
2020-12-24,0.12258
2020-12-25,0.05397
2020-12-26,0.06678
2020-12-27,0.11526
2020-12-28,0.08599
2020-12-29,0.07135
2020-12-30,0.0622
2020-12-31,0.10337
2021-01-01,0.07135
2021-01-02,0.0622
2021-01-03,0.08507
2021-01-04,0.1235
2021-01-05,0.09239
2021-01-06,0.12899
2021-01-07,0.16009
2021-01-08,0.13447
2021-01-09,0.11984
2021-01-10,0.15552
2021-01-11,0.11435
2021-01-12,0.08141
2021-01-13,0.0558
2021-01-14,0.34489
2021-01-15,0.22321
2021-01-16,0.10429
2021-01-17,0.09605
2021-01-18,0.09422
2021-01-19,0.14545
2021-01-20,0.16466
2021-01-21,0.1052
2021-01-22,0.0869
2021-01-23,0.07867
2021-01-24,0.07593
2021-01-25,0.11069
2021-01-26,0.08507
2021-01-27,0.06403
2021-01-28,0.08507
2021-01-29,0.05763
2021-01-30,0.04208
2021-01-31,0.06586
2021-02-01,0.09056
2021-02-02,0.0988
2021-02-03,0.08507
2021-02-04,0.18296
2021-02-05,0.10794
2021-02-06,0.06037
2021-02-07,0.06129
2021-02-08,0.07044
2021-02-09,0.11801
2021-02-10,0.11343
2021-02-11,0.11069
2021-02-12,0.09331
2021-02-13,0.1235
2021-02-14,0.18022
2021-02-15,0.12258
2021-02-16,0.0988
2021-02-17,100.0
2021-02-18,53.34553
2021-02-19,3.96395
2021-02-20,1.86625
2021-02-21,0.90934
2021-02-22,0.92397
2021-02-23,0.5617
2021-02-24,0.50498
2021-02-25,0.4629
2021-02-26,0.47937
2021-02-27,0.30646
2021-02-28,0.20858
2021-03-01,0.14362
2021-03-02,0.20675
2021-03-03,0.35312
2021-03-04,0.68154
2021-03-05,0.72637
2021-03-06,0.3275
2021-03-07,0.22321
2021-03-08,0.49034
2021-03-09,0.58732
2021-03-10,0.81328
