date,비상장
2020-03-20,23.68421
2020-03-21,10.52631
2020-03-22,11.11111
2020-03-23,23.9766
2020-03-24,24.269
2020-03-25,32.16374
2020-03-26,25.43859
2020-03-27,23.09941
2020-03-28,19.88304
2020-03-29,7.89473
2020-03-30,27.19298
2020-03-31,28.07017
2020-04-01,24.8538
2020-04-02,21.05263
2020-04-03,21.63742
2020-04-04,11.6959
2020-04-05,11.6959
2020-04-06,22.80701
2020-04-07,24.5614
2020-04-08,23.9766
2020-04-09,19.29824
2020-04-10,24.8538
2020-04-11,8.77192
2020-04-12,10.23391
2020-04-13,20.46783
2020-04-14,17.83625
2020-04-15,13.45029
2020-04-16,21.92982
2020-04-17,21.63742
2020-04-18,11.11111
2020-04-19,7.89473
2020-04-20,23.9766
2020-04-21,19.59064
2020-04-22,41.22807
2020-04-23,26.02339
2020-04-24,21.34502
2020-04-25,12.2807
2020-04-26,11.9883
2020-04-27,21.34502
2020-04-28,24.8538
2020-04-29,19.59064
2020-04-30,12.2807
2020-05-01,9.06432
2020-05-02,7.30994
2020-05-03,5.26315
2020-05-04,14.61988
2020-05-05,9.94152
2020-05-06,17.83625
2020-05-07,19.59064
2020-05-08,21.63742
2020-05-09,9.35672
2020-05-10,15.20467
2020-05-11,19.88304
2020-05-12,23.68421
2020-05-13,21.63742
2020-05-14,25.43859
2020-05-15,18.71345
2020-05-16,11.11111
2020-05-17,11.6959
2020-05-18,25.14619
2020-05-19,23.9766
2020-05-20,23.39181
2020-05-21,23.09941
2020-05-22,19.00584
2020-05-23,9.94152
2020-05-24,9.06432
2020-05-25,24.269
2020-05-26,24.269
2020-05-27,22.22222
2020-05-28,29.53216
2020-05-29,21.34502
2020-05-30,10.52631
2020-05-31,11.4035
2020-06-01,23.09941
2020-06-02,19.59064
2020-06-03,24.269
2020-06-04,23.9766
2020-06-05,26.02339
2020-06-06,9.06432
2020-06-07,13.74269
2020-06-08,21.63742
2020-06-09,25.43859
2020-06-10,22.51461
2020-06-11,16.37426
2020-06-12,21.92982
2020-06-13,7.30994
2020-06-14,12.57309
2020-06-15,21.05263
2020-06-16,22.51461
2020-06-17,22.51461
2020-06-18,20.76023
2020-06-19,19.00584
2020-06-20,13.45029
2020-06-21,12.2807
2020-06-22,21.34502
2020-06-23,26.60818
2020-06-24,30.11695
2020-06-25,25.43859
2020-06-26,22.22222
2020-06-27,10.52631
2020-06-28,11.11111
2020-06-29,21.63742
2020-06-30,22.22222
2020-07-01,19.29824
2020-07-02,20.76023
2020-07-03,22.22222
2020-07-04,9.06432
2020-07-05,11.4035
2020-07-06,29.53216
2020-07-07,27.19298
2020-07-08,33.33333
2020-07-09,35.08771
2020-07-10,28.36257
2020-07-11,9.64912
2020-07-12,11.6959
2020-07-13,23.68421
2020-07-14,24.5614
2020-07-15,24.8538
2020-07-16,23.68421
2020-07-17,23.09941
2020-07-18,19.29824
2020-07-19,18.42105
2020-07-20,28.65497
2020-07-21,27.48538
2020-07-22,25.43859
2020-07-23,33.62573
2020-07-24,22.80701
2020-07-25,11.9883
2020-07-26,12.2807
2020-07-27,28.65497
2020-07-28,22.51461
2020-07-29,24.5614
2020-07-30,21.63742
2020-07-31,23.09941
2020-08-01,9.94152
2020-08-02,8.47953
2020-08-03,18.12865
2020-08-04,23.39181
2020-08-05,25.14619
2020-08-06,25.73099
2020-08-07,33.91812
2020-08-08,12.86549
2020-08-09,11.11111
2020-08-10,22.80701
2020-08-11,23.9766
2020-08-12,22.22222
2020-08-13,24.5614
2020-08-14,27.48538
2020-08-15,9.64912
2020-08-16,7.30994
2020-08-17,17.83625
2020-08-18,19.59064
2020-08-19,26.60818
2020-08-20,20.46783
2020-08-21,28.65497
2020-08-22,11.11111
2020-08-23,10.23391
2020-08-24,24.269
2020-08-25,31.87134
2020-08-26,32.74853
2020-08-27,31.57894
2020-08-28,32.74853
2020-08-29,17.54385
2020-08-30,14.32748
2020-08-31,33.04093
2020-09-01,37.71929
2020-09-02,39.76608
2020-09-03,44.73684
2020-09-04,33.91812
2020-09-05,19.59064
2020-09-06,25.73099
2020-09-07,42.10526
2020-09-08,31.87134
2020-09-09,41.22807
2020-09-10,50.29239
2020-09-11,48.53801
2020-09-12,20.46783
2020-09-13,21.63742
2020-09-14,41.52046
2020-09-15,30.70175
2020-09-16,40.93567
2020-09-17,39.47368
2020-09-18,28.36257
2020-09-19,10.52631
2020-09-20,12.86549
2020-09-21,21.05263
2020-09-22,23.68421
2020-09-23,31.57894
2020-09-24,33.62573
2020-09-25,22.51461
2020-09-26,9.94152
2020-09-27,11.4035
2020-09-28,25.43859
2020-09-29,21.05263
2020-09-30,12.57309
2020-10-01,8.47953
2020-10-02,7.60233
2020-10-03,11.9883
2020-10-04,10.52631
2020-10-05,28.65497
2020-10-06,36.2573
2020-10-07,22.80701
2020-10-08,24.269
2020-10-09,15.49707
2020-10-10,11.9883
2020-10-11,14.61988
2020-10-12,26.02339
2020-10-13,32.16374
2020-10-14,26.90058
2020-10-15,35.67251
2020-10-16,28.07017
2020-10-17,15.49707
2020-10-18,15.49707
2020-10-19,29.53216
2020-10-20,26.31578
2020-10-21,26.02339
2020-10-22,21.05263
2020-10-23,19.29824
2020-10-24,14.61988
2020-10-25,16.37426
2020-10-26,26.02339
2020-10-27,21.34502
2020-10-28,24.8538
2020-10-29,21.63742
2020-10-30,14.61988
2020-10-31,9.06432
2020-11-01,9.94152
2020-11-02,20.46783
2020-11-03,20.46783
2020-11-04,25.43859
2020-11-05,16.95906
2020-11-06,21.05263
2020-11-07,9.06432
2020-11-08,7.01754
2020-11-09,23.9766
2020-11-10,18.42105
2020-11-11,23.39181
2020-11-12,24.8538
2020-11-13,22.51461
2020-11-14,9.94152
2020-11-15,11.4035
2020-11-16,22.80701
2020-11-17,27.77777
2020-11-18,47.95321
2020-11-19,29.82456
2020-11-20,16.08187
2020-11-21,9.06432
2020-11-22,12.2807
2020-11-23,31.57894
2020-11-24,25.43859
2020-11-25,26.90058
2020-11-26,25.43859
2020-11-27,35.67251
2020-11-28,16.08187
2020-11-29,14.03508
2020-11-30,25.14619
2020-12-01,28.65497
2020-12-02,30.99415
2020-12-03,20.46783
2020-12-04,32.16374
2020-12-05,13.45029
2020-12-06,22.80701
2020-12-07,41.52046
2020-12-08,26.31578
2020-12-09,36.8421
2020-12-10,33.91812
2020-12-11,31.87134
2020-12-12,13.45029
2020-12-13,10.23391
2020-12-14,28.94736
2020-12-15,30.11695
2020-12-16,26.31578
2020-12-17,28.36257
2020-12-18,25.14619
2020-12-19,12.57309
2020-12-20,12.86549
2020-12-21,28.65497
2020-12-22,33.04093
2020-12-23,27.77777
2020-12-24,29.82456
2020-12-25,10.81871
2020-12-26,13.45029
2020-12-27,16.08187
2020-12-28,29.82456
2020-12-29,32.16374
2020-12-30,30.11695
2020-12-31,20.17543
2021-01-01,16.66666
2021-01-02,16.66666
2021-01-03,15.78947
2021-01-04,39.47368
2021-01-05,36.2573
2021-01-06,38.59649
2021-01-07,38.88888
2021-01-08,47.95321
2021-01-09,28.94736
2021-01-10,25.73099
2021-01-11,41.22807
2021-01-12,38.30409
2021-01-13,45.32163
2021-01-14,37.4269
2021-01-15,40.35087
2021-01-16,23.68421
2021-01-17,26.90058
2021-01-18,37.4269
2021-01-19,42.10526
2021-01-20,43.85964
2021-01-21,45.61403
2021-01-22,37.71929
2021-01-23,36.8421
2021-01-24,24.5614
2021-01-25,51.16959
2021-01-26,54.09356
2021-01-27,52.04678
2021-01-28,40.93567
2021-01-29,36.5497
2021-01-30,19.88304
2021-01-31,22.22222
2021-02-01,36.5497
2021-02-02,43.27485
2021-02-03,41.22807
2021-02-04,37.1345
2021-02-05,33.91812
2021-02-06,20.17543
2021-02-07,19.00584
2021-02-08,32.16374
2021-02-09,38.01169
2021-02-10,28.65497
2021-02-11,19.59064
2021-02-12,21.34502
2021-02-13,24.269
2021-02-14,24.8538
2021-02-15,53.50877
2021-02-16,34.21052
2021-02-17,32.16374
2021-02-18,37.1345
2021-02-19,35.38011
2021-02-20,31.87134
2021-02-21,33.62573
2021-02-22,44.73684
2021-02-23,40.64327
2021-02-24,43.56725
2021-02-25,38.01169
