date,배터리관련주
2020-03-20,1.78272
2020-03-21,1.31847
2020-03-22,1.24419
2020-03-23,2.7298
2020-03-24,1.33704
2020-03-25,1.87558
2020-03-26,1.83844
2020-03-27,1.22562
2020-03-28,0.64995
2020-03-29,0.79851
2020-03-30,1.15134
2020-03-31,1.85701
2020-04-01,2.69266
2020-04-02,1.78272
2020-04-03,1.31847
2020-04-04,1.15134
2020-04-05,0.50139
2020-04-06,1.4856
2020-04-07,1.87558
2020-04-08,2.32126
2020-04-09,1.81987
2020-04-10,1.07706
2020-04-11,0.64995
2020-04-12,1.07706
2020-04-13,1.37418
2020-04-14,1.65273
2020-04-15,1.16991
2020-04-16,1.78272
2020-04-17,2.33983
2020-04-18,1.09563
2020-04-19,0.98421
2020-04-20,1.39275
2020-04-21,2.04271
2020-04-22,1.94986
2020-04-23,1.42989
2020-04-24,1.31847
2020-04-25,0.61281
2020-04-26,0.64995
2020-04-27,1.02135
2020-04-28,1.55988
2020-04-29,1.37418
2020-04-30,0.64995
2020-05-01,0.7428
2020-05-02,0.22284
2020-05-03,0.57567
2020-05-04,0.81708
2020-05-05,0.57567
2020-05-06,1.13277
2020-05-07,1.18848
2020-05-08,1.28133
2020-05-09,0.81708
2020-05-10,0.70566
2020-05-11,1.00278
2020-05-12,0.98421
2020-05-13,4.25255
2020-05-14,4.19684
2020-05-15,1.987
2020-05-16,0.77994
2020-05-17,0.76137
2020-05-18,1.37418
2020-05-19,2.19127
2020-05-20,2.15413
2020-05-21,2.56267
2020-05-22,1.44846
2020-05-23,0.61281
2020-05-24,1.2999
2020-05-25,2.30269
2020-05-26,4.04828
2020-05-27,2.76694
2020-05-28,1.68987
2020-05-29,1.54131
2020-05-30,0.57567
2020-05-31,1.54131
2020-06-01,2.52553
2020-06-02,2.7298
2020-06-03,2.87836
2020-06-04,3.54688
2020-06-05,2.19127
2020-06-06,0.89136
2020-06-07,0.85422
2020-06-08,2.26555
2020-06-09,2.07985
2020-06-10,2.74837
2020-06-11,2.09842
2020-06-12,1.35561
2020-06-13,0.53853
2020-06-14,0.68709
2020-06-15,6.16527
2020-06-16,2.1727
2020-06-17,2.07985
2020-06-18,1.70844
2020-06-19,3.23119
2020-06-20,0.9285
2020-06-21,1.22562
2020-06-22,4.49396
2020-06-23,3.58402
2020-06-24,2.30269
2020-06-25,1.54131
2020-06-26,1.2999
2020-06-27,0.64995
2020-06-28,0.66852
2020-06-29,1.09563
2020-06-30,1.03992
2020-07-01,0.83565
2020-07-02,1.52274
2020-07-03,2.32126
2020-07-04,1.20705
