date,입원보험
2020-03-20,12.06896
2020-03-21,10.34482
2020-03-22,8.62068
2020-03-23,23.27586
2020-03-24,13.7931
2020-03-25,19.82758
2020-03-26,19.82758
2020-03-27,12.93103
2020-03-28,12.93103
2020-03-29,6.89655
2020-03-30,12.93103
2020-03-31,10.34482
2020-04-01,12.93103
2020-04-02,21.55172
2020-04-03,12.93103
2020-04-04,15.51724
2020-04-05,8.62068
2020-04-06,11.20689
2020-04-07,12.06896
2020-04-08,12.06896
2020-04-09,18.96551
2020-04-10,12.93103
2020-04-11,13.7931
2020-04-12,10.34482
2020-04-13,25.86206
2020-04-14,16.37931
2020-04-15,12.93103
2020-04-16,20.68965
2020-04-17,17.24137
2020-04-18,14.65517
2020-04-19,8.62068
2020-04-20,18.96551
2020-04-21,14.65517
2020-04-22,20.68965
2020-04-23,28.44827
2020-04-24,15.51724
2020-04-25,16.37931
2020-04-26,8.62068
2020-04-27,28.44827
2020-04-28,21.55172
2020-04-29,17.24137
2020-04-30,12.93103
2020-05-01,13.7931
2020-05-02,11.20689
2020-05-03,11.20689
2020-05-04,19.82758
2020-05-05,10.34482
2020-05-06,11.20689
2020-05-07,12.93103
2020-05-08,11.20689
2020-05-09,8.62068
2020-05-10,12.06896
2020-05-11,13.7931
2020-05-12,12.93103
2020-05-13,11.20689
2020-05-14,21.55172
2020-05-15,18.10344
2020-05-17,22.41379
2020-05-18,23.27586
2020-05-19,8.62068
2020-05-20,8.62068
2020-05-21,26.72413
2020-05-22,10.34482
2020-05-23,6.89655
2020-05-24,4.31034
2020-05-25,13.7931
2020-05-26,19.82758
2020-05-27,17.24137
2020-05-28,18.96551
2020-05-29,19.82758
2020-05-30,11.20689
2020-05-31,11.20689
2020-06-01,18.10344
2020-06-02,15.51724
2020-06-03,14.65517
2020-06-04,18.10344
2020-06-05,15.51724
2020-06-06,11.20689
2020-06-07,11.20689
2020-06-08,21.55172
2020-06-09,13.7931
2020-06-10,15.51724
2020-06-11,21.55172
2020-06-12,8.62068
2020-06-13,8.62068
2020-06-14,5.17241
2020-06-15,12.93103
2020-06-16,13.7931
2020-06-17,13.7931
2020-06-18,18.96551
2020-06-19,12.93103
2020-06-20,6.03448
2020-06-21,9.48275
2020-06-22,15.51724
2020-06-23,16.37931
2020-06-24,21.55172
2020-06-25,13.7931
2020-06-26,11.20689
2020-06-27,7.75862
2020-06-29,12.06896
2020-06-30,6.89655
2020-07-01,10.34482
2020-07-02,18.10344
2020-07-03,7.75862
2020-07-04,7.75862
2020-07-05,11.20689
2020-07-06,16.37931
2020-07-07,11.20689
2020-07-08,18.10344
2020-07-09,10.34482
2020-07-10,11.20689
2020-07-11,8.62068
2020-07-12,6.89655
2020-07-13,22.41379
2020-07-14,13.7931
2020-07-15,24.13793
2020-07-16,15.51724
2020-07-17,12.06896
2020-07-18,5.17241
2020-07-19,10.34482
2020-07-20,15.51724
2020-07-21,18.10344
2020-07-22,19.82758
2020-07-23,16.37931
2020-07-24,22.41379
2020-07-25,9.48275
2020-07-26,8.62068
2020-07-27,9.48275
2020-07-28,18.10344
2020-07-29,12.06896
2020-07-30,11.20689
2020-07-31,12.93103
2020-08-01,12.06896
2020-08-02,11.20689
2020-08-03,17.24137
2020-08-04,12.93103
2020-08-05,22.41379
2020-08-06,18.96551
2020-08-07,8.62068
2020-08-08,9.48275
2020-08-09,7.75862
