date,ISA계좌이전
2020-04-08,2.1097
2020-04-14,2.53164
2020-04-16,2.1097
2020-04-28,2.1097
2020-07-13,2.53164
2020-07-15,4.2194
2020-07-21,2.1097
2020-07-23,3.79746
2020-07-27,2.1097
2020-08-06,2.1097
2020-08-19,2.53164
2020-08-22,2.1097
2020-08-26,2.1097
2020-08-30,2.1097
2020-09-09,2.1097
2020-09-25,2.1097
2020-10-08,2.1097
2020-10-12,3.37552
2020-10-14,2.1097
2020-10-15,2.95358
2020-11-08,2.53164
2020-11-09,2.1097
2020-11-13,3.79746
2020-11-23,2.1097
2020-11-25,2.1097
2020-11-26,2.53164
2020-11-30,5.06329
2020-12-01,2.1097
2020-12-03,2.53164
2020-12-07,4.64135
2020-12-10,2.1097
2020-12-11,4.2194
2020-12-14,2.95358
2020-12-15,5.48523
2020-12-16,3.79746
2020-12-17,2.53164
2020-12-18,2.53164
2020-12-21,3.37552
2020-12-22,2.53164
2020-12-23,6.32911
2020-12-24,7.59493
2020-12-25,2.1097
2020-12-26,2.53164
2020-12-28,6.32911
2020-12-29,8.43881
2020-12-30,2.95358
2020-12-31,9.2827
2021-01-01,4.2194
2021-01-04,9.70464
2021-01-05,2.1097
2021-01-06,2.95358
2021-01-07,4.2194
2021-01-08,9.2827
2021-01-09,4.2194
2021-01-10,2.95358
2021-01-11,3.79746
2021-01-12,7.17299
2021-01-13,6.75105
2021-01-14,8.01687
2021-01-15,5.06329
2021-01-16,2.1097
2021-01-17,5.48523
2021-01-18,5.48523
2021-01-19,5.90717
2021-01-20,6.32911
2021-01-21,11.3924
2021-01-22,2.1097
2021-01-23,5.06329
2021-01-24,3.79746
2021-01-25,5.06329
2021-01-26,7.17299
2021-01-27,3.37552
2021-01-28,7.17299
2021-01-29,2.1097
2021-01-30,2.53164
2021-01-31,5.06329
2021-02-01,2.53164
2021-02-02,5.48523
2021-02-03,5.48523
2021-02-04,2.95358
2021-02-05,3.79746
2021-02-07,4.64135
2021-02-08,6.32911
2021-02-09,2.1097
2021-02-10,8.01687
2021-02-11,3.37552
2021-02-12,2.53164
2021-02-14,2.53164
2021-02-15,7.59493
2021-02-16,8.01687
2021-02-17,7.59493
2021-02-18,5.06329
2021-02-19,3.79746
2021-02-20,3.37552
2021-02-21,4.2194
2021-02-22,2.53164
2021-02-23,6.75105
2021-02-24,6.32911
2021-02-25,8.01687
2021-02-26,7.17299
2021-02-27,10.12658
2021-02-28,2.53164
2021-03-01,5.06329
2021-03-02,10.97046
2021-03-03,13.92405
2021-03-04,15.18987
2021-03-05,8.01687
2021-03-06,3.37552
2021-03-08,13.92405
2021-03-09,9.2827
2021-03-10,5.06329
2021-03-11,6.75105
2021-03-12,9.70464
2021-03-13,5.90717
2021-03-14,8.43881
2021-03-15,10.54852
2021-03-16,7.59493
2021-03-17,13.5021
2021-03-18,8.43881
2021-03-19,8.43881
2021-03-20,5.48523
2021-03-21,5.48523
2021-03-22,14.76793
2021-03-23,5.06329
2021-03-24,6.32911
2021-03-25,6.75105
2021-03-26,13.92405
2021-03-27,4.2194
2021-03-28,4.64135
2021-03-29,8.43881
2021-03-30,6.32911
2021-03-31,10.12658
2021-04-01,12.65822
2021-04-02,8.86075
2021-04-03,8.01687
2021-04-04,4.64135
2021-04-05,6.75105
2021-04-06,15.61181
2021-04-07,14.34599
2021-04-08,13.92405
2021-04-09,7.17299
2021-04-10,4.2194
2021-04-11,4.2194
2021-04-12,8.01687
2021-04-13,17.29957
2021-04-14,14.34599
2021-04-15,7.17299
2021-04-16,13.5021
2021-04-17,5.90717
2021-04-18,5.06329
2021-04-19,17.29957
2021-04-20,14.34599
2021-04-21,11.81434
2021-04-22,16.87763
2021-04-23,8.86075
2021-04-24,5.48523
2021-04-25,8.43881
2021-04-26,18.98734
2021-04-27,24.89451
2021-04-28,14.76793
2021-04-29,8.43881
2021-04-30,6.75105
2021-05-01,2.53164
2021-05-02,4.2194
2021-05-03,5.90717
2021-05-04,8.01687
2021-05-05,5.06329
2021-05-06,11.81434
2021-05-07,9.70464
2021-05-08,4.64135
2021-05-09,3.37552
2021-05-10,10.54852
2021-05-11,8.43881
2021-05-12,8.43881
2021-05-13,12.23628
2021-05-14,6.32911
2021-05-15,3.37552
2021-05-16,9.2827
2021-05-17,9.2827
2021-05-18,3.37552
2021-05-19,3.37552
2021-05-20,7.59493
2021-05-21,7.59493
2021-05-22,3.37552
2021-05-24,2.1097
2021-05-25,7.59493
2021-05-26,8.43881
2021-05-27,7.17299
2021-05-28,2.95358
2021-05-29,2.53164
2021-05-30,5.48523
2021-05-31,7.59493
2021-06-01,2.1097
2021-06-02,9.2827
2021-06-03,10.54852
2021-06-04,5.90717
2021-06-06,3.37552
2021-06-07,6.32911
2021-06-08,6.32911
2021-06-09,8.86075
2021-06-10,6.32911
2021-06-11,3.79746
2021-06-12,2.53164
2021-06-13,2.1097
2021-06-14,5.48523
2021-06-15,4.64135
2021-06-16,2.53164
2021-06-17,4.64135
