date,자동차다이렉트보험비교
2020-03-20,26.04166
2020-03-21,13.19444
2020-03-22,11.97916
2020-03-23,31.42361
2020-03-24,31.42361
2020-03-25,34.72222
2020-03-26,33.68055
2020-03-27,26.90972
2020-03-28,15.10416
2020-03-29,13.19444
2020-03-30,33.33333
2020-03-31,32.98611
2020-04-01,37.5
2020-04-02,30.38194
2020-04-03,27.95138
2020-04-04,13.71527
2020-04-05,16.31944
2020-04-06,44.27083
2020-04-07,36.28472
2020-04-08,37.32638
2020-04-09,31.42361
2020-04-10,33.33333
2020-04-11,16.66666
2020-04-12,19.96527
2020-04-13,38.36805
2020-04-14,36.45833
2020-04-15,19.44444
2020-04-16,35.06944
2020-04-17,34.375
2020-04-18,19.44444
2020-04-19,18.05555
2020-04-20,37.15277
2020-04-21,29.16666
2020-04-22,40.27777
2020-04-23,30.20833
2020-04-24,27.08333
2020-04-25,14.93055
2020-04-26,16.49305
2020-04-27,31.07638
2020-04-28,35.59027
2020-04-29,31.77083
2020-04-30,9.72222
2020-05-01,19.79166
2020-05-02,16.31944
2020-05-03,18.40277
2020-05-04,35.76388
2020-05-05,17.70833
2020-05-06,36.97916
2020-05-07,36.45833
2020-05-08,30.20833
2020-05-09,15.625
2020-05-10,16.66666
2020-05-11,39.40972
2020-05-12,38.36805
2020-05-13,44.79166
2020-05-14,30.72916
2020-05-15,37.67361
2020-05-16,19.09722
2020-05-17,21.52777
2020-05-18,37.67361
2020-05-19,33.15972
2020-05-20,36.11111
2020-05-21,36.11111
2020-05-22,34.375
2020-05-23,18.05555
2020-05-24,14.75694
2020-05-25,34.02777
2020-05-26,33.33333
2020-05-27,35.41666
2020-05-28,32.63888
2020-05-29,20.3125
2020-05-30,14.75694
2020-05-31,18.75
2020-06-01,38.19444
2020-06-02,32.63888
2020-06-03,34.89583
2020-06-04,32.11805
2020-06-05,26.5625
2020-06-06,9.54861
2020-06-07,17.01388
2020-06-08,36.97916
2020-06-09,33.33333
2020-06-10,36.97916
