date,포인트포토
2022-08-10,0.48387
2022-08-23,0.37634
2022-08-25,0.32258
2022-08-27,0.48387
2022-08-28,1.07526
2022-08-29,0.91397
2022-08-30,2.25806
2022-08-31,1.12903
2022-09-01,1.18279
2022-09-02,0.26881
2022-09-03,0.53763
2022-09-04,0.4301
2022-09-05,0.26881
2022-09-06,0.91397
2022-09-07,0.91397
2022-09-08,0.64516
2022-09-10,0.26881
2022-09-11,0.4301
2022-09-12,0.69892
2022-09-13,1.0215
2022-09-14,1.39784
2022-09-15,1.07526
2022-09-16,1.50537
2022-09-17,1.0215
2022-09-18,0.32258
2022-09-19,2.09677
2022-09-20,0.80645
2022-09-21,0.86021
2022-09-22,0.48387
2022-09-23,0.59139
2022-09-25,0.37634
2022-09-26,0.64516
2022-09-27,0.32258
2022-09-28,1.55913
2022-09-29,3.38709
2022-09-30,0.75268
2022-10-01,0.32258
2022-10-02,0.48387
2022-10-03,0.69892
2022-10-04,0.64516
2022-10-05,0.59139
2022-10-06,0.37634
2022-10-07,0.32258
2022-10-08,0.64516
2022-10-11,0.59139
2022-10-12,1.50537
2022-10-13,0.53763
2022-10-14,0.75268
2022-10-15,0.4301
2022-10-16,0.75268
2022-10-17,0.75268
2022-10-18,1.12903
2022-10-19,0.96774
2022-10-20,0.64516
2022-10-21,0.59139
2022-10-22,0.37634
2022-10-23,0.80645
2022-10-24,0.80645
2022-10-25,1.82795
2022-10-26,2.58064
2022-10-27,2.41935
2022-10-28,1.6129
2022-10-29,1.29032
2022-10-30,1.23655
2022-10-31,1.29032
2022-11-01,1.72043
2022-11-02,1.07526
2022-11-03,1.39784
2022-11-04,0.59139
2022-11-05,0.37634
2022-11-06,0.75268
2022-11-07,1.12903
2022-11-08,0.80645
2022-11-09,1.34408
2022-11-10,1.50537
2022-11-11,0.48387
2022-11-12,1.0215
2022-11-13,1.07526
2022-11-14,1.29032
2022-11-15,1.93548
2022-11-16,1.72043
2022-11-17,1.6129
2022-11-18,1.45161
2022-11-19,0.64516
2022-11-20,1.18279
