date,소유권이전등기비용
2020-03-20,39.02439
2020-03-21,19.16376
2020-03-22,16.02787
2020-03-23,37.28222
2020-03-24,50.87108
2020-03-25,43.554
2020-03-26,56.79442
2020-03-27,43.90243
2020-03-28,23.69337
2020-03-29,17.07317
2020-03-30,46.34146
2020-03-31,39.72125
2020-04-01,39.72125
2020-04-02,40.41811
2020-04-03,37.63066
2020-04-04,19.51219
2020-04-05,21.95121
2020-04-06,38.67595
2020-04-07,33.10104
2020-04-08,36.23693
2020-04-09,32.40418
2020-04-10,31.70731
2020-04-11,20.20905
2020-04-12,20.55749
2020-04-13,41.11498
2020-04-14,42.50871
2020-04-15,24.73867
2020-04-16,46.68989
2020-04-17,57.14285
2020-04-18,31.01045
2020-04-19,27.1777
2020-04-20,64.11149
2020-04-21,56.09756
2020-04-22,54.70383
2020-04-23,53.65853
2020-04-24,59.58188
2020-04-25,34.8432
2020-04-26,30.31358
2020-04-27,66.89895
2020-04-28,76.30662
2020-04-29,53.65853
2020-04-30,27.87456
2020-05-01,26.82926
2020-05-02,22.64808
2020-05-03,24.73867
2020-05-04,66.55052
2020-05-05,38.32752
2020-05-06,68.29268
2020-05-07,58.18815
2020-05-08,47.03832
2020-05-09,38.67595
2020-05-10,28.22299
2020-05-11,78.74564
2020-05-12,84.32055
2020-05-13,84.32055
2020-05-14,66.20209
2020-05-15,59.58188
2020-05-16,34.8432
2020-05-17,33.44947
2020-05-18,91.98606
2020-05-19,87.45644
2020-05-20,70.03484
2020-05-21,88.85017
2020-05-22,68.29268
2020-05-23,40.06968
2020-05-24,30.66202
2020-05-25,85.01742
2020-05-26,91.63763
2020-05-27,92.68292
2020-05-28,80.83623
2020-05-29,59.23344
2020-05-30,32.05574
2020-05-31,28.91986
2020-06-01,55.40069
2020-06-02,71.777
2020-06-03,74.21602
2020-06-04,71.777
2020-06-05,61.32404
2020-06-06,32.40418
2020-06-07,29.96515
2020-06-08,70.03484
2020-06-09,79.79094
2020-06-10,86.06271
2020-06-11,87.10801
2020-06-12,68.98954
2020-06-13,42.85714
2020-06-14,36.58536
2020-06-15,81.5331
2020-06-16,85.36585
2020-06-17,82.92682
2020-06-18,83.27526
2020-06-19,79.09407
2020-06-20,47.73519
2020-06-21,46.68989
2020-06-22,100.0
2020-06-23,90.2439
2020-06-24,81.88153
2020-06-25,87.45644
2020-06-26,73.17073
2020-06-27,41.81184
2020-06-28,36.93379
2020-06-29,83.27526
2020-06-30,78.04878
2020-07-01,60.27874
2020-07-02,64.45993
2020-07-03,66.20209
2020-07-04,32.75261
2020-07-05,32.05574
2020-07-06,68.29268
2020-07-07,69.33797
2020-07-08,68.64111
2020-07-09,78.39721
2020-07-10,64.80836
2020-07-11,40.41811
2020-07-12,33.7979
2020-07-13,62.0209
2020-07-14,76.30662
2020-07-15,65.85365
2020-07-16,66.55052
2020-07-17,67.94425
2020-07-18,31.70731
2020-07-19,34.14634
2020-07-20,78.39721
2020-07-21,88.50174
2020-07-22,81.18466
2020-07-23,68.98954
2020-07-24,55.74912
2020-07-25,32.05574
2020-07-26,29.61672
2020-07-27,67.94425
2020-07-28,73.17073
2020-07-29,89.89547
2020-07-30,79.79094
2020-07-31,61.67247
2020-08-01,30.31358
2020-08-02,21.60278
2020-08-03,49.82578
2020-08-04,60.9756
2020-08-05,55.74912
2020-08-06,56.09756
2020-08-07,55.74912
2020-08-08,31.01045
2020-08-09,33.10104
2020-08-10,57.14285
2020-08-11,53.65853
2020-08-12,59.58188
2020-08-13,59.23344
2020-08-14,57.49128
2020-08-15,29.61672
2020-08-16,17.07317
2020-08-17,40.41811
2020-08-18,57.14285
2020-08-19,63.41463
2020-08-20,68.64111
2020-08-21,71.08013
2020-08-22,35.19163
2020-08-23,26.48083
2020-08-24,67.24738
2020-08-25,77.35191
2020-08-26,69.33797
2020-08-27,94.07665
2020-08-28,57.83972
2020-08-29,31.01045
2020-08-30,26.82926
2020-08-31,77.35191
2020-09-01,73.51916
2020-09-02,71.42857
2020-09-03,64.80836
2020-09-04,70.7317
2020-09-05,34.14634
2020-09-06,19.51219
2020-09-07,70.38327
2020-09-08,72.12543
2020-09-09,71.08013
2020-09-10,72.47386
2020-09-11,61.67247
2020-09-12,37.63066
2020-09-13,26.1324
2020-09-14,65.50522
2020-09-15,84.32055
2020-09-16,82.57839
2020-09-17,68.29268
2020-09-18,57.14285
2020-09-19,37.63066
2020-09-20,28.57142
