date,비건가죽
2020-03-20,4.89236
2020-03-21,4.89236
2020-03-22,8.41487
2020-03-23,12.91585
2020-03-24,14.4814
2020-03-25,8.02348
2020-03-26,11.54598
2020-03-27,31.31115
2020-03-28,8.41487
2020-03-29,7.2407
2020-03-30,7.2407
2020-03-31,7.63209
2020-04-01,6.84931
2020-04-02,7.43639
2020-04-03,7.82778
2020-04-04,4.50097
2020-04-05,6.06653
2020-04-06,6.45792
2020-04-07,7.045
2020-04-08,7.2407
2020-04-09,21.72211
2020-04-10,11.93737
2020-04-11,6.65362
2020-04-12,11.15459
2020-04-13,12.52446
2020-04-14,19.96086
2020-04-15,9.00195
2020-04-16,10.9589
2020-04-17,8.41487
2020-04-18,7.2407
2020-04-19,7.63209
2020-04-20,8.41487
2020-04-21,13.89432
2020-04-22,10.17612
2020-04-23,12.13307
2020-04-24,9.58904
2020-04-25,4.69667
2020-04-26,22.30919
2020-04-27,10.37181
2020-04-28,11.54598
2020-04-29,7.43639
2020-04-30,9.39334
2020-05-01,3.91389
2020-05-02,8.21917
2020-05-03,10.37181
2020-05-04,8.80626
2020-05-05,5.28375
2020-05-06,5.67514
2020-05-07,8.21917
2020-05-08,6.45792
2020-05-09,6.26223
2020-05-10,7.2407
2020-05-11,9.00195
2020-05-12,6.45792
2020-05-13,9.19765
2020-05-14,8.41487
2020-05-15,5.28375
2020-05-16,7.63209
2020-05-17,9.00195
2020-05-18,10.7632
2020-05-19,9.98043
2020-05-20,7.2407
2020-05-21,12.52446
2020-05-22,12.52446
2020-05-23,7.2407
2020-05-24,10.37181
2020-05-25,12.91585
2020-05-26,14.87279
2020-05-27,11.93737
2020-05-28,13.11154
2020-05-29,8.61056
2020-05-30,10.9589
2020-05-31,6.65362
2020-06-01,11.35029
2020-06-02,10.17612
2020-06-03,14.09001
2020-06-04,13.11154
2020-06-05,9.78473
2020-06-06,9.19765
2020-06-07,8.61056
2020-06-08,9.78473
2020-06-09,8.02348
2020-06-10,9.39334
2020-06-11,9.39334
2020-06-12,9.78473
2020-06-13,10.17612
2020-06-14,9.58904
2020-06-15,11.54598
2020-06-16,9.78473
2020-06-17,12.91585
2020-06-18,12.32876
2020-06-19,5.67514
2020-06-20,8.21917
2020-06-21,8.21917
2020-06-22,8.80626
2020-06-23,8.02348
2020-06-24,8.80626
2020-06-25,12.32876
2020-06-26,11.35029
2020-06-27,7.045
2020-06-28,10.56751
2020-06-29,10.9589
2020-06-30,7.43639
2020-07-01,9.98043
2020-07-02,10.37181
2020-07-03,9.78473
2020-07-04,7.2407
2020-07-05,12.91585
2020-07-06,7.045
2020-07-07,9.19765
2020-07-08,10.17612
2020-07-09,9.78473
2020-07-10,14.28571
2020-07-11,10.17612
2020-07-12,7.43639
2020-07-13,10.37181
2020-07-14,9.98043
2020-07-15,12.13307
2020-07-16,11.35029
2020-07-17,11.93737
2020-07-18,8.02348
2020-07-19,8.21917
2020-07-20,13.50293
2020-07-21,12.52446
2020-07-22,14.87279
2020-07-23,13.30724
2020-07-24,8.61056
2020-07-25,8.41487
2020-07-26,18.00391
2020-07-27,17.02544
2020-07-28,15.45988
2020-07-29,14.28571
2020-07-30,13.30724
2020-07-31,10.37181
2020-08-01,9.00195
2020-08-02,12.13307
2020-08-03,12.91585
2020-08-04,15.85127
2020-08-05,18.98238
2020-08-06,16.24266
2020-08-07,16.24266
2020-08-08,13.30724
2020-08-09,14.28571
2020-08-10,16.43835
2020-08-11,12.32876
2020-08-12,11.93737
2020-08-13,12.13307
2020-08-14,9.58904
2020-08-15,7.43639
2020-08-16,9.39334
2020-08-17,13.89432
