date,정기예금금리
2020-03-20,22.18571
2020-03-21,12.04819
2020-03-22,15.71133
2020-03-23,27.41876
2020-03-24,24.10855
2020-03-25,27.00498
2020-03-26,26.17743
2020-03-27,24.37629
2020-03-28,14.12924
2020-03-29,13.81282
2020-03-30,26.83461
2020-03-31,27.3214
2020-04-01,26.35998
2020-04-02,23.95034
2020-04-03,19.80041
2020-04-04,11.76828
2020-04-05,12.40111
2020-04-06,22.64816
2020-04-07,20.74966
2020-04-08,20.67664
2020-04-09,20.774
2020-04-10,19.54484
2020-04-11,12.30376
2020-04-12,14.25094
2020-04-13,21.99099
2020-04-14,17.99926
2020-04-15,14.36047
2020-04-16,21.38249
2020-04-17,20.44541
2020-04-18,10.85554
2020-04-19,12.93659
2020-04-20,24.77789
2020-04-21,20.39673
2020-04-22,21.52853
2020-04-23,20.34805
2020-04-24,19.94645
2020-04-25,12.03602
2020-04-26,13.3382
2020-04-27,23.87732
2020-04-28,20.22635
2020-04-29,19.58135
2020-04-30,12.03602
2020-05-01,11.73177
2020-05-02,9.79676
2020-05-03,12.80272
2020-05-04,27.02932
2020-05-05,14.04405
2020-05-06,21.62589
2020-05-07,17.80455
2020-05-08,16.22246
2020-05-09,9.76025
2020-05-10,10.49044
2020-05-11,20.04381
2020-05-12,18.89984
2020-05-13,17.12303
2020-05-14,18.29134
2020-05-15,17.28124
2020-05-16,9.95497
2020-05-17,10.75818
2020-05-18,19.26493
2020-05-19,16.75794
2020-05-20,17.70719
2020-05-21,15.80868
2020-05-22,14.98113
2020-05-23,8.5676
2020-05-24,10.30789
2020-05-25,22.31958
2020-05-26,19.26493
2020-05-27,17.20822
2020-05-28,19.8856
2020-05-29,18.15747
2020-05-30,9.90629
2020-05-31,12.03602
2020-06-01,22.13703
2020-06-02,17.75587
2020-06-03,16.28331
2020-06-04,15.58963
2020-06-05,12.90008
2020-06-06,7.9591
2020-06-07,8.84751
2020-06-08,17.24473
2020-06-09,15.67482
2020-06-10,15.94255
2020-06-11,15.17585
