date,전세대출금리비교
2021-01-13,4.93096
2021-01-14,4.14201
2021-01-15,4.14201
2021-01-16,1.77514
2021-01-17,2.36686
2021-01-18,4.73372
2021-01-19,0.98619
2021-01-20,4.33925
2021-01-21,0.98619
2021-01-23,1.97238
2021-01-24,1.38067
2021-01-25,2.16962
2021-01-26,4.93096
2021-01-27,3.15581
2021-01-28,4.33925
2021-01-29,3.35305
2021-01-30,2.16962
2021-01-31,2.5641
2021-02-01,4.53648
2021-02-02,4.14201
2021-02-03,3.74753
2021-02-04,3.35305
2021-02-05,3.15581
2021-02-07,2.76134
2021-02-08,3.74753
2021-02-09,1.5779
2021-02-10,2.16962
2021-02-12,1.18343
2021-02-13,0.98619
2021-02-15,3.94477
2021-02-16,3.35305
2021-02-17,3.74753
2021-02-18,3.94477
2021-02-19,1.77514
2021-02-20,0.98619
2021-02-21,0.98619
2021-02-22,3.35305
2021-02-23,4.33925
2021-02-24,2.36686
2021-02-25,3.15581
2021-02-28,0.98619
2021-03-01,1.5779
2021-03-02,4.33925
2021-03-03,2.95857
2021-03-04,4.73372
2021-03-05,2.5641
2021-03-06,1.18343
2021-03-07,0.98619
2021-03-08,3.55029
2021-03-09,4.33925
2021-03-10,3.55029
2021-03-11,1.5779
2021-03-12,1.77514
2021-03-13,1.38067
2021-03-15,1.18343
2021-03-16,2.95857
2021-03-17,2.5641
2021-03-18,0.98619
2021-03-19,1.5779
2021-03-20,0.98619
2021-03-21,1.38067
2021-03-22,1.77514
2021-03-23,2.76134
2021-03-24,2.95857
2021-03-25,1.38067
2021-03-26,3.94477
2021-03-29,1.77514
2021-03-30,3.15581
2021-03-31,1.38067
2021-04-01,2.16962
2021-04-02,3.94477
2021-04-03,1.18343
2021-04-05,1.18343
2021-04-06,1.38067
2021-04-07,1.18343
2021-04-08,0.98619
2021-04-09,1.18343
2021-04-10,0.98619
2021-04-11,1.5779
2021-04-12,2.16962
2021-04-13,3.55029
2021-04-14,2.5641
2021-04-15,1.5779
2021-04-16,2.36686
2021-04-19,3.35305
2021-04-21,2.5641
2021-04-22,3.35305
2021-04-23,1.38067
2021-04-26,2.36686
2021-04-27,3.15581
2021-04-28,1.5779
2021-04-29,1.38067
2021-04-30,3.55029
2021-05-03,3.55029
2021-05-04,2.95857
2021-05-05,0.98619
2021-05-06,3.74753
2021-05-07,3.15581
2021-05-10,2.5641
2021-05-12,1.18343
2021-05-13,1.38067
2021-05-14,1.18343
2021-05-16,0.98619
2021-05-17,2.16962
2021-05-18,2.36686
2021-05-19,1.38067
2021-05-20,5.1282
2021-05-21,4.14201
2021-05-22,1.38067
2021-05-23,0.98619
2021-05-24,3.15581
2021-05-25,3.74753
2021-05-26,1.18343
2021-05-27,3.35305
2021-05-28,2.16962
2021-05-31,4.73372
2021-06-01,1.97238
2021-06-02,3.55029
2021-06-03,2.76134
2021-06-04,3.15581
2021-06-05,1.18343
2021-06-07,2.5641
2021-06-08,1.38067
2021-06-09,3.74753
2021-06-10,0.98619
2021-06-11,1.18343
2021-06-14,3.74753
2021-06-15,3.35305
2021-06-16,3.15581
2021-06-17,1.38067
2021-06-18,3.74753
2021-06-20,0.98619
2021-06-21,3.15581
2021-06-22,3.94477
2021-06-23,2.5641
2021-06-24,2.76134
2021-06-25,3.15581
2021-06-28,5.1282
2021-06-29,4.14201
2021-06-30,1.97238
2021-07-01,1.97238
2021-07-02,2.36686
2021-07-03,0.98619
2021-07-04,1.38067
2021-07-05,3.94477
2021-07-06,2.95857
2021-07-07,3.15581
2021-07-08,1.18343
2021-07-09,2.5641
2021-07-10,2.36686
2021-07-11,1.5779
2021-07-12,5.32544
2021-07-13,4.14201
2021-07-14,3.94477
2021-07-15,3.94477
2021-07-16,3.35305
2021-07-19,5.52268
2021-07-20,3.35305
2021-07-21,4.53648
2021-07-22,3.15581
2021-07-23,1.38067
2021-07-24,1.18343
2021-07-25,0.98619
2021-07-26,4.73372
2021-07-27,3.55029
2021-07-28,5.32544
2021-07-29,2.5641
2021-07-30,3.74753
2021-08-01,0.98619
2021-08-02,4.53648
2021-08-03,4.53648
2021-08-04,3.55029
2021-08-05,3.55029
2021-08-06,2.95857
2021-08-07,0.98619
2021-08-08,2.95857
2021-08-09,5.52268
2021-08-10,5.71992
2021-08-11,3.55029
2021-08-12,2.16962
2021-08-13,4.14201
2021-08-14,0.98619
2021-08-16,1.97238
2021-08-17,5.1282
2021-08-18,4.73372
2021-08-19,3.94477
2021-08-20,7.10059
2021-08-21,2.16962
2021-08-23,3.74753
2021-08-24,3.74753
2021-08-25,3.55029
2021-08-26,4.33925
2021-08-27,4.53648
2021-08-29,1.18343
2021-08-30,5.91715
2021-08-31,3.74753
2021-09-01,2.36686
2021-09-02,1.77514
2021-09-03,2.76134
2021-09-04,1.18343
2021-09-05,1.77514
2021-09-06,4.33925
2021-09-07,4.33925
2021-09-08,3.94477
2021-09-09,3.55029
2021-09-10,1.5779
2021-09-11,1.18343
2021-09-12,1.5779
2021-09-13,5.52268
2021-09-14,3.15581
2021-09-15,4.93096
2021-09-16,5.52268
2021-09-17,2.76134
2021-09-18,0.98619
2021-09-23,3.55029
2021-09-24,3.94477
2021-09-25,2.36686
2021-09-26,1.97238
2021-09-27,5.71992
2021-09-28,6.31163
2021-09-29,4.33925
2021-09-30,6.31163
2021-10-01,4.14201
2021-10-03,1.38067
2021-10-04,2.36686
2021-10-05,7.29783
2021-10-06,5.91715
2021-10-07,5.1282
2021-10-08,4.14201
2021-10-09,0.98619
2021-10-11,1.18343
2021-10-12,4.14201
2021-10-13,2.95857
2021-10-14,6.50887
2021-10-15,8.48126
2021-10-16,4.14201
2021-10-17,3.55029
2021-10-18,6.70611
2021-10-19,4.73372
2021-10-20,3.74753
2021-10-21,4.73372
2021-10-22,5.52268
2021-10-24,3.15581
2021-10-25,3.74753
2021-10-26,6.70611
2021-10-27,5.91715
2021-10-28,5.1282
2021-10-29,5.52268
2021-10-30,0.98619
2021-10-31,1.38067
2021-11-01,4.33925
2021-11-02,3.55029
2021-11-03,3.74753
2021-11-04,0.98619
2021-11-05,1.5779
2021-11-06,0.98619
2021-11-08,4.14201
2021-11-09,3.15581
2021-11-10,4.93096
2021-11-11,4.93096
2021-11-12,1.18343
2021-11-14,1.97238
2021-11-15,0.98619
2021-11-16,2.36686
2021-11-17,2.76134
2021-11-18,3.15581
2021-11-19,2.76134
2021-11-21,2.16962
2021-11-22,3.15581
2021-11-23,2.95857
2021-11-24,1.18343
2021-11-25,3.55029
2021-11-26,2.95857
2021-11-28,0.98619
2021-11-29,3.94477
2021-11-30,3.55029
2021-12-01,4.33925
2021-12-02,3.74753
2021-12-03,1.38067
2021-12-05,1.18343
2021-12-06,2.5641
2021-12-07,1.18343
2021-12-08,5.1282
2021-12-09,2.36686
2021-12-12,1.18343
2021-12-13,4.73372
2021-12-14,0.98619
2021-12-15,2.76134
2021-12-16,1.77514
2021-12-17,3.55029
2021-12-20,2.5641
2021-12-21,2.16962
2021-12-22,0.98619
2021-12-23,2.95857
2021-12-24,1.77514
2021-12-27,3.35305
2021-12-28,1.18343
2021-12-29,4.14201
2021-12-30,2.76134
2021-12-31,1.5779
2022-01-01,1.18343
2022-01-02,1.18343
2022-01-03,5.71992
2022-01-04,3.74753
2022-01-05,3.74753
2022-01-06,4.33925
2022-01-07,4.93096
2022-01-08,2.16962
2022-01-10,4.93096
2022-01-11,3.74753
2022-01-12,4.53648
2022-01-13,1.5779
2022-01-14,4.33925
2022-01-15,0.98619
2022-01-16,1.18343
2022-01-17,4.93096
2022-01-18,3.74753
2022-01-19,4.14201
2022-01-20,6.31163
2022-01-21,2.95857
2022-01-22,2.95857
2022-01-23,3.15581
2022-01-24,7.29783
2022-01-25,3.94477
2022-01-26,4.53648
2022-01-27,3.15581
2022-01-28,1.38067
2022-01-29,0.98619
2022-02-01,1.18343
2022-02-02,1.38067
2022-02-03,5.32544
2022-02-04,2.95857
2022-02-06,1.77514
2022-02-07,5.71992
2022-02-08,4.53648
2022-02-09,4.53648
2022-02-10,3.35305
2022-02-11,3.55029
2022-02-12,1.18343
2022-02-14,3.35305
2022-02-15,4.33925
2022-02-16,3.35305
2022-02-17,4.33925
2022-02-18,3.35305
2022-02-19,1.38067
2022-02-20,1.77514
2022-02-21,1.18343
2022-02-22,3.35305
2022-02-23,2.76134
2022-02-24,4.93096
2022-02-25,3.94477
2022-02-26,1.77514
2022-02-27,1.18343
2022-02-28,2.76134
2022-03-02,2.36686
2022-03-03,2.76134
2022-03-04,4.33925
2022-03-05,0.98619
2022-03-07,3.15581
2022-03-08,3.94477
2022-03-10,2.5641
2022-03-11,1.5779
2022-03-13,1.77514
2022-03-14,5.71992
2022-03-15,2.95857
2022-03-16,2.76134
2022-03-17,2.95857
2022-03-18,5.32544
2022-03-19,1.77514
2022-03-20,2.16962
2022-03-21,2.36686
2022-03-22,2.16962
2022-03-23,3.74753
2022-03-24,4.14201
2022-03-25,3.74753
2022-03-26,1.38067
2022-03-27,2.36686
2022-03-28,3.55029
2022-03-29,4.53648
2022-03-30,2.36686
2022-03-31,4.93096
2022-04-01,2.95857
2022-04-02,2.16962
2022-04-04,4.14201
2022-04-05,4.73372
2022-04-06,3.74753
2022-04-07,1.18343
2022-04-08,2.36686
2022-04-10,2.36686
2022-04-11,3.94477
2022-04-12,4.93096
2022-04-13,2.16962
2022-04-14,2.5641
2022-04-15,4.14201
2022-04-16,0.98619
2022-04-17,2.5641
2022-04-18,6.70611
2022-04-19,3.35305
2022-04-20,3.35305
2022-04-21,1.18343
2022-04-22,6.11439
2022-04-23,0.98619
2022-04-25,5.32544
2022-04-26,3.94477
2022-04-27,3.15581
2022-04-29,2.16962
2022-04-30,0.98619
2022-05-01,2.36686
2022-05-02,3.74753
2022-05-03,2.95857
2022-05-04,2.76134
2022-05-05,1.5779
2022-05-06,2.16962
2022-05-09,1.5779
2022-05-10,1.97238
2022-05-11,5.52268
2022-05-12,4.33925
2022-05-13,3.55029
2022-05-14,1.5779
2022-05-16,3.94477
2022-05-17,1.18343
2022-05-18,2.95857
2022-05-19,1.5779
2022-05-20,1.38067
2022-05-21,0.98619
2022-05-23,6.50887
2022-05-24,5.1282
2022-05-25,3.35305
2022-05-26,3.94477
2022-05-27,2.16962
2022-05-28,0.98619
2022-05-29,1.77514
2022-05-30,4.33925
2022-05-31,3.94477
2022-06-01,2.95857
2022-06-02,1.5779
2022-06-03,1.97238
2022-06-04,1.18343
2022-06-07,4.93096
2022-06-08,2.95857
2022-06-09,3.15581
2022-06-10,2.16962
2022-06-11,1.5779
2022-06-12,0.98619
2022-06-13,4.33925
2022-06-14,3.55029
2022-06-15,4.53648
2022-06-16,3.15581
2022-06-18,0.98619
2022-06-19,1.18343
2022-06-20,3.74753
2022-06-21,3.94477
2022-06-22,4.14201
2022-06-23,1.97238
2022-06-24,2.36686
2022-06-26,1.18343
2022-06-27,3.55029
2022-06-28,2.95857
2022-06-29,0.98619
2022-06-30,4.73372
2022-07-01,2.95857
2022-07-04,7.29783
2022-07-05,5.52268
2022-07-06,5.1282
2022-07-07,3.94477
2022-07-08,1.97238
2022-07-11,5.1282
2022-07-12,3.74753
2022-07-13,4.33925
2022-07-14,4.73372
2022-07-15,3.74753
2022-07-16,0.98619
2022-07-17,1.97238
2022-07-18,7.6923
2022-07-19,4.93096
2022-07-20,3.35305
2022-07-21,4.53648
2022-07-22,2.95857
2022-07-23,3.15581
2022-07-24,2.5641
2022-07-25,6.50887
2022-07-26,5.32544
2022-07-27,2.95857
2022-07-28,3.55029
2022-07-29,4.33925
2022-07-30,1.77514
2022-07-31,1.77514
2022-08-01,4.93096
2022-08-02,3.74753
2022-08-03,5.1282
2022-08-04,3.35305
2022-08-05,4.14201
2022-08-06,1.97238
2022-08-07,1.97238
2022-08-08,3.74753
2022-08-09,4.93096
2022-08-10,3.94477
2022-08-11,2.95857
2022-08-12,3.35305
2022-08-13,1.38067
2022-08-14,0.98619
2022-08-15,1.18343
2022-08-16,5.71992
2022-08-17,7.49506
2022-08-18,3.35305
2022-08-19,3.94477
2022-08-20,1.5779
2022-08-21,1.77514
2022-08-22,8.6785
2022-08-23,6.90335
2022-08-24,6.11439
2022-08-25,6.11439
2022-08-26,5.1282
2022-08-27,2.5641
2022-08-28,2.76134
2022-08-29,8.6785
2022-08-30,6.11439
2022-08-31,4.73372
2022-09-01,5.91715
2022-09-02,7.29783
2022-09-03,2.16962
2022-09-05,5.91715
2022-09-06,7.10059
2022-09-07,5.32544
2022-09-08,2.36686
2022-09-10,1.18343
2022-09-11,1.97238
2022-09-12,1.38067
2022-09-13,7.6923
2022-09-14,6.90335
2022-09-15,5.1282
2022-09-16,7.29783
2022-09-17,3.55029
2022-09-18,3.15581
2022-09-19,7.6923
2022-09-20,8.87573
2022-09-21,11.63708
2022-09-22,9.07297
2022-09-23,10.45364
2022-09-24,1.77514
2022-09-25,5.52268
2022-09-26,7.6923
2022-09-27,12.22879
2022-09-28,7.49506
2022-09-29,7.88954
2022-09-30,5.32544
2022-10-01,4.14201
2022-10-02,4.53648
2022-10-03,3.74753
2022-10-04,16.3708
2022-10-05,12.22879
2022-10-06,10.25641
2022-10-07,6.31163
2022-10-08,4.73372
2022-10-09,4.53648
2022-10-10,7.29783
2022-10-11,10.84812
2022-10-12,13.01775
2022-10-13,12.62327
2022-10-14,7.88954
2022-10-15,6.31163
2022-10-16,4.73372
2022-10-17,7.10059
2022-10-18,9.46745
2022-10-19,8.6785
2022-10-20,10.25641
2022-10-21,9.66469
2022-10-22,1.77514
2022-10-23,4.93096
2022-10-24,14.99013
2022-10-25,10.65088
2022-10-26,17.357
2022-10-27,9.86193
2022-10-28,7.49506
2022-10-29,4.73372
2022-10-30,4.14201
2022-10-31,7.49506
2022-11-01,12.62327
2022-11-02,12.82051
2022-11-03,10.65088
2022-11-04,7.49506
2022-11-05,2.5641
2022-11-06,3.15581
2022-11-07,13.41222
2022-11-08,11.43984
2022-11-09,9.46745
2022-11-10,11.43984
2022-11-11,7.49506
2022-11-12,3.94477
2022-11-13,4.14201
2022-11-14,6.50887
2022-11-15,8.08678
2022-11-16,12.03155
2022-11-17,8.08678
2022-11-18,8.48126
2022-11-19,3.15581
2022-11-20,3.94477
2022-11-21,12.42603
2022-11-22,10.25641
2022-11-23,11.63708
2022-11-24,7.29783
2022-11-25,5.91715
2022-11-26,3.55029
2022-11-27,4.14201
2022-11-28,6.50887
2022-11-29,8.28402
2022-11-30,7.6923
2022-12-01,5.32544
2022-12-02,6.31163
2022-12-03,4.14201
2022-12-04,4.14201
2022-12-05,9.07297
2022-12-06,11.63708
2022-12-07,6.11439
2022-12-08,6.31163
2022-12-09,8.08678
2022-12-10,4.33925
2022-12-11,5.91715
2022-12-12,12.62327
2022-12-13,14.59566
2022-12-14,9.66469
2022-12-15,8.87573
2022-12-16,5.1282
2022-12-17,5.1282
2022-12-18,3.74753
2022-12-19,12.82051
2022-12-20,11.2426
2022-12-21,10.25641
2022-12-22,9.07297
2022-12-23,7.10059
2022-12-24,4.33925
2022-12-25,2.95857
2022-12-26,12.03155
2022-12-27,13.60946
2022-12-28,10.65088
2022-12-29,14.59566
2022-12-30,8.28402
2022-12-31,4.53648
