date,장외채권
2020-03-21,4.85436
2020-03-24,2.42718
2020-03-25,6.31067
2020-03-26,6.31067
2020-03-27,2.42718
2020-03-28,2.42718
2020-03-29,3.39805
2020-03-30,7.28155
2020-03-31,7.76699
2020-04-01,10.67961
2020-04-02,6.31067
2020-04-03,5.3398
2020-04-04,2.42718
2020-04-05,7.76699
2020-04-06,9.70873
2020-04-07,10.67961
2020-04-08,10.19417
2020-04-09,11.65048
2020-04-10,5.82524
2020-04-11,6.79611
2020-04-12,8.73786
2020-04-13,5.82524
2020-04-14,3.39805
2020-04-15,7.28155
2020-04-16,4.85436
2020-04-17,5.3398
2020-04-18,2.91262
2020-04-20,5.3398
2020-04-21,6.79611
2020-04-22,6.79611
2020-04-23,9.2233
2020-04-24,10.67961
2020-04-25,2.42718
2020-04-26,2.91262
2020-04-28,9.2233
2020-04-29,4.36893
2020-04-30,2.42718
2020-05-03,5.3398
2020-05-04,4.85436
2020-05-06,6.31067
2020-05-07,7.76699
2020-05-08,4.36893
2020-05-09,4.85436
2020-05-11,7.28155
2020-05-12,9.2233
2020-05-13,8.25242
2020-05-14,8.25242
2020-05-15,8.73786
2020-05-16,2.42718
2020-05-17,4.85436
2020-05-18,9.70873
2020-05-19,6.31067
2020-05-20,11.16504
2020-05-21,9.2233
2020-05-22,2.42718
2020-05-25,9.70873
2020-05-26,4.36893
2020-05-27,7.76699
2020-05-28,2.42718
2020-05-29,2.91262
2020-06-01,3.88349
2020-06-02,10.67961
2020-06-03,8.73786
2020-06-04,9.70873
2020-06-05,9.2233
2020-06-07,3.88349
2020-06-08,9.2233
2020-06-09,9.70873
2020-06-10,11.16504
2020-06-11,4.36893
2020-06-12,5.82524
2020-06-15,2.42718
2020-06-16,11.16504
2020-06-17,2.91262
2020-06-18,7.28155
2020-06-19,13.10679
2020-06-20,2.42718
2020-06-22,3.88349
2020-06-23,6.31067
2020-06-24,6.31067
2020-06-25,4.36893
2020-06-26,2.91262
2020-06-27,3.88349
2020-06-29,13.10679
2020-06-30,9.2233
2020-07-01,13.59223
2020-07-02,24.27184
2020-07-03,6.79611
2020-07-04,3.39805
2020-07-05,3.39805
2020-07-06,4.36893
2020-07-07,3.88349
2020-07-08,3.39805
2020-07-09,4.36893
2020-07-10,8.25242
2020-07-11,4.36893
2020-07-12,2.42718
2020-07-13,12.13592
2020-07-14,5.82524
2020-07-15,3.39805
2020-07-16,15.53398
2020-07-17,5.82524
2020-07-20,7.76699
2020-07-21,5.3398
2020-07-22,2.42718
2020-07-23,11.65048
2020-07-24,7.76699
2020-07-26,4.36893
2020-07-27,10.67961
2020-07-28,16.99029
2020-07-29,6.79611
2020-07-30,12.13592
2020-07-31,9.2233
2020-08-01,3.39805
2020-08-02,3.39805
2020-08-03,7.28155
2020-08-04,10.67961
2020-08-05,10.19417
2020-08-06,14.07766
2020-08-07,10.67961
2020-08-08,2.42718
2020-08-09,2.42718
2020-08-11,11.65048
2020-08-12,9.2233
2020-08-13,11.65048
2020-08-14,7.28155
2020-08-15,2.91262
2020-08-17,2.42718
2020-08-18,17.47572
2020-08-19,13.10679
2020-08-20,23.7864
2020-08-21,10.67961
2020-08-22,4.36893
2020-08-23,2.42718
2020-08-24,5.82524
2020-08-25,25.24271
2020-08-26,16.99029
2020-08-27,11.65048
2020-08-28,13.59223
2020-08-29,3.39805
2020-08-30,2.42718
2020-08-31,7.28155
2020-09-01,11.65048
2020-09-02,18.93203
2020-09-03,12.13592
2020-09-04,9.2233
2020-09-05,3.39805
2020-09-06,3.39805
2020-09-07,9.70873
2020-09-08,19.90291
2020-09-09,6.31067
2020-09-10,9.70873
2020-09-11,11.16504
2020-09-12,6.31067
2020-09-13,2.91262
2020-09-14,9.2233
2020-09-15,16.50485
2020-09-16,11.16504
2020-09-17,7.28155
2020-09-18,3.88349
2020-09-19,2.42718
2020-09-21,9.70873
2020-09-22,20.87378
2020-09-23,10.19417
2020-09-24,5.3398
2020-09-25,7.76699
2020-09-27,2.42718
2020-09-28,6.31067
2020-09-29,5.82524
2020-10-01,2.42718
2020-10-02,2.42718
2020-10-04,2.91262
2020-10-05,9.2233
2020-10-06,5.3398
2020-10-07,8.73786
2020-10-08,6.79611
2020-10-12,21.35922
2020-10-13,9.2233
2020-10-14,8.25242
2020-10-15,8.25242
2020-10-16,5.3398
2020-10-19,6.31067
2020-10-20,3.88349
2020-10-21,4.36893
2020-10-22,8.25242
2020-10-23,5.3398
2020-10-24,5.3398
2020-10-26,4.36893
2020-10-27,20.87378
2020-10-28,6.79611
2020-10-29,15.04854
2020-10-30,14.5631
2020-10-31,4.85436
2020-11-01,4.36893
2020-11-02,6.31067
2020-11-03,18.93203
2020-11-04,6.79611
2020-11-05,4.36893
2020-11-06,12.13592
2020-11-07,6.31067
2020-11-09,6.79611
2020-11-10,19.41747
2020-11-11,6.79611
2020-11-12,6.31067
2020-11-13,7.76699
2020-11-14,5.82524
2020-11-15,3.88349
2020-11-16,15.04854
2020-11-17,22.81553
2020-11-18,16.01941
2020-11-19,14.5631
2020-11-20,13.59223
2020-11-23,7.76699
2020-11-24,22.33009
2020-11-25,10.67961
2020-11-26,14.5631
2020-11-27,17.96116
2020-11-28,2.91262
2020-11-29,3.88349
2020-11-30,18.93203
2020-12-01,15.04854
2020-12-02,12.13592
2020-12-03,14.5631
2020-12-04,11.16504
2020-12-05,2.91262
2020-12-06,2.91262
2020-12-07,11.16504
2020-12-08,5.3398
2020-12-09,10.67961
2020-12-10,17.47572
2020-12-11,12.62135
2020-12-12,2.91262
2020-12-13,5.3398
2020-12-14,5.3398
2020-12-15,17.47572
2020-12-16,10.19417
2020-12-17,10.67961
2020-12-18,27.6699
2020-12-19,7.76699
2020-12-20,11.16504
2020-12-21,8.25242
2020-12-22,7.76699
2020-12-23,12.62135
2020-12-24,4.36893
2020-12-25,3.39805
2020-12-26,5.3398
2020-12-27,2.91262
2020-12-28,5.82524
2020-12-29,12.13592
2020-12-30,9.70873
2020-12-31,3.39805
2021-01-01,2.42718
2021-01-02,2.42718
2021-01-03,4.85436
2021-01-04,16.50485
2021-01-05,11.16504
2021-01-06,15.53398
2021-01-07,11.16504
2021-01-08,8.73786
2021-01-09,3.39805
2021-01-10,2.91262
2021-01-11,14.07766
2021-01-12,16.50485
2021-01-13,19.41747
2021-01-14,15.04854
2021-01-15,11.16504
2021-01-16,3.88349
2021-01-17,7.76699
2021-01-18,6.31067
2021-01-19,8.73786
2021-01-20,15.53398
2021-01-21,13.10679
2021-01-22,15.04854
2021-01-23,9.70873
2021-01-24,5.82524
2021-01-25,8.73786
2021-01-26,8.73786
2021-01-27,16.99029
2021-01-28,8.73786
2021-01-29,5.82524
2021-01-30,7.28155
2021-01-31,6.79611
2021-02-01,18.93203
2021-02-02,11.16504
2021-02-03,16.50485
2021-02-04,20.87378
2021-02-05,15.04854
2021-02-06,3.88349
2021-02-07,3.39805
2021-02-08,17.96116
2021-02-09,15.04854
2021-02-10,13.59223
2021-02-11,4.85436
2021-02-12,5.82524
2021-02-13,4.85436
2021-02-14,11.16504
2021-02-15,20.87378
2021-02-16,22.81553
2021-02-17,25.72815
2021-02-18,17.47572
2021-02-19,13.59223
2021-02-20,10.67961
2021-02-21,7.76699
2021-02-22,12.62135
2021-02-23,17.47572
2021-02-24,27.6699
2021-02-25,13.59223
2021-02-26,12.13592
2021-02-27,5.82524
2021-02-28,6.31067
2021-03-01,6.31067
2021-03-02,11.16504
2021-03-03,8.73786
2021-03-04,12.62135
2021-03-05,9.70873
2021-03-06,4.85436
2021-03-07,5.3398
2021-03-08,15.04854
2021-03-09,10.67961
2021-03-10,13.10679
2021-03-11,10.19417
2021-03-12,24.27184
