date,예적금금리
2020-03-20,3.12204
2020-03-21,1.3718
2020-03-22,1.41911
2020-03-23,3.31125
2020-03-24,3.12204
2020-03-25,4.91958
2020-03-26,3.26395
2020-03-27,2.55439
2020-03-28,1.65562
2020-03-29,1.18259
2020-03-30,3.59508
2020-03-31,4.11542
2020-04-01,3.45316
2020-04-02,2.69631
2020-04-03,2.17596
2020-04-04,0.80416
2020-04-05,1.84484
2020-04-06,3.21665
2020-04-07,2.83822
2020-04-08,2.6017
2020-04-09,3.31125
2020-04-10,2.88552
2020-04-11,1.46641
2020-04-12,1.60832
2020-04-13,2.83822
2020-04-14,2.12866
2020-04-15,1.41911
2020-04-16,2.36518
2020-04-17,3.07473
2020-04-18,1.51371
2020-04-19,1.60832
2020-04-20,2.41248
2020-04-21,3.21665
2020-04-22,2.83822
2020-04-23,2.22327
2020-04-24,2.17596
2020-04-25,1.13528
2020-04-26,1.60832
2020-04-27,2.12866
2020-04-28,2.31788
2020-04-29,3.68968
2020-04-30,1.46641
2020-05-01,0.94607
2020-05-02,1.3718
2020-05-03,1.13528
2020-05-04,2.93282
2020-05-05,1.41911
2020-05-06,1.89214
2020-05-07,2.12866
2020-05-08,1.89214
2020-05-09,0.99337
2020-05-10,1.51371
2020-05-11,2.79091
2020-05-12,2.98013
2020-05-13,2.649
2020-05-14,1.79754
2020-05-15,1.79754
2020-05-16,0.85146
2020-05-17,1.22989
2020-05-18,2.03405
2020-05-19,2.17596
2020-05-20,2.27057
2020-05-21,1.79754
2020-05-22,2.12866
2020-05-23,0.94607
2020-05-24,1.93945
2020-05-25,2.45979
2020-05-26,1.93945
2020-05-27,1.89214
2020-05-28,3.64238
2020-05-29,2.55439
2020-05-30,0.89877
2020-05-31,1.60832
2020-06-01,4.44654
2020-06-02,3.54777
2020-06-03,3.54777
2020-06-04,3.50047
2020-06-05,2.83822
2020-06-06,1.13528
2020-06-07,1.18259
2020-06-08,3.50047
2020-06-09,2.12866
2020-06-10,2.41248
2020-06-11,2.6017
2020-06-12,2.08136
2020-06-13,0.80416
2020-06-14,0.75685
2020-06-15,2.93282
2020-06-16,2.31788
2020-06-17,2.36518
2020-06-18,1.79754
2020-06-19,2.50709
2020-06-20,0.89877
2020-06-21,0.94607
2020-06-22,2.69631
2020-06-23,2.6017
2020-06-24,2.08136
2020-06-25,2.41248
2020-06-26,2.69631
2020-06-27,1.22989
2020-06-28,0.75685
2020-06-29,2.93282
2020-06-30,2.6017
2020-07-01,1.98675
2020-07-02,2.08136
2020-07-03,2.50709
2020-07-04,0.61494
2020-07-05,1.56102
2020-07-06,2.31788
2020-07-07,2.22327
2020-07-08,2.6017
2020-07-09,2.50709
2020-07-10,1.79754
2020-07-11,0.75685
2020-07-12,1.93945
2020-07-13,2.36518
2020-07-14,2.17596
2020-07-15,2.41248
2020-07-16,2.03405
2020-07-17,1.65562
2020-07-18,0.85146
2020-07-19,1.41911
2020-07-20,2.36518
2020-07-21,2.69631
2020-07-22,2.22327
2020-07-23,2.12866
2020-07-24,1.51371
2020-07-25,0.80416
2020-07-26,1.3245
2020-07-27,2.50709
2020-07-28,2.12866
2020-07-29,2.17596
2020-07-30,2.83822
2020-07-31,2.36518
2020-08-01,1.60832
2020-08-02,1.3718
2020-08-03,1.89214
2020-08-04,1.75023
2020-08-05,1.70293
2020-08-06,1.98675
2020-08-07,1.3245
2020-08-08,0.66225
2020-08-09,1.18259
2020-08-10,1.93945
2020-08-11,2.50709
2020-08-12,2.55439
2020-08-13,2.55439
2020-08-14,1.89214
2020-08-15,0.47303
2020-08-16,1.46641
2020-08-17,1.60832
2020-08-18,2.03405
2020-08-19,2.22327
2020-08-20,1.60832
2020-08-21,1.84484
2020-08-22,1.22989
2020-08-23,0.94607
2020-08-24,2.45979
2020-08-25,2.31788
2020-08-26,1.56102
2020-08-27,2.50709
2020-08-28,1.3718
2020-08-29,1.27719
2020-08-30,1.27719
2020-08-31,2.79091
2020-09-01,2.649
2020-09-02,1.98675
2020-09-03,1.93945
2020-09-04,1.51371
2020-09-05,0.66225
2020-09-06,1.56102
2020-09-07,2.36518
2020-09-08,1.56102
2020-09-09,1.70293
2020-09-10,1.84484
2020-09-11,1.65562
2020-09-12,1.51371
2020-09-13,0.75685
2020-09-14,1.93945
2020-09-15,1.70293
2020-09-16,2.649
2020-09-17,2.31788
2020-09-18,1.89214
2020-09-19,0.80416
2020-09-20,0.99337
2020-09-21,2.27057
2020-09-22,1.75023
2020-09-23,1.98675
2020-09-24,1.60832
2020-09-25,2.17596
2020-09-26,1.18259
2020-09-27,1.04068
2020-09-28,2.50709
