date,뉴홈
2020-06-02,0.03755
2020-09-10,0.03755
2020-12-25,0.03755
2021-02-07,0.06009
2021-02-09,0.03755
2021-02-17,0.03755
2021-04-12,0.2629
2021-04-13,0.09764
2021-04-15,0.04506
2021-07-23,0.09013
2021-07-24,0.0676
2021-08-02,0.12018
2021-10-29,0.03755
2022-01-27,0.04506
2022-01-29,0.06009
2022-01-30,0.03755
2022-02-18,0.06009
2022-04-01,0.09013
2022-04-18,0.05258
2022-04-19,0.03755
2022-04-21,0.04506
2022-04-26,0.03755
2022-05-18,0.05258
2022-06-03,0.06009
2022-06-10,0.05258
2022-06-19,0.5934
2022-06-21,0.03755
2022-06-22,0.03755
2022-06-27,0.08262
2022-07-01,0.06009
2022-07-05,0.06009
2022-07-06,0.05258
2022-07-07,0.05258
2022-07-08,0.32299
2022-07-10,0.04506
2022-07-11,0.10516
2022-07-12,0.09764
2022-07-13,0.16525
2022-07-14,0.09013
2022-07-15,0.06009
2022-08-04,0.07511
2022-08-05,0.04506
2022-08-09,0.03755
2022-09-03,0.03755
2022-09-15,0.03755
2022-10-09,0.05258
2022-10-10,0.36054
2022-10-11,0.36054
2022-10-12,0.09013
2022-10-13,0.16525
2022-10-14,0.17276
2022-10-15,0.10516
2022-10-23,0.03755
2022-10-24,0.09013
2022-10-25,0.21032
2022-10-26,0.12769
2022-10-31,0.04506
2022-11-02,0.05258
2022-11-03,0.08262
2022-11-08,0.05258
2022-11-09,0.08262
2022-11-10,0.04506
2022-11-11,0.04506
2022-11-14,0.05258
2022-11-21,0.04506
2022-11-25,0.0676
2022-11-27,0.04506
2022-11-28,0.03755
2022-12-05,0.04506
2022-12-07,0.03755
2022-12-08,0.09013
2022-12-09,0.08262
2022-12-10,0.10516
2022-12-11,0.07511
2022-12-12,0.09764
2022-12-13,0.06009
2022-12-16,0.05258
2022-12-17,0.11267
2022-12-21,0.2028
2022-12-24,0.03755
2022-12-25,0.33801
2023-01-01,0.09764
2023-01-02,0.03755
2023-01-03,1.03658
2023-01-04,1.8403
2023-01-05,1.78772
2023-01-06,1.86284
2023-01-07,0.70607
2023-01-08,0.84879
2023-01-09,1.60745
2023-01-10,2.05062
2023-01-11,1.48726
2023-01-12,1.10418
2023-01-13,0.81874
2023-01-14,0.76616
2023-01-15,0.64598
2023-01-16,1.30699
2023-01-17,1.02155
2023-01-18,1.01404
2023-01-19,0.7887
2023-01-20,0.61593
2023-01-21,0.42815
2023-01-22,0.44317
2023-01-23,0.5934
2023-01-24,0.75865
2023-01-25,1.02906
2023-01-26,0.84128
2023-01-27,1.25441
2023-01-28,0.64598
2023-01-29,0.661
2023-01-30,3.23743
2023-01-31,3.64305
2023-02-01,9.45692
2023-02-02,6.09178
2023-02-03,5.95658
2023-02-04,2.83181
2023-02-05,3.62052
2023-02-06,16.30736
2023-02-07,9.02876
2023-02-08,6.24201
2023-02-09,4.7923
2023-02-10,3.82333
2023-02-11,2.26094
2023-02-12,24.15683
2023-02-13,27.46187
2023-02-14,9.69728
2023-02-15,7.32366
2023-02-16,4.03365
2023-02-17,3.25246
2023-02-18,2.11823
2023-02-19,2.09569
2023-02-20,24.98309
2023-02-21,11.09441
2023-02-22,6.48989
2023-02-23,4.22894
2023-02-24,2.81679
2023-02-25,2.29099
2023-02-26,2.83181
2023-02-27,6.24201
2023-02-28,3.51536
2023-03-01,2.28348
2023-03-02,2.80928
2023-03-03,4.59701
2023-03-04,1.98302
2023-03-05,4.60452
2023-03-06,4.45429
2023-03-07,2.98204
2023-03-08,3.18485
2023-03-09,2.46375
2023-03-10,2.60647
2023-03-11,1.44219
2023-03-12,1.3145
2023-03-13,2.07316
2023-03-14,1.71261
2023-03-15,1.87786
2023-03-16,1.39713
2023-03-17,1.8403
2023-03-18,1.01404
2023-03-19,1.23939
2023-03-20,2.38864
2023-03-21,2.45624
2023-03-22,4.23646
2023-03-23,2.86937
2023-03-24,2.43371
2023-03-25,1.23187
2023-03-26,1.39713
2023-03-27,3.13227
2023-03-28,4.94253
2023-03-29,4.15383
2023-03-30,9.65973
2023-03-31,3.79328
2023-04-01,1.59242
2023-04-02,1.44971
2023-04-03,3.12476
2023-04-04,2.83932
2023-04-05,2.47126
2023-04-06,2.23841
2023-04-07,1.99804
2023-04-08,0.84879
2023-04-09,1.23939
2023-04-10,1.99053
2023-04-11,2.05813
2023-04-12,2.08067
2023-04-13,1.93795
2023-04-14,1.7051
2023-04-15,0.93142
2023-04-16,1.15676
2023-04-17,1.90039
2023-04-18,2.22339
2023-04-19,1.54735
2023-04-20,1.43468
2023-04-21,1.44971
2023-04-22,0.75114
2023-04-23,0.84879
2023-04-24,1.79523
2023-04-25,1.80274
2023-04-26,1.62247
2023-04-27,1.44971
2023-04-28,1.30699
2023-04-29,0.78119
2023-04-30,1.03658
2023-05-01,1.3821
2023-05-02,2.14827
2023-05-03,1.95297
2023-05-04,1.40464
2023-05-05,1.3821
2023-05-06,1.14925
2023-05-07,1.26943
2023-05-08,2.41117
2023-05-09,1.99804
2023-05-10,3.15481
2023-05-11,2.50882
2023-05-12,4.1989
2023-05-13,2.24592
2023-05-14,2.08067
2023-05-15,6.3622
2023-05-16,3.44775
2023-05-17,2.65905
2023-05-18,4.7247
2023-05-19,3.76323
2023-05-20,1.90039
2023-05-21,2.74919
2023-05-22,6.35469
2023-05-23,11.22211
2023-05-24,5.76128
2023-05-25,4.73972
2023-05-26,3.20739
2023-05-27,2.61398
2023-05-28,3.29752
2023-05-29,3.78577
2023-05-30,7.96965
2023-05-31,5.92653
2023-06-01,10.63622
2023-06-02,7.72928
2023-06-03,3.13978
2023-06-04,3.68061
2023-06-05,7.24104
2023-06-06,4.0712
2023-06-07,62.99106
2023-06-08,71.56914
2023-06-09,70.78044
2023-06-10,18.90633
2023-06-11,20.16074
2023-06-12,35.03342
2023-06-13,24.54743
2023-06-14,22.47427
2023-06-15,25.40374
2023-06-16,28.73131
2023-06-17,21.08465
2023-06-18,16.17216
2023-06-19,82.67107
2023-06-20,39.29993
2023-06-21,64.23796
2023-06-22,25.23097
2023-06-23,19.52978
2023-06-24,6.90302
2023-06-25,6.61008
2023-06-26,30.93217
2023-06-27,13.01735
2023-06-28,11.22962
2023-06-29,10.4935
2023-06-30,12.92721
2023-07-01,3.68812
2023-07-02,4.1313
2023-07-03,7.53398
2023-07-04,8.24006
2023-07-05,53.61676
2023-07-06,11.98828
2023-07-07,5.89649
2023-07-08,2.98955
2023-07-09,3.4778
2023-07-10,5.34815
2023-07-11,4.2665
2023-07-12,5.9716
2023-07-13,14.72245
2023-07-14,6.79786
2023-07-15,3.3501
2023-07-16,3.94351
2023-07-17,4.73221
2023-07-18,3.89093
2023-07-19,4.16134
2023-07-20,3.18485
2023-07-21,2.71914
2023-07-22,1.82528
2023-07-23,2.15578
2023-07-24,3.84586
2023-07-25,3.78577
2023-07-26,3.8083
2023-07-27,4.04867
2023-07-28,4.05618
2023-07-29,2.41117
2023-07-30,2.43371
2023-07-31,4.31908
2023-08-01,3.0872
2023-08-02,2.64403
2023-08-03,2.71914
2023-08-04,2.27597
2023-08-05,1.75016
2023-08-06,2.02809
2023-08-07,3.8083
2023-08-08,4.04116
2023-08-09,3.32006
2023-08-10,2.93697
2023-08-11,2.92195
2023-08-12,1.97551
2023-08-13,1.8403
2023-08-14,3.27499
2023-08-15,2.53887
2023-08-16,3.89093
2023-08-17,3.65807
2023-08-18,3.76323
2023-08-19,2.44122
2023-08-20,2.70412
2023-08-21,4.3341
2023-08-22,5.1153
2023-08-23,6.75279
2023-08-24,6.61759
2023-08-25,4.82235
2023-08-26,2.65905
2023-08-27,3.25246
