date,나스닥ETF
2020-03-20,49.84984
2020-03-21,32.43243
2020-03-22,27.62762
2020-03-23,26.72672
2020-03-24,45.64564
2020-03-25,41.74174
2020-03-26,27.32732
2020-03-27,23.72372
2020-03-28,18.31831
2020-03-29,17.71771
2020-03-30,20.72072
2020-03-31,25.82582
2020-04-01,35.73573
2020-04-02,22.52252
2020-04-03,20.72072
2020-04-04,24.62462
2020-04-05,17.11711
2020-04-06,29.72972
2020-04-07,34.53453
2020-04-08,29.42942
2020-04-09,31.53153
2020-04-10,18.91891
2020-04-11,23.72372
2020-04-12,22.82282
2020-04-13,20.72072
2020-04-14,38.73873
2020-04-15,33.93393
2020-04-16,33.63363
2020-04-17,43.84384
2020-04-18,27.02702
2020-04-19,29.72972
2020-04-20,32.73273
2020-04-21,28.82882
2020-04-22,24.92492
2020-04-23,27.32732
2020-04-24,20.42042
2020-04-25,17.41741
2020-04-26,19.81981
2020-04-27,24.32432
2020-04-28,26.42642
2020-04-29,18.31831
2020-04-30,21.92192
2020-05-01,13.81381
2020-05-02,15.61561
2020-05-03,15.61561
2020-05-04,21.62162
2020-05-05,24.62462
2020-05-06,32.13213
2020-05-07,26.12612
2020-05-08,22.22222
2020-05-09,27.62762
2020-05-10,18.01801
2020-05-11,29.12912
2020-05-12,28.82882
2020-05-13,29.42942
2020-05-14,25.52552
2020-05-15,15.31531
2020-05-16,15.31531
2020-05-17,15.91591
2020-05-18,24.32432
2020-05-19,21.92192
2020-05-20,17.71771
2020-05-21,26.12612
2020-05-22,17.11711
2020-05-23,15.01501
2020-05-24,15.91591
2020-05-25,20.72072
2020-05-26,24.92492
2020-05-27,23.72372
2020-05-28,16.21621
2020-05-29,14.71471
2020-05-30,11.71171
2020-05-31,10.51051
2020-06-01,18.01801
2020-06-02,20.42042
2020-06-03,22.52252
2020-06-04,18.91891
2020-06-05,17.41741
2020-06-06,22.22222
2020-06-07,17.71771
2020-06-08,24.92492
2020-06-09,38.43843
2020-06-10,46.54654
2020-06-11,54.35435
2020-06-12,32.13213
2020-06-13,16.21621
2020-06-14,10.51051
2020-06-15,21.32132
2020-06-16,23.42342
2020-06-17,24.02402
2020-06-18,19.21921
2020-06-19,16.81681
2020-06-20,10.21021
2020-06-21,13.81381
2020-06-22,15.91591
2020-06-23,31.23123
2020-06-24,27.32732
2020-06-25,23.72372
2020-06-26,24.02402
2020-06-27,15.31531
2020-06-28,14.71471
2020-06-29,17.41741
2020-06-30,14.41441
2020-07-01,16.51651
2020-07-02,21.02102
2020-07-03,16.81681
2020-07-04,12.61261
2020-07-05,12.31231
2020-07-06,16.51651
2020-07-07,30.03003
2020-07-08,22.82282
2020-07-09,31.23123
2020-07-10,30.03003
2020-07-11,21.62162
2020-07-12,17.71771
2020-07-13,34.23423
2020-07-14,27.92792
2020-07-15,27.62762
2020-07-16,18.31831
2020-07-17,20.42042
2020-07-18,9.3093
