date,오늘주식시장
2020-03-20,4.94339
2020-03-21,0.65641
2020-03-22,0.27104
2020-03-23,3.85551
2020-03-24,4.27222
2020-03-25,3.51071
2020-03-26,3.22675
2020-03-27,3.24519
2020-03-28,0.47571
2020-03-29,0.20651
2020-03-30,2.88195
2020-03-31,1.85676
2020-04-01,2.95017
2020-04-02,2.05406
2020-04-03,1.41424
2020-04-04,0.26367
2020-04-05,0.13091
2020-04-06,1.69819
2020-04-07,1.67238
2020-04-08,1.5304
2020-04-09,1.34233
2020-04-10,1.51934
2020-04-11,0.2102
2020-04-12,0.12538
2020-04-13,1.72585
2020-04-14,1.07681
2020-04-15,8.42829
2020-04-16,1.78485
2020-04-17,1.2907
2020-04-18,0.18991
2020-04-19,0.118
2020-04-20,1.11553
2020-04-21,2.34723
2020-04-22,1.58203
2020-04-23,0.99568
2020-04-24,1.29439
2020-04-25,0.14382
2020-04-26,0.04794
2020-04-27,0.98462
2020-04-28,0.92193
2020-04-29,0.69329
2020-04-30,2.08725
2020-05-01,47.71729
2020-05-02,0.71173
2020-05-03,0.30792
2020-05-04,3.58999
2020-05-05,0.54578
2020-05-06,0.89796
2020-05-07,0.74492
2020-05-08,0.78548
2020-05-09,0.11616
2020-05-10,0.04425
2020-05-11,0.86661
2020-05-12,0.83895
2020-05-13,0.614
2020-05-14,0.5679
2020-05-15,0.47571
2020-05-16,0.07928
2020-05-17,0.03687
2020-05-18,0.51443
2020-05-19,0.55315
2020-05-20,0.45912
2020-05-21,0.38536
2020-05-22,0.49784
2020-05-23,0.06084
2020-05-24,0.02397
2020-05-25,0.34111
2020-05-26,0.38536
2020-05-27,0.40933
2020-05-28,0.87214
2020-05-29,0.51628
2020-05-30,0.07375
2020-05-31,0.03872
2020-06-01,0.3577
2020-06-02,0.30054
2020-06-03,0.5255
2020-06-04,0.43146
2020-06-05,0.32451
2020-06-06,0.04978
2020-06-07,0.03503
2020-06-08,0.39827
2020-06-09,0.36692
2020-06-10,0.31714
2020-06-11,0.42408
2020-06-12,1.09156
2020-06-13,0.08297
2020-06-14,0.059
2020-06-15,2.97599
2020-06-16,1.23354
2020-06-17,0.86108
2020-06-18,0.56237
2020-06-19,0.46465
2020-06-20,0.09588
2020-06-21,0.03318
2020-06-22,0.44805
2020-06-23,0.45912
2020-06-24,0.32636
2020-06-25,0.74492
2020-06-26,0.42408
2020-06-27,0.08112
2020-06-28,0.06822
2020-06-29,0.64719
2020-06-30,0.41855
2020-07-01,0.42408
2020-07-02,0.29133
2020-07-03,0.21757
2020-07-04,0.04978
2020-07-05,0.02028
2020-07-06,0.2231
2020-07-07,0.33373
2020-07-08,0.23601
2020-07-09,0.28211
2020-07-10,0.30608
2020-07-11,0.06822
2020-07-12,0.03687
2020-07-13,0.35402
2020-07-14,0.41671
2020-07-15,0.45912
2020-07-16,0.68776
2020-07-17,0.50153
2020-07-18,0.08297
2020-07-19,0.02581
2020-07-20,0.34664
2020-07-21,0.36139
2020-07-22,0.27473
2020-07-23,0.33742
2020-07-24,0.36139
2020-07-25,0.05347
2020-07-26,0.0424
2020-07-27,0.26735
2020-07-28,0.24523
2020-07-29,0.23048
2020-07-30,0.2692
2020-07-31,0.20466
2020-08-01,0.02581
2020-08-02,0.03318
2020-08-03,0.18991
2020-08-04,0.15672
2020-08-05,0.22495
2020-08-06,0.22863
2020-08-07,0.24523
2020-08-08,0.04978
2020-08-09,0.03503
2020-08-10,0.28211
2020-08-11,0.19913
2020-08-12,0.53656
2020-08-13,0.3153
2020-08-14,0.83711
2020-08-15,0.04425
2020-08-16,0.03503
2020-08-17,35.13847
2020-08-18,6.76144
2020-08-19,1.5304
2020-08-20,3.40008
2020-08-21,1.23907
2020-08-22,0.13828
2020-08-23,0.08297
2020-08-24,0.99937
2020-08-25,0.74676
2020-08-26,0.78917
2020-08-27,1.01043
2020-08-28,0.80392
2020-08-29,0.12353
2020-08-30,0.07928
2020-08-31,1.13028
2020-09-01,0.85555
2020-09-02,0.78364
2020-09-03,0.69329
2020-09-04,1.43636
2020-09-05,0.20651
2020-09-06,0.04978
2020-09-07,0.85923
2020-09-08,1.02703
2020-09-09,1.01596
2020-09-10,0.66563
2020-09-11,0.68038
2020-09-12,0.0885
2020-09-13,0.02581
2020-09-14,0.51628
2020-09-15,0.4204
2020-09-16,0.53471
2020-09-17,0.77073
2020-09-18,0.48124
2020-09-19,0.05715
2020-09-20,0.02581
2020-09-21,0.45912
2020-09-22,0.96987
2020-09-23,0.70804
2020-09-24,1.41055
2020-09-25,0.67669
2020-09-26,0.09956
2020-09-27,0.02765
2020-09-28,0.44805
2020-09-29,0.71541
2020-09-30,0.54578
2020-10-01,0.059
2020-10-02,0.12907
2020-10-03,0.059
2020-10-04,0.02765
2020-10-05,0.37799
2020-10-06,0.32451
2020-10-07,0.3577
2020-10-08,0.29501
2020-10-09,0.78732
2020-10-10,0.07006
2020-10-11,0.04425
2020-10-12,0.30054
2020-10-13,0.32636
2020-10-14,0.43146
2020-10-15,0.96433
2020-10-16,0.90349
2020-10-17,0.11616
2020-10-18,0.0295
2020-10-19,0.48124
2020-10-20,0.53471
2020-10-21,0.4628
2020-10-22,0.68591
