date,신차할부금리
2020-03-20,3.26086
2020-03-21,2.05314
2020-03-22,1.69082
2020-03-23,1.69082
2020-03-24,1.44927
2020-03-25,2.41545
2020-03-26,2.77777
2020-03-27,2.53623
2020-03-28,1.08695
2020-03-29,1.20772
2020-03-30,2.77777
2020-03-31,3.26086
2020-04-01,2.29468
2020-04-02,2.77777
2020-04-03,2.17391
2020-04-04,1.08695
2020-04-05,1.69082
2020-04-06,3.26086
2020-04-07,3.14009
2020-04-08,2.41545
2020-04-09,2.41545
2020-04-10,1.81159
2020-04-11,1.44927
2020-04-12,2.17391
2020-04-13,2.05314
2020-04-14,2.41545
2020-04-15,2.77777
2020-04-16,1.81159
2020-04-17,3.86473
2020-04-18,2.77777
2020-04-19,2.05314
2020-04-20,2.53623
2020-04-21,1.93236
2020-04-22,2.657
2020-04-23,1.44927
2020-04-24,1.93236
2020-04-25,2.05314
2020-04-26,2.77777
2020-04-27,1.3285
2020-04-28,2.05314
2020-04-29,2.17391
2020-04-30,1.69082
2020-05-01,1.08695
2020-05-02,1.08695
2020-05-03,1.3285
2020-05-04,2.41545
2020-05-05,1.3285
2020-05-06,2.89855
2020-05-07,1.81159
2020-05-08,1.20772
2020-05-09,1.81159
2020-05-10,2.17391
2020-05-11,2.29468
2020-05-12,2.657
2020-05-13,3.01932
2020-05-14,3.74396
2020-05-15,3.14009
2020-05-17,1.08695
2020-05-18,2.29468
2020-05-19,0.96618
2020-05-20,3.9855
2020-05-21,3.26086
2020-05-22,3.38164
2020-05-23,1.20772
2020-05-24,1.3285
2020-05-25,3.50241
2020-05-26,3.50241
2020-05-27,2.29468
2020-05-28,2.05314
2020-05-29,0.60386
2020-05-30,1.69082
2020-05-31,1.08695
2020-06-01,2.77777
2020-06-02,1.57004
2020-06-03,2.17391
2020-06-04,0.96618
2020-06-05,1.3285
2020-06-06,1.08695
2020-06-07,1.93236
2020-06-08,0.96618
2020-06-09,1.08695
2020-06-10,1.93236
2020-06-11,1.20772
2020-06-12,0.72463
2020-06-14,2.17391
2020-06-15,2.53623
2020-06-16,2.657
2020-06-17,0.60386
2020-06-18,0.84541
2020-06-19,2.17391
2020-06-20,1.44927
2020-06-22,2.41545
2020-06-23,1.69082
2020-06-24,1.08695
2020-06-25,1.08695
2020-06-27,0.72463
2020-06-28,1.69082
2020-06-29,2.657
2020-06-30,1.08695
2020-07-01,1.93236
2020-07-02,1.81159
2020-07-03,1.69082
2020-07-04,1.69082
2020-07-05,1.3285
2020-07-06,2.29468
2020-07-07,1.44927
2020-07-08,1.44927
2020-07-09,1.08695
2020-07-10,2.17391
2020-07-11,0.96618
2020-07-12,0.60386
2020-07-13,1.57004
2020-07-14,2.05314
2020-07-15,1.69082
2020-07-16,0.96618
2020-07-17,2.17391
2020-07-18,1.08695
2020-07-19,1.93236
2020-07-20,1.3285
2020-07-21,2.89855
2020-07-22,1.69082
2020-07-23,0.96618
2020-07-24,0.84541
2020-07-25,0.60386
2020-07-26,1.08695
2020-07-27,2.05314
2020-07-28,3.62318
2020-07-29,1.20772
2020-07-30,2.41545
2020-07-31,1.81159
2020-08-01,1.57004
2020-08-02,0.60386
2020-08-03,1.57004
2020-08-04,1.20772
2020-08-05,2.89855
2020-08-06,1.3285
2020-08-07,1.81159
2020-08-08,1.20772
2020-08-09,1.69082
2020-08-10,0.96618
2020-08-11,2.05314
2020-08-12,1.20772
2020-08-13,2.657
2020-08-14,0.84541
2020-08-15,0.60386
2020-08-16,1.44927
2020-08-17,2.77777
2020-08-18,2.77777
2020-08-19,2.77777
2020-08-20,1.08695
2020-08-21,1.69082
2020-08-23,1.3285
2020-08-24,2.29468
2020-08-25,1.57004
2020-08-26,2.05314
2020-08-27,3.01932
2020-08-28,1.3285
2020-08-29,0.96618
2020-08-30,1.3285
2020-08-31,2.53623
2020-09-01,1.3285
2020-09-02,1.44927
2020-09-03,2.17391
2020-09-04,0.72463
2020-09-05,1.44927
2020-09-07,2.05314
2020-09-08,1.93236
2020-09-09,1.69082
2020-09-10,1.69082
2020-09-11,1.81159
2020-09-12,1.44927
2020-09-13,1.44927
2020-09-14,2.05314
2020-09-15,2.77777
2020-09-16,2.41545
2020-09-17,2.657
2020-09-18,2.41545
2020-09-19,0.72463
2020-09-20,1.20772
2020-09-21,1.57004
2020-09-22,2.77777
2020-09-23,1.81159
2020-09-24,1.69082
2020-09-27,0.60386
