date,적금
2020-03-20,5.07124
2020-03-21,3.62173
2020-03-22,3.81267
2020-03-23,5.90071
2020-03-24,5.46339
2020-03-25,6.57208
2020-03-26,6.13476
2020-03-27,5.06919
2020-03-28,3.66689
2020-03-29,3.5704
2020-03-30,5.9972
2020-03-31,6.48585
2020-04-01,6.14503
2020-04-02,4.86593
2020-04-03,4.7181
2020-04-04,3.12281
2020-04-05,3.76134
2020-04-06,5.34225
2020-04-07,5.05687
2020-04-08,5.07329
2020-04-09,4.91315
2020-04-10,5.69539
2020-04-11,3.78187
2020-04-12,4.10421
2020-04-13,5.55373
2020-04-14,4.59491
2020-04-15,3.96871
2020-04-16,4.7838
2020-04-17,5.19032
2020-04-18,3.4082
2020-04-19,3.97076
2020-04-20,5.83706
2020-04-21,6.21894
2020-04-22,5.51061
2020-04-23,5.36278
2020-04-24,5.51677
2020-04-25,3.59298
2020-04-26,3.71822
2020-04-27,5.59479
2020-04-28,5.01991
2020-04-29,4.80844
2020-04-30,3.55397
2020-05-01,3.65868
2020-05-02,3.10228
2020-05-03,3.65252
2020-05-04,5.85143
2020-05-05,4.24588
2020-05-06,5.22317
2020-05-07,4.29721
2020-05-08,4.2931
2020-05-09,2.84564
2020-05-10,3.36919
2020-05-11,5.00964
2020-05-12,4.84539
2020-05-13,4.09805
2020-05-14,3.99129
2020-05-15,4.12474
2020-05-16,2.85385
2020-05-17,2.93598
2020-05-18,4.69141
2020-05-19,4.44298
2020-05-20,4.42861
2020-05-21,4.66266
2020-05-22,3.8681
2020-05-23,2.63827
2020-05-24,3.12076
2020-05-25,5.75493
2020-05-26,5.6338
2020-05-27,4.1966
2020-05-28,4.1617
2020-05-29,3.85784
2020-05-30,2.67728
2020-05-31,3.49238
2020-06-01,5.25397
2020-06-02,4.61955
2020-06-03,4.12885
2020-06-04,4.28694
2020-06-05,3.8989
2020-06-06,2.84153
2020-06-07,3.03864
2020-06-08,4.52921
2020-06-09,4.09395
2020-06-10,5.02196
2020-06-11,4.40397
2020-06-12,3.51702
2020-06-13,2.43296
2020-06-14,2.98115
2020-06-15,4.55385
2020-06-16,4.41834
2020-06-17,4.01387
2020-06-18,3.66279
2020-06-19,3.59093
2020-06-20,2.4617
2020-06-21,2.85385
2020-06-22,4.3896
2020-06-23,3.74697
2020-06-24,3.82704
2020-06-25,4.8495
2020-06-26,3.94407
2020-06-27,2.5233
2020-06-28,2.89902
2020-06-29,4.38549
2020-06-30,4.47994
2020-07-01,4.51895
2020-07-02,4.10627
2020-07-03,4.42039
2020-07-04,2.56436
2020-07-05,3.46979
2020-07-06,4.77353
2020-07-07,4.20892
2020-07-08,4.31569
2020-07-09,4.2582
2020-07-10,4.10011
2020-07-11,2.77789
2020-07-12,3.19467
2020-07-13,4.59902
2020-07-14,4.09189
2020-07-15,5.33199
2020-07-16,3.86605
2020-07-17,3.47185
2020-07-18,2.34262
2020-07-19,2.8826
2020-07-20,4.43887
2020-07-21,4.24588
2020-07-22,4.04056
2020-07-23,3.76339
2020-07-24,4.0303
2020-07-25,2.70808
2020-07-26,3.12487
2020-07-27,4.6832
2020-07-28,4.56206
2020-07-29,4.05904
2020-07-30,3.75313
2020-07-31,4.06726
2020-08-01,2.81279
2020-08-02,3.12076
2020-08-03,4.30747
2020-08-04,3.94201
2020-08-05,4.33827
2020-08-06,3.82088
2020-08-07,3.77366
2020-08-08,2.39395
2020-08-09,2.75325
2020-08-10,5.31762
2020-08-11,4.75711
2020-08-12,4.34032
2020-08-13,3.53755
2020-08-14,3.3774
2020-08-15,2.40422
2020-08-16,2.2954
2020-08-17,2.96062
2020-08-18,3.94407
2020-08-19,3.95023
2020-08-20,4.1617
2020-08-21,3.84346
2020-08-22,2.52124
2020-08-23,2.89286
2020-08-24,4.43682
2020-08-25,5.33815
2020-08-26,4.57438
2020-08-27,4.24998
2020-08-28,3.5088
2020-08-29,2.81074
2020-08-30,2.95651
2020-08-31,4.93368
2020-09-01,4.75506
2020-09-02,4.13296
2020-09-03,3.92764
2020-09-04,3.47801
2020-09-05,2.58489
2020-09-06,3.04274
2020-09-07,3.92148
2020-09-08,3.79214
2020-09-09,3.65252
2020-09-10,4.64213
2020-09-11,3.75518
2020-09-12,2.50071
2020-09-13,2.73272
2020-09-14,3.66484
2020-09-15,3.97486
2020-09-16,4.58465
2020-09-17,3.83115
2020-09-18,3.63404
2020-09-19,2.53767
2020-09-20,2.8518
2020-09-21,4.31569
2020-09-22,3.75723
2020-09-23,3.87631
2020-09-24,3.59298
2020-09-25,4.37523
2020-09-26,2.75941
2020-09-27,2.90313
2020-09-28,4.21303
2020-09-29,3.81472
2020-09-30,2.56436
2020-10-01,2.68344
2020-10-02,2.41654
2020-10-03,2.72245
2020-10-04,3.26859
2020-10-05,5.02607
2020-10-06,4.16375
2020-10-07,3.91738
2020-10-08,3.80035
2020-10-09,2.31798
2020-10-10,2.34262
2020-10-11,2.77378
2020-10-12,4.21713
2020-10-13,3.7983
2020-10-14,3.69769
2020-10-15,3.92559
2020-10-16,3.45542
2020-10-17,2.38163
2020-10-18,2.92366
2020-10-19,4.14117
2020-10-20,4.1925
2020-10-21,3.99129
2020-10-22,3.50059
2020-10-23,3.74491
2020-10-24,2.44939
2020-10-25,2.80252
2020-10-26,4.34032
2020-10-27,3.76544
2020-10-28,3.5704
2020-10-29,3.63404
2020-10-30,3.32402
2020-10-31,2.29129
2020-11-01,2.90518
2020-11-02,3.91532
2020-11-03,3.41847
2020-11-04,3.12281
2020-11-05,3.61762
2020-11-06,3.08175
2020-11-07,2.27076
2020-11-08,2.59721
2020-11-09,3.88863
2020-11-10,4.45119
2020-11-11,3.62788
2020-11-12,3.5745
2020-11-13,3.3117
2020-11-14,2.37547
2020-11-15,2.68139
2020-11-16,4.15965
2020-11-17,3.75929
2020-11-18,3.41025
2020-11-19,3.19262
2020-11-20,3.49238
2020-11-21,2.60337
2020-11-22,2.82922
2020-11-23,3.79214
2020-11-24,3.78598
2020-11-25,4.46351
2020-11-26,3.72644
2020-11-27,3.59093
2020-11-28,2.6239
2020-11-29,3.17004
2020-11-30,4.68936
2020-12-01,4.59491
2020-12-02,4.69757
2020-12-03,4.15965
2020-12-04,3.99745
