date,실비
2020-03-20,12.69043
2020-03-21,7.70596
2020-03-22,6.40437
2020-03-23,13.44475
2020-03-24,14.58364
2020-03-25,15.38233
2020-03-26,14.8055
2020-03-27,12.54252
2020-03-28,7.33619
2020-03-29,6.6854
2020-03-30,14.56885
2020-03-31,14.4801
2020-04-01,13.3708
2020-04-02,12.91229
2020-04-03,11.50717
2020-04-04,6.996
2020-04-05,7.1587
2020-04-06,12.76438
2020-04-07,12.60168
2020-04-08,13.63703
2020-04-09,12.92708
2020-04-10,11.75861
2020-04-11,7.76512
2020-04-12,8.34196
2020-04-13,13.60745
2020-04-14,13.10457
2020-04-15,7.17349
2020-04-16,11.58112
2020-04-17,11.95089
2020-04-18,6.65582
2020-04-19,6.46354
2020-04-20,13.57787
2020-04-21,13.00103
2020-04-22,12.18754
2020-04-23,12.08401
2020-04-24,11.43321
2020-04-25,7.45451
2020-04-26,7.26223
2020-04-27,12.61647
2020-04-28,13.82931
2020-04-29,12.61647
2020-04-30,7.08475
2020-05-01,8.20884
2020-05-02,6.80372
2020-05-03,6.36
2020-05-04,12.67563
2020-05-05,7.52847
2020-05-06,13.63703
2020-05-07,13.81452
2020-05-08,14.0068
2020-05-09,9.05191
2020-05-10,6.24168
2020-05-11,14.05117
2020-05-12,13.93285
2020-05-13,14.12512
2020-05-14,13.14894
2020-05-15,12.77917
2020-05-16,7.69116
2020-05-17,6.34521
2020-05-18,13.50391
2020-05-19,13.10457
2020-05-20,12.91229
2020-05-21,13.99201
2020-05-22,12.36503
2020-05-23,8.06093
2020-05-24,7.35098
2020-05-25,14.93861
2020-05-26,14.73154
2020-05-27,14.55406
2020-05-28,13.3708
2020-05-29,12.51294
2020-05-30,8.96317
2020-05-31,6.1973
2020-06-01,13.44475
2020-06-02,13.25247
2020-06-03,13.31164
2020-06-04,13.00103
2020-06-05,12.17275
2020-06-06,7.4693
2020-06-07,6.28605
2020-06-08,13.07498
2020-06-09,12.12838
2020-06-10,13.10457
2020-06-11,13.48912
2020-06-12,11.34447
2020-06-13,8.41591
2020-06-14,6.43395
2020-06-15,13.77015
2020-06-16,13.48912
2020-06-17,13.5335
2020-06-18,12.03963
2020-06-19,12.39461
2020-06-20,7.48409
2020-06-21,6.31563
2020-06-22,12.85312
2020-06-23,12.2467
2020-06-24,14.62801
2020-06-25,17.06848
2020-06-26,12.52773
2020-06-27,9.17024
2020-06-28,8.44549
2020-06-29,13.96243
2020-06-30,14.0068
2020-07-01,14.21387
2020-07-02,14.46531
2020-07-03,13.59266
2020-07-04,8.94838
2020-07-05,7.30661
2020-07-06,14.40615
2020-07-07,13.60745
2020-07-08,12.98624
2020-07-09,13.28205
2020-07-10,12.77917
2020-07-11,8.50465
2020-07-12,6.64102
2020-07-13,13.77015
2020-07-14,13.91805
2020-07-15,13.59266
2020-07-16,13.03061
2020-07-17,12.14317
2020-07-18,7.92782
2020-07-19,7.30661
2020-07-20,14.27303
2020-07-21,14.03638
2020-07-22,14.15471
2020-07-23,13.63703
2020-07-24,13.62224
2020-07-25,7.82428
2020-07-26,7.73554
2020-07-27,14.33219
2020-07-28,14.15471
2020-07-29,14.4801
2020-07-30,13.71098
2020-07-31,11.66987
2020-08-01,7.7947
2020-08-02,6.8333
2020-08-03,13.91805
2020-08-04,13.56308
2020-08-05,12.79396
2020-08-06,13.0454
2020-08-07,12.86791
2020-08-08,8.1201
2020-08-09,7.1587
2020-08-10,15.47108
2020-08-11,13.75536
2020-08-12,13.13415
2020-08-13,14.08075
2020-08-14,13.74057
2020-08-15,8.66735
2020-08-16,7.18828
2020-08-17,10.47182
2020-08-18,13.90326
2020-08-19,13.47433
2020-08-20,13.25247
2020-08-21,13.74057
2020-08-22,9.95414
2020-08-23,9.62875
2020-08-24,14.53926
2020-08-25,15.21964
2020-08-26,14.76113
2020-08-27,13.14894
2020-08-28,12.43898
2020-08-29,8.94838
2020-08-30,7.14391
2020-08-31,15.10131
2020-09-01,15.13089
2020-09-02,14.43573
2020-09-03,13.50391
2020-09-04,13.13415
2020-09-05,9.99852
2020-09-06,9.15545
2020-09-07,15.78168
2020-09-08,14.65759
2020-09-09,14.61322
2020-09-10,15.08652
2020-09-11,14.34699
2020-09-12,12.86791
2020-09-13,10.87117
2020-09-14,17.33471
2020-09-15,17.11285
2020-09-16,15.4415
2020-09-17,14.67238
2020-09-18,14.43573
2020-09-19,12.80875
2020-09-20,9.46605
2020-09-21,16.75787
2020-09-22,16.53601
2020-09-23,15.36754
2020-09-24,14.70196
2020-09-25,14.70196
2020-09-26,13.47433
2020-09-27,12.52773
2020-09-28,16.00354
2020-09-29,14.06596
2020-09-30,8.60819
2020-10-01,8.7561
2020-10-02,8.4307
2020-10-03,14.58364
2020-10-04,13.74057
2020-10-05,18.63629
2020-10-06,18.56234
2020-10-07,17.27555
2020-10-08,14.74633
2020-10-09,10.61973
2020-10-10,23.5616
2020-10-11,27.14095
2020-10-12,26.54932
2020-10-13,25.6323
2020-10-14,22.98476
2020-10-15,21.47611
2020-10-16,19.99704
2020-10-17,22.95518
2020-10-18,18.63629
2020-10-19,20.11536
2020-10-20,20.20411
2020-10-21,19.64206
2020-10-22,18.60671
2020-10-23,15.64857
2020-10-24,19.00606
2020-10-25,17.14243
2020-10-26,25.39565
2020-10-27,20.23369
2020-10-28,21.35778
2020-10-29,18.65108
2020-10-30,17.23117
2020-10-31,15.20485
2020-11-01,15.20485
2020-11-02,21.68318
2020-11-03,17.46783
2020-11-04,16.95015
2020-11-05,17.54178
2020-11-06,15.97396
2020-11-07,23.54681
2020-11-08,23.19183
2020-11-09,24.95193
2020-11-10,18.35527
2020-11-11,17.57136
2020-11-12,17.91155
2020-11-13,15.82606
2020-11-14,13.93285
2020-11-15,12.15796
2020-11-16,16.99452
2020-11-17,16.75787
2020-11-18,17.27555
2020-11-19,16.69871
2020-11-20,14.24345
