date,수탁자
2020-03-20,52.07253
2020-03-21,27.7202
2020-03-22,22.27979
2020-03-23,60.10362
2020-03-24,72.53886
2020-03-25,56.99481
2020-03-26,63.73056
2020-03-27,50.25906
2020-03-28,23.05699
2020-03-29,22.02072
2020-03-30,63.73056
2020-03-31,53.62694
2020-04-01,57.25388
2020-04-02,55.69948
2020-04-03,54.66321
2020-04-04,26.943
2020-04-05,24.61139
2020-04-06,58.03108
2020-04-07,61.39896
2020-04-08,62.95336
2020-04-09,64.2487
2020-04-10,50.7772
2020-04-11,24.87046
2020-04-12,22.02072
2020-04-13,61.91709
2020-04-14,61.91709
2020-04-15,35.23316
2020-04-16,48.70466
2020-04-17,52.84974
2020-04-18,33.41968
2020-04-19,31.86528
2020-04-20,68.13471
2020-04-21,74.61139
2020-04-22,77.20207
2020-04-23,68.91191
2020-04-24,57.51295
2020-04-25,33.16062
2020-04-26,26.42487
2020-04-27,61.65803
2020-04-28,71.50259
2020-04-29,48.70466
2020-04-30,29.53367
2020-05-01,37.56476
2020-05-02,26.943
2020-05-03,30.31088
2020-05-04,47.15025
2020-05-05,31.60621
2020-05-06,60.62176
2020-05-07,63.98963
2020-05-08,53.36787
2020-05-09,36.52849
2020-05-10,31.08808
2020-05-11,68.65284
2020-05-12,72.53886
2020-05-13,64.2487
2020-05-14,65.0259
2020-05-15,59.06735
2020-05-16,29.79274
2020-05-17,26.943
2020-05-18,62.95336
2020-05-19,70.98445
2020-05-20,60.88082
2020-05-21,61.91709
2020-05-22,57.51295
2020-05-23,31.86528
2020-05-24,36.01036
2020-05-25,80.31088
2020-05-26,71.50259
2020-05-27,62.17616
2020-05-28,67.09844
2020-05-29,62.6943
2020-05-30,25.90673
2020-05-31,31.86528
2020-06-01,76.943
2020-06-02,64.2487
2020-06-03,73.31606
2020-06-04,80.05181
2020-06-05,64.76683
2020-06-06,36.52849
2020-06-07,33.41968
2020-06-08,81.60621
2020-06-09,76.68393
2020-06-10,82.90155
2020-06-11,76.1658
2020-06-12,73.05699
2020-06-13,36.52849
2020-06-14,32.90155
2020-06-15,79.53367
2020-06-16,71.76165
2020-06-17,78.23834
2020-06-18,75.3886
2020-06-19,74.09326
2020-06-20,37.30569
2020-06-21,35.23316
2020-06-22,70.72538
2020-06-23,76.42487
2020-06-24,72.79792
2020-06-25,78.75647
2020-06-26,60.88082
2020-06-27,28.75647
2020-06-28,23.83419
2020-06-29,65.28497
2020-06-30,76.943
2020-07-01,62.43523
2020-07-02,57.25388
2020-07-03,52.07253
2020-07-04,25.90673
2020-07-05,24.61139
2020-07-06,65.28497
2020-07-07,62.43523
2020-07-08,58.29015
2020-07-09,65.8031
2020-07-10,58.54922
2020-07-11,25.3886
2020-07-12,28.4974
2020-07-13,67.61658
2020-07-14,72.02072
2020-07-15,65.0259
2020-07-16,58.03108
2020-07-17,55.18134
2020-07-18,25.12953
2020-07-19,27.46113
2020-07-20,60.36269
2020-07-21,64.2487
2020-07-22,65.28497
2020-07-23,75.64766
2020-07-24,61.13989
2020-07-25,35.23316
2020-07-26,31.86528
