date,주식분석
2020-03-20,60.58951
2020-03-21,34.1703
2020-03-22,32.13245
2020-03-23,48.8901
2020-03-24,53.62081
2020-03-25,59.47962
2020-03-26,60.35298
2020-03-27,50.60043
2020-03-28,32.42358
2020-03-29,31.69577
2020-03-30,42.35807
2020-03-31,49.81804
2020-04-01,50.27292
2020-04-02,39.71979
2020-04-03,31.93231
2020-04-04,23.21688
2020-04-05,23.30786
2020-04-06,39.77438
2020-04-07,43.26783
2020-04-08,38.15502
2020-04-09,37.77292
2020-04-10,32.31441
2020-04-11,23.05312
2020-04-12,23.27147
2020-04-13,28.71179
2020-04-14,26.60116
2020-04-15,20.61499
2020-04-16,25.78238
2020-04-17,33.27874
2020-04-18,22.27074
2020-04-19,20.70596
2020-04-20,27.14701
2020-04-21,29.51237
2020-04-22,32.36899
2020-04-23,28.58442
2020-04-24,21.6703
2020-04-25,16.73944
2020-04-26,16.22998
2020-04-27,23.99927
2020-04-28,22.3981
2020-04-29,20.9243
2020-04-30,15.90247
2020-05-01,13.00946
2020-05-02,9.67976
2020-05-03,10.15283
2020-05-04,17.04876
2020-05-05,17.10334
2020-05-06,19.28675
2020-05-07,17.70378
2020-05-08,16.1572
2020-05-09,13.99199
2020-05-10,10.60771
2020-05-11,14.3195
2020-05-12,15.61135
2020-05-13,14.44687
2020-05-14,15.93886
2020-05-15,14.19213
2020-05-16,9.29767
2020-05-17,9.11572
2020-05-18,15.28384
2020-05-19,17.84934
2020-05-20,16.93959
2020-05-21,19.34133
2020-05-22,14.64701
2020-05-23,11.08078
2020-05-24,10.53493
2020-05-25,15.35662
2020-05-26,19.17758
2020-05-27,17.70378
2020-05-28,18.377
2020-05-29,14.22852
2020-05-30,9.49781
2020-05-31,9.46142
2020-06-01,16.26637
2020-06-02,18.46797
2020-06-03,23.59898
2020-06-04,23.28966
2020-06-05,18.77729
2020-06-06,13.33697
2020-06-07,13.31877
2020-06-08,20.36026
2020-06-09,19.01382
2020-06-10,20.26928
2020-06-11,20.99708
2020-06-12,20.39665
2020-06-13,11.60844
2020-06-14,11.66302
2020-06-15,28.89374
2020-06-16,21.63391
2020-06-17,18.04949
2020-06-18,18.06768
2020-06-19,15.53857
2020-06-20,11.51746
2020-06-21,11.008
2020-06-22,16.41193
2020-06-23,17.15793
2020-06-24,18.92285
2020-06-25,16.93959
2020-06-26,14.10116
2020-06-27,8.00582
2020-06-28,9.58879
2020-06-29,13.71906
2020-06-30,13.64628
2020-07-01,13.9556
2020-07-02,14.82896
2020-07-03,13.71906
2020-07-04,9.58879
2020-07-05,12.15429
2020-07-06,16.5211
2020-07-07,18.52256
2020-07-08,17.12154
2020-07-09,18.79548
2020-07-10,16.24818
2020-07-11,11.79039
2020-07-12,12.80931
2020-07-13,18.88646
2020-07-14,18.97743
2020-07-15,20.68777
2020-07-16,16.81222
2020-07-17,16.97598
2020-07-18,10.82605
2020-07-19,11.29912
2020-07-20,18.06768
2020-07-21,22.36171
2020-07-22,26.72852
2020-07-23,26.49199
2020-07-24,21.47016
2020-07-25,14.3377
2020-07-26,21.14264
2020-07-27,25.94614
2020-07-28,26.34643
2020-07-29,28.11135
2020-07-30,24.41775
2020-07-31,20.30567
2020-08-01,14.13755
2020-08-02,14.3377
2020-08-03,23.8901
2020-08-04,25.58224
2020-08-05,27.69286
2020-08-06,29.0211
2020-08-07,29.49417
2020-08-08,20.30567
2020-08-09,21.36098
2020-08-10,33.20596
2020-08-11,34.40684
2020-08-12,31.78675
2020-08-13,30.53129
2020-08-14,27.31077
2020-08-15,16.57569
2020-08-16,14.91994
2020-08-17,17.21251
2020-08-18,25.83697
2020-08-19,23.8719
2020-08-20,30.4949
2020-08-21,22.19796
2020-08-22,14.37409
