date,실손보험추천
2020-03-20,11.87384
2020-03-21,8.34879
2020-03-22,7.42115
2020-03-23,12.24489
2020-03-24,14.65677
2020-03-25,18.7384
2020-03-26,11.87384
2020-03-27,14.65677
2020-03-28,10.94619
2020-03-29,9.64749
2020-03-30,13.72912
2020-03-31,12.43042
2020-04-01,10.01855
2020-04-02,10.38961
2020-04-03,7.23562
2020-04-04,4.26716
2020-04-05,6.12244
2020-04-06,13.17254
2020-04-07,10.76066
2020-04-08,9.27643
2020-04-09,7.7922
2020-04-10,5.93692
2020-04-11,4.63821
2020-04-12,4.63821
2020-04-13,10.38961
2020-04-14,9.0909
2020-04-15,6.67903
2020-04-16,10.20408
2020-04-17,4.26716
2020-04-18,5.93692
2020-04-19,4.08163
2020-04-20,11.68831
2020-04-21,12.24489
2020-04-22,11.31725
2020-04-23,10.76066
2020-04-24,12.05936
2020-04-25,5.1948
2020-04-26,5.93692
2020-04-27,12.43042
2020-04-28,15.39888
2020-04-29,11.68831
2020-04-30,5.56586
2020-05-01,5.38033
2020-05-02,4.45269
2020-05-03,5.00927
2020-05-04,8.71985
2020-05-05,10.76066
2020-05-06,13.17254
2020-05-07,11.50278
2020-05-08,10.01855
2020-05-09,8.34879
2020-05-10,5.38033
2020-05-11,12.61595
2020-05-12,11.68831
2020-05-13,11.31725
2020-05-14,11.13172
2020-05-15,14.65677
2020-05-16,4.45269
2020-05-17,6.4935
2020-05-18,14.47124
2020-05-19,15.02782
2020-05-20,20.0371
2020-05-21,16.141
2020-05-22,15.76994
2020-05-23,5.93692
2020-05-24,7.05009
2020-05-25,15.21335
2020-05-26,15.02782
2020-05-27,17.25417
2020-05-28,14.47124
2020-05-29,10.20408
2020-05-30,9.0909
2020-05-31,7.7922
2020-06-01,9.64749
2020-06-02,14.65677
2020-06-03,14.28571
2020-06-04,11.50278
2020-06-05,12.05936
2020-06-06,8.53432
2020-06-07,3.33951
2020-06-08,11.68831
2020-06-09,11.87384
2020-06-10,16.51205
2020-06-11,14.28571
2020-06-12,14.8423
2020-06-13,7.7922
2020-06-14,6.4935
2020-06-15,9.46196
2020-06-16,15.76994
2020-06-17,11.31725
2020-06-18,13.54359
2020-06-19,15.76994
2020-06-20,9.0909
2020-06-21,8.71985
2020-06-22,17.99628
2020-06-23,17.99628
2020-06-24,20.40816
2020-06-25,16.69758
2020-06-26,13.17254
2020-06-27,7.23562
2020-06-28,6.30797
2020-06-29,13.54359
2020-06-30,14.10018
2020-07-01,12.05936
2020-07-02,13.54359
2020-07-03,12.05936
2020-07-04,7.23562
2020-07-05,7.60667
2020-07-06,15.02782
2020-07-07,15.02782
2020-07-08,14.65677
2020-07-09,12.05936
2020-07-10,8.71985
2020-07-11,6.67903
2020-07-12,7.42115
2020-07-13,14.65677
2020-07-14,20.0371
2020-07-15,16.32653
2020-07-16,16.141
2020-07-17,11.68831
2020-07-18,6.4935
2020-07-19,8.16326
2020-07-20,16.51205
2020-07-21,12.98701
2020-07-22,19.85157
2020-07-23,13.54359
2020-07-24,12.43042
2020-07-25,4.63821
2020-07-26,9.64749
2020-07-27,12.61595
2020-07-28,12.61595
2020-07-29,17.62523
2020-07-30,12.98701
2020-07-31,15.76994
2020-08-01,7.23562
2020-08-02,11.13172
2020-08-03,19.29499
2020-08-04,15.02782
2020-08-05,20.0371
2020-08-06,17.06864
2020-08-07,15.95547
2020-08-08,6.67903
2020-08-09,7.42115
2020-08-10,20.0371
2020-08-11,19.66604
2020-08-12,13.91465
2020-08-13,13.17254
2020-08-14,13.35807
2020-08-15,4.26716
2020-08-16,4.63821
2020-08-17,8.90538
2020-08-18,14.65677
2020-08-19,8.71985
2020-08-20,15.76994
2020-08-21,13.35807
2020-08-22,7.7922
2020-08-23,5.00927
2020-08-24,12.43042
2020-08-25,17.4397
2020-08-26,13.54359
2020-08-27,15.76994
2020-08-28,15.21335
2020-08-29,12.98701
2020-08-30,10.57513
2020-08-31,13.54359
2020-09-01,16.69758
2020-09-02,14.28571
2020-09-03,10.20408
2020-09-04,11.68831
2020-09-05,6.30797
2020-09-06,13.17254
2020-09-07,18.18181
2020-09-08,20.40816
2020-09-09,14.28571
2020-09-10,14.10018
2020-09-11,9.46196
2020-09-12,3.8961
2020-09-13,5.56586
2020-09-14,20.22263
2020-09-15,20.22263
2020-09-16,16.69758
2020-09-17,14.47124
2020-09-18,10.94619
2020-09-19,9.83302
2020-09-20,3.8961
2020-09-21,12.80148
2020-09-22,20.59369
2020-09-23,19.48051
2020-09-24,16.51205
2020-09-25,12.98701
2020-09-26,8.16326
2020-09-27,6.86456
2020-09-28,12.24489
2020-09-29,12.05936
2020-09-30,5.1948
2020-10-01,3.33951
2020-10-02,6.4935
2020-10-03,7.97773
2020-10-04,10.94619
2020-10-05,17.99628
2020-10-06,16.51205
2020-10-07,18.55287
2020-10-08,13.54359
2020-10-09,7.05009
2020-10-10,8.53432
2020-10-11,8.34879
2020-10-12,20.0371
2020-10-13,19.66604
2020-10-14,18.36734
2020-10-15,17.99628
2020-10-16,11.50278
2020-10-17,6.30797
2020-10-18,6.12244
2020-10-19,14.10018
2020-10-20,20.59369
2020-10-21,14.47124
2020-10-22,14.47124
2020-10-23,16.69758
2020-10-24,8.34879
2020-10-25,4.63821
2020-10-26,12.24489
2020-10-27,16.88311
2020-10-28,15.58441
2020-10-29,13.54359
2020-10-30,11.13172
2020-10-31,7.23562
2020-11-01,6.4935
2020-11-02,15.39888
2020-11-03,15.02782
2020-11-04,12.43042
