date,쓰리잡
2020-03-20,62.39316
2020-03-21,37.60683
2020-03-22,47.00854
2020-03-23,71.50997
2020-03-24,71.79487
2020-03-25,72.93447
2020-03-26,67.52136
2020-03-27,71.50997
2020-03-28,49.00284
2020-03-29,46.72364
2020-03-30,76.63817
2020-03-31,65.81196
2020-04-01,62.10826
2020-04-02,58.97435
2020-04-03,56.41025
2020-04-04,36.18233
2020-04-05,44.15954
2020-04-06,67.23646
2020-04-07,67.23646
2020-04-08,77.49287
2020-04-09,67.23646
2020-04-10,64.95726
2020-04-11,41.02564
2020-04-12,42.16524
2020-04-13,62.10826
2020-04-14,68.94586
2020-04-15,48.71794
2020-04-16,67.52136
2020-04-17,68.09116
2020-04-18,43.87464
2020-04-19,43.01994
2020-04-20,68.94586
2020-04-21,62.96296
2020-04-22,66.95156
2020-04-23,61.25356
2020-04-24,58.68945
2020-04-25,26.21082
2020-04-26,39.31623
2020-04-27,65.24216
2020-04-28,58.40455
2020-04-29,55.55555
2020-04-30,41.02564
2020-05-01,41.02564
2020-05-02,30.76923
2020-05-03,33.33333
2020-05-04,59.25925
2020-05-05,43.58974
2020-05-06,59.54415
2020-05-07,58.68945
2020-05-08,53.84615
2020-05-09,41.59544
2020-05-10,35.32763
2020-05-11,56.12535
2020-05-12,58.97435
2020-05-13,63.24786
2020-05-14,58.97435
2020-05-15,55.84045
2020-05-16,35.89743
2020-05-17,46.72364
2020-05-18,60.11396
2020-05-19,61.25356
2020-05-20,64.95726
2020-05-21,65.24216
2020-05-22,55.84045
2020-05-23,24.78632
2020-05-24,31.33903
2020-05-25,56.12535
2020-05-26,46.72364
2020-05-27,59.82905
2020-05-28,61.82336
2020-05-29,64.10256
2020-05-30,36.18233
2020-05-31,42.16524
2020-06-01,55.27065
2020-06-02,55.55555
2020-06-03,67.80626
2020-06-04,65.24216
2020-06-05,62.67806
2020-06-06,30.76923
2020-06-07,30.76923
2020-06-08,66.66666
2020-06-09,63.24786
2020-06-10,64.38746
2020-06-11,64.67236
2020-06-12,56.98005
2020-06-13,29.62962
2020-06-14,39.03133
2020-06-15,65.52706
2020-06-16,76.06837
2020-06-17,64.10256
2020-06-18,61.53846
2020-06-19,66.66666
2020-06-20,29.91452
2020-06-21,36.75213
2020-06-22,61.82336
2020-06-23,59.82905
2020-06-24,64.95726
2020-06-25,64.38746
2020-06-26,52.13675
2020-06-27,21.93732
2020-06-28,36.46723
2020-06-29,59.25925
2020-06-30,51.56695
2020-07-01,50.14245
2020-07-02,73.50427
2020-07-03,62.10826
2020-07-04,21.08262
2020-07-05,36.18233
2020-07-06,62.39316
2020-07-07,67.23646
2020-07-08,53.27635
2020-07-09,62.10826
2020-07-10,50.71225
2020-07-11,50.99715
2020-07-12,29.91452
2020-07-13,59.82905
2020-07-14,64.10256
