date,알리바바주가
2020-03-20,8.81801
2020-03-21,4.803
2020-03-22,3.11444
2020-03-23,5.83489
2020-03-24,9.30581
2020-03-25,9.56848
2020-03-26,9.13696
2020-03-27,8.64915
2020-03-28,6.3227
2020-03-29,4.63414
2020-03-30,5.25328
2020-03-31,7.42964
2020-04-01,7.11069
2020-04-02,5.9287
2020-04-03,7.39212
2020-04-04,5.0469
2020-04-05,3.82739
2020-04-06,5.70356
2020-04-07,9.4559
2020-04-08,7.97373
2020-04-09,7.59849
2020-04-10,5.57223
2020-04-11,3.30206
2020-04-12,2.79549
2020-04-13,4.31519
2020-04-14,6.11632
2020-04-15,7.63602
2020-04-16,7.6923
2020-04-17,9.71857
2020-04-18,5.90994
2020-04-19,3.88367
2020-04-20,6.54784
2020-04-21,8.3302
2020-04-22,15.83489
2020-04-23,11.23827
2020-04-24,7.2045
2020-04-25,5.4409
2020-04-26,4.29643
2020-04-27,6.97936
2020-04-28,8.3302
2020-04-29,7.27954
2020-04-30,5.94746
2020-05-01,5.70356
2020-05-02,4.1651
2020-05-03,2.60787
2020-05-04,4.12757
2020-05-05,6.09756
2020-05-06,6.54784
2020-05-07,6.28517
2020-05-08,6.1726
2020-05-09,5.70356
2020-05-10,3.1332
2020-05-11,5.51594
2020-05-12,8.79924
2020-05-13,7.57973
2020-05-14,7.6923
2020-05-15,7.2045
2020-05-16,5.25328
2020-05-17,2.55159
2020-05-18,6.28517
2020-05-19,11.51969
2020-05-20,10.84427
2020-05-21,12.75797
2020-05-22,12.06378
2020-05-23,10.03752
2020-05-24,5.42213
2020-05-25,8.9681
2020-05-26,11.53846
2020-05-27,10.31894
2020-05-28,8.70544
2020-05-29,7.42964
2020-05-30,5.34709
2020-05-31,3.37711
2020-06-01,7.03564
2020-06-02,8.34896
2020-06-03,9.83114
2020-06-04,9.39962
2020-06-05,7.8424
2020-06-06,5.59099
2020-06-07,2.75797
2020-06-08,5.0469
2020-06-09,8.38649
2020-06-10,8.74296
2020-06-11,8.38649
2020-06-12,6.97936
2020-06-13,3.88367
2020-06-14,1.72607
2020-06-15,3.47091
2020-06-16,5.79737
2020-06-17,6.51031
2020-06-18,6.54784
2020-06-19,5.81613
2020-06-20,3.71482
2020-06-21,1.03189
2020-06-22,2.94559
2020-06-23,5.55347
2020-06-24,6.84803
2020-06-25,6.11632
2020-06-26,5.74108
2020-06-27,3.88367
2020-06-28,1.31332
2020-06-29,3.1332
2020-06-30,5.38461
2020-07-01,5.32833
