date,금리인하
2020-11-08,0.21444
2020-11-09,0.41489
2020-11-10,0.34031
2020-11-11,0.40091
2020-11-12,0.25639
2020-11-13,0.30301
2020-11-14,0.19113
2020-11-15,0.37294
2020-11-16,3.11873
2020-11-17,1.28199
2020-11-18,0.70859
2020-11-19,0.68994
2020-11-20,0.5967
2020-11-21,0.26572
2020-11-22,0.26572
2020-11-23,0.54076
2020-11-24,0.4382
2020-11-25,0.48016
2020-11-26,0.56407
2020-11-27,0.45219
2020-11-28,0.16316
2020-11-29,0.16316
2020-11-30,0.41489
2020-12-01,0.30767
2020-12-02,0.27504
2020-12-03,0.31233
2020-12-04,0.31233
2020-12-05,0.19113
2020-12-06,0.25173
2020-12-07,0.38226
2020-12-08,0.317
2020-12-09,0.28436
2020-12-10,0.39159
2020-12-11,0.31233
2020-12-12,0.23308
2020-12-13,0.23308
2020-12-14,0.34963
2020-12-15,0.33564
2020-12-16,0.30301
2020-12-17,0.52212
2020-12-18,0.35895
2020-12-19,0.13519
2020-12-20,0.18647
2020-12-21,0.31233
2020-12-22,0.28436
2020-12-23,0.41489
2020-12-24,0.26106
2020-12-25,0.13519
2020-12-26,0.24241
2020-12-27,0.18647
2020-12-28,0.23775
2020-12-29,0.34497
2020-12-30,0.39625
2020-12-31,0.33564
2021-01-01,0.1818
2021-01-02,0.16782
2021-01-03,0.17714
2021-01-04,0.5361
2021-01-05,0.34497
2021-01-06,0.30767
2021-01-07,0.37294
2021-01-08,0.36361
2021-01-09,0.17248
2021-01-10,0.18647
2021-01-11,0.317
2021-01-12,0.33098
2021-01-13,0.26106
2021-01-14,0.51279
2021-01-15,0.49414
2021-01-16,0.15383
2021-01-17,0.14451
2021-01-18,0.2797
2021-01-19,0.2797
2021-01-20,0.31233
2021-01-21,0.317
2021-01-22,0.22376
2021-01-23,0.14451
2021-01-24,0.15383
2021-01-25,0.28903
2021-01-26,0.26572
2021-01-27,0.32166
2021-01-28,0.38692
2021-01-29,0.43354
2021-01-30,0.12586
2021-01-31,0.13053
2021-02-01,0.26106
2021-02-02,0.17714
2021-02-03,0.26572
2021-02-04,0.17714
2021-02-05,0.21444
2021-02-06,0.10255
2021-02-07,0.09323
2021-02-08,0.23308
2021-02-09,0.1818
2021-02-10,0.24241
2021-02-11,0.1212
2021-02-12,0.04661
2021-02-13,0.1212
2021-02-14,0.1818
2021-02-15,0.32632
2021-02-16,0.31233
2021-02-17,0.317
2021-02-18,0.24707
2021-02-19,0.16782
2021-02-20,0.07925
2021-02-21,0.1212
2021-02-22,0.34963
2021-02-23,0.45219
2021-02-24,0.58272
2021-02-25,0.36361
2021-02-26,0.41023
2021-02-27,0.13053
2021-02-28,0.1585
2021-03-01,0.16316
2021-03-02,0.32166
2021-03-03,0.32166
2021-03-04,0.29369
2021-03-05,0.29835
2021-03-06,0.08857
2021-03-07,0.1212
2021-03-08,0.23775
2021-03-09,0.34497
2021-03-10,0.71791
2021-03-11,0.39625
2021-03-12,0.24241
2021-03-13,0.09323
2021-03-14,0.20045
2021-03-15,0.42888
2021-03-16,0.5967
2021-03-17,0.55941
2021-03-18,0.62001
2021-03-19,0.39159
2021-03-20,0.1585
2021-03-21,0.14917
2021-03-22,0.18647
2021-03-23,0.317
2021-03-24,0.37294
2021-03-25,0.26106
2021-03-26,0.27038
2021-03-27,0.03729
2021-03-28,0.13985
2021-03-29,0.23775
2021-03-30,1.07221
2021-03-31,0.634
2021-04-01,0.3776
2021-04-02,0.24241
2021-04-03,0.1585
2021-04-04,0.10722
2021-04-05,0.2797
2021-04-06,0.25639
2021-04-07,0.38226
2021-04-08,0.2797
2021-04-09,0.23308
2021-04-10,0.11654
2021-04-11,0.09789
2021-04-12,0.25639
2021-04-13,0.24707
2021-04-14,0.28436
2021-04-15,0.32166
2021-04-16,0.23775
2021-04-17,0.13053
2021-04-18,0.13985
2021-04-19,0.26572
2021-04-20,0.2191
2021-04-21,0.20978
2021-04-22,0.26106
2021-04-23,0.26572
2021-04-24,0.12586
2021-04-25,0.13519
2021-04-26,0.33564
2021-04-27,0.2797
2021-04-28,0.34031
2021-04-29,0.24241
2021-04-30,0.16782
2021-05-01,0.08391
2021-05-02,0.08857
2021-05-03,0.21444
2021-05-04,0.21444
2021-05-05,0.16316
2021-05-06,0.26572
2021-05-07,0.32632
2021-05-08,0.17714
2021-05-09,0.20511
2021-05-10,0.20978
2021-05-11,0.41023
2021-05-12,0.37294
2021-05-13,0.51745
2021-05-14,0.27504
2021-05-15,0.18647
2021-05-16,0.16316
2021-05-17,0.38226
2021-05-18,0.34031
2021-05-19,0.19579
2021-05-20,0.35895
2021-05-21,0.41956
2021-05-22,0.13985
2021-05-23,0.19579
2021-05-24,0.28436
2021-05-25,0.34963
2021-05-26,0.33564
2021-05-27,0.48948
2021-05-28,0.25639
2021-05-29,0.22842
2021-05-30,0.14917
2021-05-31,0.33564
2021-06-01,0.25639
2021-06-02,0.29369
2021-06-03,0.2797
2021-06-04,0.32166
2021-06-05,0.13985
2021-06-06,0.1212
2021-06-07,0.28436
2021-06-08,0.50813
2021-06-09,0.51279
2021-06-10,0.50347
2021-06-11,0.51745
2021-06-12,0.17248
2021-06-13,0.23308
2021-06-14,0.59204
2021-06-15,0.54542
2021-06-16,0.5967
2021-06-17,0.61535
2021-06-18,0.41489
2021-06-19,0.16782
2021-06-20,0.20978
2021-06-21,0.74122
2021-06-22,0.41489
2021-06-23,0.31233
2021-06-24,0.41489
2021-06-25,0.38692
2021-06-26,0.19579
2021-06-27,0.32632
2021-06-28,0.64798
2021-06-29,0.57339
2021-06-30,0.55941
2021-07-01,0.81581
2021-07-02,0.4755
2021-07-03,0.15383
2021-07-04,0.13985
2021-07-05,0.72723
2021-07-06,1.32394
2021-07-07,2.83902
2021-07-08,1.18875
2021-07-09,1.00228
2021-07-10,0.25639
2021-07-11,0.22376
2021-07-12,0.54076
2021-07-13,0.44286
2021-07-14,0.37294
2021-07-15,0.42888
2021-07-16,0.27504
2021-07-17,0.09789
2021-07-18,0.1818
2021-07-19,0.38692
2021-07-20,0.48482
2021-07-21,0.30767
2021-07-22,0.27504
2021-07-23,0.24707
2021-07-24,0.09323
2021-07-25,0.0606
2021-07-26,0.28436
2021-07-27,0.21444
2021-07-28,0.26106
2021-07-29,0.16316
2021-07-30,0.16782
2021-07-31,0.05594
2021-08-01,0.06992
2021-08-02,0.15383
2021-08-03,0.21444
2021-08-04,0.22842
2021-08-05,0.24707
2021-08-06,0.24707
2021-08-07,0.06992
2021-08-08,0.06992
2021-08-09,0.23308
2021-08-10,0.25639
2021-08-11,0.26106
2021-08-12,0.19113
2021-08-13,0.20511
2021-08-14,0.09789
2021-08-15,0.11188
2021-08-16,0.1212
2021-08-17,0.26106
2021-08-18,0.20978
2021-08-19,0.317
2021-08-20,0.34963
2021-08-21,0.12586
2021-08-22,0.09789
2021-08-23,0.2797
2021-08-24,0.21444
2021-08-25,0.35895
2021-08-26,0.96032
2021-08-27,0.46151
2021-08-28,0.15383
2021-08-29,0.14451
2021-08-30,0.28903
2021-08-31,0.19579
2021-09-01,0.28436
2021-09-02,0.1212
2021-09-03,0.19113
2021-09-04,0.13519
2021-09-05,0.16316
2021-09-06,0.1585
2021-09-07,0.14917
2021-09-08,0.19113
2021-09-09,0.14451
2021-09-10,0.17248
2021-09-11,0.08857
2021-09-12,0.07925
2021-09-13,0.19579
2021-09-14,0.22376
2021-09-15,0.25639
2021-09-16,0.19579
2021-09-17,0.10255
2021-09-18,0.02797
2021-09-19,0.06992
2021-09-20,0.0606
2021-09-21,0.10722
2021-09-22,0.14917
2021-09-23,0.27038
2021-09-24,0.16782
2021-09-25,0.08391
2021-09-26,0.11188
2021-09-27,0.29369
2021-09-28,0.23308
2021-09-29,0.2191
2021-09-30,0.18647
2021-10-01,0.17714
2021-10-02,0.08857
2021-10-03,0.11654
2021-10-04,0.11654
2021-10-05,0.20045
2021-10-06,0.25173
2021-10-07,0.23308
2021-10-08,0.1818
2021-10-09,0.07925
2021-10-10,0.09323
2021-10-11,0.16782
2021-10-12,0.20045
2021-10-13,0.1585
2021-10-14,0.16782
2021-10-15,0.25173
2021-10-16,0.09789
2021-10-17,0.13519
2021-10-18,0.20978
2021-10-19,0.2191
2021-10-20,0.27038
2021-10-21,0.31233
2021-10-22,0.24241
2021-10-23,0.13985
2021-10-24,0.17248
2021-10-25,0.25639
2021-10-26,0.29835
2021-10-27,0.23775
2021-10-28,0.21444
2021-10-29,0.22842
2021-10-30,0.11654
2021-10-31,0.27504
2021-11-01,0.31233
2021-11-02,0.28903
2021-11-03,0.26106
2021-11-04,0.28903
2021-11-05,0.2191
2021-11-06,0.10722
2021-11-07,0.13985
2021-11-08,0.1818
2021-11-09,0.29369
2021-11-10,0.2191
2021-11-11,0.28436
2021-11-12,0.2191
2021-11-13,0.07925
2021-11-14,0.09323
2021-11-15,0.20978
2021-11-16,0.22842
2021-11-17,0.19579
2021-11-18,0.22842
2021-11-19,0.22376
2021-11-20,0.19113
2021-11-21,0.24241
2021-11-22,0.34031
2021-11-23,0.33564
2021-11-24,0.38226
2021-11-25,0.42422
2021-11-26,0.41023
2021-11-27,0.28436
2021-11-28,0.24241
2021-11-29,0.22842
2021-11-30,0.46617
2021-12-01,0.3776
2021-12-02,0.23775
2021-12-03,0.1585
2021-12-04,0.17248
2021-12-05,0.09789
2021-12-06,0.28436
2021-12-07,0.32632
2021-12-08,0.24241
2021-12-09,0.22376
2021-12-10,0.19113
2021-12-11,0.11654
2021-12-12,0.16316
