date,자산관리사
2020-03-20,13.4374
2020-03-21,11.66207
2020-03-22,11.7539
2020-03-23,15.4576
2020-03-24,20.23262
2020-03-25,17.17171
2020-03-26,15.67187
2020-03-27,12.21303
2020-03-28,10.68258
2020-03-29,12.05999
2020-03-30,13.4374
2020-03-31,13.46801
2020-04-01,14.93725
2020-04-02,12.94765
2020-04-03,12.18243
2020-04-04,9.24395
2020-04-05,10.89684
2020-04-06,13.31496
2020-04-07,14.20263
2020-04-08,15.73308
2020-04-09,11.47842
2020-04-10,11.96816
2020-04-11,8.63177
2020-04-12,9.21334
2020-04-13,100.0
2020-04-14,98.6838
2020-04-15,72.54361
2020-04-16,43.12825
2020-04-17,30.2112
2020-04-18,67.24823
2020-04-19,81.66513
2020-04-20,33.33333
2020-04-21,17.23293
2020-04-22,17.87572
2020-04-23,15.76369
2020-04-24,12.54973
2020-04-25,9.85613
2020-04-26,11.69268
2020-04-27,59.32047
2020-04-28,48.57667
2020-04-29,33.85368
2020-04-30,22.28344
2020-05-01,17.8145
2020-05-02,14.14141
2020-05-03,13.03948
2020-05-04,15.24334
2020-05-05,13.80471
2020-05-06,16.03917
2020-05-07,16.131
2020-05-08,22.00795
2020-05-09,13.89654
2020-05-10,18.54912
2020-05-11,14.41689
2020-05-12,15.33516
2020-05-13,18.51851
2020-05-14,17.17171
2020-05-15,15.1209
2020-05-16,10.46831
2020-05-17,11.72329
2020-05-18,16.43709
2020-05-19,15.61065
2020-05-20,14.47811
2020-05-21,19.83471
2020-05-22,17.44719
2020-05-23,10.03979
2020-05-24,14.75359
2020-05-25,16.131
2020-05-26,15.94735
2020-05-27,14.60055
2020-05-28,13.4374
2020-05-29,11.99877
2020-05-30,10.4071
2020-05-31,9.97857
2020-06-01,16.37588
2020-06-02,18.8246
2020-06-03,18.76339
2020-06-04,19.22252
2020-06-05,17.50841
2020-06-06,12.764
2020-06-07,14.69237
2020-06-08,18.36547
2020-06-09,22.43648
2020-06-10,20.29384
2020-06-11,17.75329
2020-06-12,16.74318
2020-06-13,13.83532
2020-06-14,20.38567
2020-06-15,30.42546
2020-06-16,21.61003
2020-06-17,15.58004
2020-06-18,15.51882
2020-06-19,25.83409
2020-06-20,27.8543
2020-06-21,14.08019
2020-06-22,20.01836
2020-06-23,17.04928
2020-06-24,17.17171
2020-06-25,17.56963
2020-06-26,13.25374
2020-06-27,11.7539
2020-06-28,12.39669
2020-06-29,16.43709
2020-06-30,14.84542
2020-07-01,15.64126
2020-07-02,16.37588
2020-07-03,14.32506
2020-07-04,11.20293
2020-07-05,13.1007
2020-07-06,18.08999
2020-07-07,17.23293
2020-07-08,17.04928
2020-07-09,16.31466
2020-07-10,13.49862
2020-07-11,13.25374
2020-07-12,14.72298
2020-07-13,18.94704
2020-07-14,18.30425
2020-07-15,15.70247
2020-07-16,14.7842
2020-07-17,17.1411
2020-07-18,18.24303
2020-07-19,13.31496
2020-07-20,16.10039
2020-07-21,14.81481
2020-07-22,15.05968
2020-07-23,15.82491
2020-07-24,12.85583
2020-07-25,9.91735
2020-07-26,11.01928
2020-07-27,13.7741
2020-07-28,14.38628
2020-07-29,15.02907
2020-07-30,18.39608
2020-07-31,27.02785
2020-08-01,11.93755
2020-08-02,11.01928
2020-08-03,14.93725
2020-08-04,16.8044
2020-08-05,15.61065
2020-08-06,21.91613
2020-08-07,13.19253
2020-08-08,10.31527
2020-08-09,12.24364
2020-08-10,15.82491
2020-08-11,16.43709
2020-08-12,14.38628
2020-08-13,14.84542
