date,3기신도시
2020-03-20,0.3917
2020-03-21,0.28601
2020-03-22,0.33519
2020-03-23,0.42797
2020-03-24,0.42344
2020-03-25,0.40181
2020-03-26,0.4203
2020-03-27,0.39414
2020-03-28,0.32578
2020-03-29,0.32996
2020-03-30,1.66482
2020-03-31,1.53647
2020-04-01,1.13883
2020-04-02,0.92502
2020-04-03,0.57656
2020-04-04,0.46076
2020-04-05,0.44681
2020-04-06,0.6233
2020-04-07,0.84968
2020-04-08,0.55354
2020-04-09,0.49529
2020-04-10,0.46251
2020-04-11,0.41228
2020-04-12,0.44332
2020-04-13,0.68225
2020-04-14,0.51204
2020-04-15,0.5647
2020-04-16,1.53298
2020-04-17,1.06733
2020-04-18,0.76387
2020-04-19,1.02966
2020-04-20,1.02582
2020-04-21,0.94246
2020-04-22,0.83817
2020-04-23,0.73945
2020-04-24,0.60691
2020-04-25,0.52773
2020-04-26,0.55005
2020-04-27,0.6383
2020-04-28,0.65818
2020-04-29,0.54203
2020-04-30,0.50471
2020-05-01,0.51238
2020-05-02,0.47262
2020-05-03,0.6819
2020-05-04,0.66202
2020-05-05,0.92606
2020-05-06,1.92817
2020-05-07,1.81516
2020-05-08,0.98327
2020-05-09,0.69725
2020-05-10,0.59924
2020-05-11,0.75131
2020-05-12,0.80015
2020-05-13,0.7991
2020-05-14,0.812
2020-05-15,0.70876
2020-05-16,0.77154
2020-05-17,0.79875
2020-05-18,0.86433
2020-05-19,0.74643
2020-05-20,0.77015
2020-05-21,1.30451
2020-05-22,1.10291
2020-05-23,0.70562
2020-05-24,0.77399
2020-05-25,1.65785
2020-05-26,1.59193
2020-05-27,1.06279
2020-05-28,0.77782
2020-05-29,0.84828
2020-05-30,0.71748
2020-05-31,0.71539
2020-06-01,0.92258
2020-06-02,0.89258
2020-06-03,0.88839
2020-06-04,0.7977
2020-06-05,0.71504
2020-06-06,0.65435
2020-06-07,0.87897
2020-06-08,0.92188
2020-06-09,0.88595
2020-06-10,0.86746
2020-06-11,0.78445
2020-06-12,0.70911
2020-06-13,0.56854
2020-06-14,0.64981
2020-06-15,0.74085
2020-06-16,0.75271
2020-06-17,0.8127
2020-06-18,0.7998
2020-06-19,0.7691
2020-06-20,0.60412
2020-06-21,0.68783
2020-06-22,0.80991
2020-06-23,0.71399
2020-06-24,0.74155
2020-06-25,0.64946
2020-06-26,0.63377
2020-06-27,0.51483
2020-06-28,0.62749
2020-06-29,0.76352
2020-06-30,0.68679
2020-07-01,0.6983
2020-07-02,1.41508
2020-07-03,2.03665
2020-07-04,0.93583
2020-07-05,1.05163
2020-07-06,1.13604
2020-07-07,3.7524
2020-07-08,2.43393
2020-07-09,1.39904
2020-07-10,3.18525
2020-07-11,2.10327
2020-07-12,1.5274
2020-07-13,1.40776
2020-07-14,1.42311
2020-07-15,6.80232
2020-07-16,3.13049
2020-07-17,1.98572
2020-07-18,1.47089
2020-07-19,1.32056
2020-07-20,1.49112
2020-07-21,1.46601
2020-07-22,1.28358
2020-07-23,1.12976
2020-07-24,0.87793
2020-07-25,0.81828
2020-07-26,1.25289
2020-07-27,0.97664
2020-07-28,1.19534
2020-07-29,1.02443
2020-07-30,0.93409
2020-07-31,0.75689
2020-08-01,0.64598
2020-08-02,1.07779
2020-08-03,1.04361
2020-08-04,2.53822
2020-08-05,0.95501
2020-08-06,2.90412
2020-08-07,2.44161
2020-08-08,1.3802
2020-08-09,1.16499
2020-08-10,1.51065
2020-08-11,1.31533
2020-08-12,1.15348
2020-08-13,0.97176
2020-08-14,0.83851
2020-08-15,0.97455
2020-08-16,0.8141
2020-08-17,0.75027
2020-08-18,0.80782
2020-08-19,0.80294
2020-08-20,0.77364
2020-08-21,0.77433
2020-08-22,0.65191
2020-08-23,0.89607
2020-08-24,0.99408
2020-08-25,2.90272
2020-08-26,1.29754
2020-08-27,1.08023
2020-08-28,0.86467
2020-08-29,0.74922
2020-08-30,0.77329
2020-08-31,1.65052
2020-09-01,1.759
2020-09-02,1.7597
2020-09-03,1.50159
2020-09-04,1.59262
2020-09-05,1.08442
2020-09-06,1.61948
2020-09-07,2.25744
2020-09-08,100.0
2020-09-09,9.12778
2020-09-10,3.02934
2020-09-11,2.18384
2020-09-12,1.80016
2020-09-13,1.55949
2020-09-14,1.73424
2020-09-15,1.58076
2020-09-16,1.45589
2020-09-17,2.03386
2020-09-18,1.5267
2020-09-19,1.26231
2020-09-20,1.28847
2020-09-21,1.36625
2020-09-22,1.19848
2020-09-23,1.05547
2020-09-24,0.98257
2020-09-25,0.83084
2020-09-26,0.72236
2020-09-27,0.92292
2020-09-28,1.33625
2020-09-29,1.19813
