date,시초가매매
2020-03-20,37.05583
2020-03-21,16.24365
2020-03-22,10.9137
2020-03-23,36.29441
2020-03-24,38.83248
2020-03-25,100.0
2020-03-26,46.4467
2020-03-27,55.58375
2020-03-28,20.30456
2020-03-29,21.5736
2020-03-30,44.92385
2020-03-31,63.19796
2020-04-01,42.13197
2020-04-02,41.62436
2020-04-03,36.54822
2020-04-04,12.94416
2020-04-05,20.05076
2020-04-06,25.38071
2020-04-07,47.20812
2020-04-08,34.01015
2020-04-09,30.20304
2020-04-10,26.90355
2020-04-11,16.49746
2020-04-12,24.61928
2020-04-13,24.87309
2020-04-14,21.06598
2020-04-15,18.27411
2020-04-16,23.35025
2020-04-17,20.55837
2020-04-18,13.95939
2020-04-19,19.79695
2020-04-20,21.82741
2020-04-21,19.79695
2020-04-22,20.81218
2020-04-23,25.88832
2020-04-24,24.11167
2020-04-25,10.15228
2020-04-26,11.92893
2020-04-27,21.06598
2020-04-28,19.79695
2020-04-29,13.95939
2020-04-30,7.10659
2020-05-01,4.82233
2020-05-02,7.61421
2020-05-03,11.16751
2020-05-04,11.42131
2020-05-05,8.62944
2020-05-06,15.48223
2020-05-07,13.70558
2020-05-08,10.15228
2020-05-09,10.15228
2020-05-10,7.3604
2020-05-11,11.92893
2020-05-12,16.24365
2020-05-13,12.69035
2020-05-14,9.13705
2020-05-15,7.10659
2020-05-16,4.82233
2020-05-17,6.34517
2020-05-18,11.42131
2020-05-19,13.19796
2020-05-20,9.64467
2020-05-21,14.97461
2020-05-22,6.59898
2020-05-23,2.53807
2020-05-24,5.32994
2020-05-25,7.3604
2020-05-26,9.39086
2020-05-27,7.61421
2020-05-28,7.10659
2020-05-29,4.06091
2020-05-30,5.07614
2020-05-31,6.34517
2020-06-01,10.65989
2020-06-02,11.92893
2020-06-03,10.9137
2020-06-04,8.62944
2020-06-05,7.86802
2020-06-06,9.64467
2020-06-07,9.13705
2020-06-08,16.49746
2020-06-09,11.16751
2020-06-10,5.83756
2020-06-11,11.42131
2020-06-12,20.55837
2020-06-13,4.56852
2020-06-14,7.61421
2020-06-15,9.13705
2020-06-16,14.97461
2020-06-17,10.15228
2020-06-18,9.13705
2020-06-19,5.83756
2020-06-20,5.32994
2020-06-21,7.3604
2020-06-22,8.12182
2020-06-23,10.15228
2020-06-24,14.21319
2020-06-25,8.62944
2020-06-26,4.06091
2020-06-27,3.04568
2020-06-28,4.06091
2020-06-29,9.64467
2020-06-30,7.10659
2020-07-01,15.73604
2020-07-02,15.48223
2020-07-03,6.09137
2020-07-04,2.03045
2020-07-05,4.06091
2020-07-06,7.86802
2020-07-07,6.34517
2020-07-08,8.12182
2020-07-09,6.85279
2020-07-10,5.58375
2020-07-11,4.56852
2020-07-12,3.04568
2020-07-13,8.37563
2020-07-14,9.39086
2020-07-15,11.42131
2020-07-16,4.06091
2020-07-17,7.3604
2020-07-18,5.07614
2020-07-19,6.59898
2020-07-20,5.58375
2020-07-21,6.59898
2020-07-22,9.89847
2020-07-23,11.16751
2020-07-24,11.42131
2020-07-25,6.34517
2020-07-26,3.29949
2020-07-27,8.12182
2020-07-28,7.61421
2020-07-29,6.59898
2020-07-30,5.58375
2020-07-31,4.31472
2020-08-01,3.8071
2020-08-02,7.3604
2020-08-03,7.61421
2020-08-04,10.40609
2020-08-05,9.39086
2020-08-06,8.12182
2020-08-07,8.88324
2020-08-08,5.83756
2020-08-09,5.32994
2020-08-10,13.45177
2020-08-11,10.15228
2020-08-12,8.37563
2020-08-13,6.59898
2020-08-14,4.82233
2020-08-15,1.52284
2020-08-16,1.26903
2020-08-17,3.04568
2020-08-18,6.34517
2020-08-19,2.53807
2020-08-20,6.34517
2020-08-21,6.34517
2020-08-22,3.8071
2020-08-23,2.03045
2020-08-24,7.86802
2020-08-25,5.32994
2020-08-26,8.37563
2020-08-27,11.42131
2020-08-28,8.37563
2020-08-29,2.79187
2020-08-30,5.58375
2020-08-31,8.37563
2020-09-01,6.85279
2020-09-02,8.12182
2020-09-03,7.61421
2020-09-04,17.00507
2020-09-05,5.83756
2020-09-06,1.26903
2020-09-07,4.56852
2020-09-08,8.37563
2020-09-09,10.15228
2020-09-10,17.25888
2020-09-11,8.12182
2020-09-12,2.79187
2020-09-13,5.07614
2020-09-14,8.12182
2020-09-15,9.13705
2020-09-16,6.34517
