date,건강보험료계산
2020-03-20,1.24002
2020-03-21,0.67125
2020-03-22,0.60976
2020-03-23,1.88908
2020-03-24,2.36049
2020-03-25,2.05134
2020-03-26,2.50738
2020-03-27,3.001
2020-03-28,1.87029
2020-03-29,2.42027
2020-03-30,20.46902
2020-03-31,11.83322
2020-04-01,7.66563
2020-04-02,8.2976
2020-04-03,100.0
2020-04-04,36.43226
2020-04-05,12.127
2020-04-06,15.07335
2020-04-07,8.2549
2020-04-08,6.37948
2020-04-09,5.77655
2020-04-10,6.25992
2020-04-11,3.3409
2020-04-12,2.41856
2020-04-13,4.18638
2020-04-14,4.16075
2020-04-15,2.36903
2020-04-16,6.23089
2020-04-17,5.69969
2020-04-18,2.69868
2020-04-19,2.58595
2020-04-20,5.79021
2020-04-21,5.10871
2020-04-22,5.24365
2020-04-23,4.82176
2020-04-24,5.29659
2020-04-25,2.25289
2020-04-26,1.86516
2020-04-27,3.38702
2020-04-28,3.17181
2020-04-29,3.41435
2020-04-30,2.06671
2020-05-01,1.98473
2020-05-02,1.31689
2020-05-03,1.47915
2020-05-04,3.27429
2020-05-05,1.831
2020-05-06,2.73455
2020-05-07,2.54154
2020-05-08,2.42198
2020-05-09,0.96845
2020-05-10,0.95991
2020-05-11,1.93007
2020-05-12,1.60383
2020-05-13,1.25881
2020-05-14,1.08972
2020-05-15,1.07435
2020-05-16,0.45091
2020-05-17,0.39113
2020-05-18,0.94624
2020-05-19,0.88134
2020-05-20,0.84035
2020-05-21,0.92916
2020-05-22,0.83351
2020-05-23,0.43725
2020-05-24,0.41675
2020-05-25,1.32201
2020-05-26,0.96162
2020-05-27,0.95991
2020-05-28,1.03506
2020-05-29,0.94795
2020-05-30,0.41505
2020-05-31,0.38772
2020-06-01,0.91208
2020-06-02,0.82327
2020-06-03,0.702
2020-06-04,0.63709
2020-06-05,0.65929
2020-06-06,0.30915
2020-06-07,0.3211
2020-06-08,0.72591
2020-06-09,0.73103
2020-06-10,1.08118
2020-06-11,0.71566
2020-06-12,0.54315
2020-06-13,0.32281
2020-06-14,0.29378
2020-06-15,0.72078
2020-06-16,0.702
2020-06-17,0.76007
2020-06-18,0.6815
2020-06-19,0.79252
2020-06-20,0.35697
2020-06-21,0.31769
2020-06-22,0.85059
2020-06-23,0.895
2020-06-24,0.92575
2020-06-25,1.26394
2020-06-26,1.01798
2020-06-27,0.50386
2020-06-28,0.50557
2020-06-29,1.09655
2020-06-30,1.28956
