date,기대출과다자추가대출
2020-03-20,70.2922
2020-03-21,31.16883
2020-03-22,22.88961
2020-03-23,90.58441
2020-03-24,75.48701
2020-03-25,69.80519
2020-03-26,63.31168
2020-03-27,48.05194
2020-03-28,23.86363
2020-03-29,24.83766
2020-03-30,68.66883
2020-03-31,72.24025
2020-04-01,78.73376
2020-04-02,63.63636
2020-04-03,59.41558
2020-04-04,23.86363
2020-04-05,26.62337
2020-04-06,73.37662
2020-04-07,65.58441
2020-04-08,76.2987
2020-04-09,77.75974
2020-04-10,53.24675
2020-04-11,22.24025
2020-04-12,22.07792
2020-04-13,73.86363
2020-04-14,75.48701
2020-04-15,34.90259
2020-04-16,66.3961
2020-04-17,54.87012
2020-04-18,24.02597
2020-04-19,25.81168
2020-04-20,80.35714
2020-04-21,76.2987
2020-04-22,74.67532
2020-04-23,63.96103
2020-04-24,55.51948
2020-04-25,15.0974
2020-04-26,23.21428
2020-04-27,69.48051
2020-04-28,52.11038
2020-04-29,54.87012
2020-04-30,17.53246
2020-05-01,18.50649
2020-05-02,16.3961
2020-05-03,14.61038
2020-05-04,58.92857
2020-05-05,24.35064
2020-05-06,70.77922
2020-05-07,62.82467
2020-05-08,61.68831
2020-05-09,18.34415
2020-05-10,18.18181
2020-05-11,66.55844
2020-05-12,70.45454
2020-05-13,60.38961
2020-05-14,61.36363
2020-05-15,40.25974
2020-05-16,19.80519
2020-05-17,14.12337
2020-05-18,63.7987
2020-05-19,61.36363
2020-05-20,55.68181
2020-05-21,53.73376
2020-05-22,38.7987
2020-05-23,18.01948
2020-05-24,17.6948
2020-05-25,61.68831
2020-05-26,54.22077
2020-05-27,44.96753
2020-05-28,41.23376
2020-05-29,29.05844
2020-05-30,14.61038
2020-05-31,14.12337
2020-06-01,43.83116
2020-06-02,39.77272
2020-06-03,38.63636
2020-06-04,38.47402
2020-06-05,31.33116
2020-06-06,14.77272
2020-06-07,13.7987
2020-06-08,55.84415
2020-06-09,41.88311
2020-06-10,45.2922
2020-06-11,39.93506
2020-06-12,38.96103
2020-06-13,12.66233
2020-06-14,14.28571
2020-06-15,51.13636
2020-06-16,50.81168
2020-06-17,44.15584
2020-06-18,44.80519
2020-06-19,39.12337
2020-06-20,13.47402
2020-06-21,12.5
2020-06-22,47.88961
2020-06-23,36.52597
2020-06-24,45.94155
2020-06-25,53.24675
2020-06-26,37.5
2020-06-27,14.61038
2020-06-28,17.85714
2020-06-29,51.78571
2020-06-30,40.58441
2020-07-01,40.0974
2020-07-02,37.01298
2020-07-03,29.38311
2020-07-04,11.36363
2020-07-05,13.7987
2020-07-06,43.18181
2020-07-07,29.38311
2020-07-08,26.78571
2020-07-09,23.53896
2020-07-10,26.62337
2020-07-11,13.63636
2020-07-12,21.91558
2020-07-13,58.92857
2020-07-14,52.92207
2020-07-15,43.18181
2020-07-16,48.05194
2020-07-17,33.11688
2020-07-18,11.52597
2020-07-19,18.34415
2020-07-20,58.44155
2020-07-21,46.10389
2020-07-22,47.72727
2020-07-23,41.88311
2020-07-24,28.40909
2020-07-25,14.61038
2020-07-26,14.77272
2020-07-27,62.33766
