date,거실액자
2020-03-20,54.23242
2020-03-21,55.95408
2020-03-22,63.12769
2020-03-23,51.64992
2020-03-24,49.2109
2020-03-25,55.52367
2020-03-26,53.51506
2020-03-27,50.64562
2020-03-28,55.52367
2020-03-29,66.1406
2020-03-30,56.24103
2020-03-31,59.39741
2020-04-01,53.08464
2020-04-02,57.3888
2020-04-03,47.63271
2020-04-04,53.37159
2020-04-05,54.08895
2020-04-06,57.3888
2020-04-07,62.26685
2020-04-08,59.9713
2020-04-09,54.37589
2020-04-10,47.91965
2020-04-11,59.9713
2020-04-12,76.04017
2020-04-13,53.22812
2020-04-14,55.09325
2020-04-15,53.22812
2020-04-16,57.53228
2020-04-17,57.3888
2020-04-18,62.26685
2020-04-19,77.9053
2020-04-20,61.97991
2020-04-21,55.52367
2020-04-22,58.967
2020-04-23,52.51076
2020-04-24,51.64992
2020-04-25,58.68005
2020-04-26,68.00573
2020-04-27,57.67575
2020-04-28,50.93256
2020-04-29,44.61979
2020-04-30,53.37159
2020-05-01,44.61979
2020-05-02,41.89383
2020-05-03,54.51936
2020-05-04,42.61119
2020-05-05,46.6284
2020-05-06,46.19799
2020-05-07,39.16786
2020-05-08,35.868
2020-05-09,39.88522
2020-05-10,49.49784
2020-05-11,53.51506
2020-05-12,44.61979
2020-05-13,43.75896
2020-05-14,40.88952
2020-05-15,44.76327
2020-05-16,45.33715
2020-05-17,51.93687
2020-05-18,50.50215
2020-05-19,52.22381
2020-05-20,49.2109
2020-05-21,47.34576
2020-05-22,39.31133
2020-05-23,49.06743
2020-05-24,59.39741
2020-05-25,54.80631
2020-05-26,44.47632
2020-05-27,38.16355
2020-05-28,46.91535
2020-05-29,45.19368
2020-05-30,63.27116
2020-05-31,85.65279
2020-06-01,48.49354
2020-06-02,49.2109
2020-06-03,44.61979
2020-06-04,42.89813
2020-06-05,32.2812
2020-06-06,43.61549
2020-06-07,59.39741
2020-06-08,45.05021
2020-06-09,44.61979
2020-06-10,42.46771
2020-06-11,40.31563
2020-06-12,36.44189
2020-06-13,46.05451
2020-06-14,49.35437
2020-06-15,41.46341
2020-06-16,42.89813
2020-06-17,38.30703
2020-06-18,45.05021
2020-06-19,39.31133
2020-06-20,42.18077
2020-06-21,47.48923
2020-06-22,45.48063
2020-06-23,48.49354
2020-06-24,48.92395
2020-06-25,44.18938
2020-06-26,38.59397
2020-06-27,44.04591
2020-06-28,56.09756
2020-06-29,50.2152
2020-06-30,41.31994
2020-07-01,48.35007
2020-07-02,44.18938
2020-07-03,43.90243
2020-07-04,45.91104
2020-07-05,87.08751
2020-07-06,57.67575
2020-07-07,45.33715
2020-07-08,42.32424
2020-07-09,40.88952
2020-07-10,31.13342
2020-07-11,40.02869
2020-07-12,50.93256
2020-07-13,56.09756
2020-07-14,49.64131
2020-07-15,41.75035
2020-07-16,36.01147
2020-07-17,34.14634
2020-07-18,37.30272
2020-07-19,42.89813
2020-07-20,53.94548
2020-07-21,42.61119
2020-07-22,47.91965
2020-07-23,50.2152
2020-07-24,37.44619
2020-07-25,44.33285
2020-07-26,48.78048
2020-07-27,50.64562
2020-07-28,45.76757
2020-07-29,40.74605
2020-07-30,44.33285
2020-07-31,47.48923
2020-08-01,65.85365
2020-08-02,62.26685
2020-08-03,69.7274
2020-08-04,58.53658
2020-08-05,53.51506
2020-08-06,67.28837
2020-08-07,47.20229
2020-08-08,46.34146
2020-08-09,63.27116
2020-08-10,47.91965
2020-08-11,49.64131
2020-08-12,46.77187
2020-08-13,45.76757
2020-08-14,47.48923
2020-08-15,48.49354
2020-08-16,46.19799
2020-08-17,49.49784
2020-08-18,49.92826
2020-08-19,47.48923
2020-08-20,43.90243
2020-08-21,47.34576
2020-08-22,55.23672
2020-08-23,82.78335
2020-08-24,57.53228
2020-08-25,53.802
2020-08-26,63.98852
2020-08-27,58.967
2020-08-28,56.67144
2020-08-29,66.71449
