date,비트코인시세그래프
2020-03-20,15.22872
2020-03-21,9.20671
2020-03-22,13.20208
2020-03-23,17.02374
2020-03-24,12.44933
2020-03-25,13.14418
2020-03-26,12.044
2020-03-27,11.58077
2020-03-28,8.85929
2020-03-29,10.4806
2020-03-30,11.11754
2020-03-31,10.65431
2020-04-01,7.81702
2020-04-02,7.06427
2020-04-03,6.54313
2020-04-04,5.67458
2020-04-05,6.31152
2020-04-06,10.13317
2020-04-07,10.77012
2020-04-08,8.74348
2020-04-09,7.81702
2020-04-10,8.22235
2020-04-11,7.75911
2020-04-12,6.48523
2020-04-13,8.68558
2020-04-14,6.83265
2020-04-15,6.31152
2020-04-16,6.42733
2020-04-17,6.65894
2020-04-18,6.54313
2020-04-19,4.80602
2020-04-20,5.55877
2020-04-21,6.83265
2020-04-22,5.03763
2020-04-23,5.67458
2020-04-24,6.42733
2020-04-25,4.63231
2020-04-26,4.92182
2020-04-27,4.11117
2020-04-28,6.42733
2020-04-29,7.35379
2020-04-30,14.24435
2020-05-01,5.15344
2020-05-02,3.93746
2020-05-03,5.03763
2020-05-04,6.022
2020-05-05,5.15344
2020-05-06,6.0799
2020-05-07,4.16907
2020-05-08,7.5275
2020-05-09,5.21134
2020-05-10,6.54313
2020-05-11,5.32715
2020-05-12,7.29588
2020-05-13,5.09554
2020-05-14,5.38506
2020-05-15,5.21134
2020-05-16,3.93746
2020-05-17,3.41632
2020-05-18,6.42733
2020-05-19,5.26925
2020-05-20,4.97973
2020-05-21,6.89056
2020-05-22,4.63231
2020-05-23,4.5165
2020-05-24,4.28488
2020-05-25,5.44296
2020-05-26,5.50086
2020-05-27,4.74811
2020-05-28,5.03763
2020-05-29,4.05327
2020-05-30,3.47423
2020-05-31,3.82165
2020-06-01,3.93746
2020-06-02,6.89056
2020-06-03,6.60104
2020-06-04,4.63231
2020-06-05,3.64794
2020-06-06,3.24261
2020-06-07,4.45859
2020-06-08,5.67458
2020-06-09,5.44296
2020-06-10,5.90619
2020-06-11,5.67458
2020-06-12,4.92182
2020-06-13,3.011
2020-06-14,3.47423
2020-06-15,5.50086
2020-06-16,6.31152
2020-06-17,5.26925
2020-06-18,5.09554
2020-06-19,4.69021
2020-06-20,4.16907
2020-06-21,3.011
2020-06-22,5.15344
2020-06-23,4.74811
2020-06-24,5.44296
2020-06-25,5.61667
2020-06-26,5.15344
2020-06-27,4.16907
2020-06-28,4.11117
2020-06-29,4.40069
2020-06-30,4.5165
2020-07-01,3.93746
2020-07-02,2.83729
2020-07-03,5.09554
2020-07-04,4.34279
2020-07-05,2.72148
2020-07-06,5.15344
2020-07-07,4.63231
2020-07-08,3.53213
2020-07-09,4.80602
2020-07-10,5.21134
2020-07-11,2.48986
2020-07-12,2.77938
2020-07-13,3.70584
2020-07-14,4.40069
2020-07-15,3.35842
2020-07-16,4.5165
2020-07-17,3.47423
2020-07-18,3.011
2020-07-19,2.60567
2020-07-20,3.76375
2020-07-21,3.47423
2020-07-22,4.74811
2020-07-23,3.82165
2020-07-24,3.41632
2020-07-25,2.89519
2020-07-26,3.64794
2020-07-27,10.5964
2020-07-28,10.77012
2020-07-29,7.64331
2020-07-30,5.84829
2020-07-31,3.82165
2020-08-01,5.15344
2020-08-02,10.65431
2020-08-03,6.36942
2020-08-04,6.31152
2020-08-05,6.94846
2020-08-06,5.38506
2020-08-07,5.96409
2020-08-08,4.34279
2020-08-09,4.16907
2020-08-10,7.70121
2020-08-11,7.64331
2020-08-12,5.09554
2020-08-13,5.73248
2020-08-14,5.21134
2020-08-15,4.34279
2020-08-16,3.99536
2020-08-17,6.0799
2020-08-18,6.54313
2020-08-19,6.54313
2020-08-20,5.73248
2020-08-21,7.23798
2020-08-22,5.03763
2020-08-23,4.11117
2020-08-24,7.35379
2020-08-25,5.96409
2020-08-26,5.44296
2020-08-27,6.19571
2020-08-28,5.15344
2020-08-29,4.86392
2020-08-30,3.64794
2020-08-31,6.36942
2020-09-01,6.89056
2020-09-02,5.73248
