date,피엔티주가
2020-03-20,5.32932
2020-03-21,0.5396
2020-03-22,0.41165
2020-03-23,4.16666
2020-03-24,4.95104
2020-03-25,5.37939
2020-03-26,6.75344
2020-03-27,6.63662
2020-03-28,0.7955
2020-03-29,0.87894
2020-03-30,4.9566
2020-03-31,4.54494
2020-04-01,5.11237
2020-04-02,4.54494
2020-04-03,4.09434
2020-04-04,0.61748
2020-04-05,0.56186
2020-04-06,4.44481
2020-04-07,5.79661
2020-04-08,10.04116
2020-04-09,11.1927
2020-04-10,10.36938
2020-04-11,1.83021
2020-04-12,1.59657
2020-04-13,8.51134
2020-04-14,8.25545
2020-04-15,1.97485
2020-04-16,11.26502
2020-04-17,10.75322
2020-04-18,3.004
2020-04-19,2.05829
2020-04-20,9.11771
2020-04-21,6.83689
2020-04-22,7.00934
2020-04-23,8.35558
2020-04-24,6.85914
2020-04-25,0.89563
2020-04-26,0.62861
2020-04-27,5.59635
2020-04-28,4.99554
2020-04-29,5.0623
2020-04-30,0.89563
2020-05-01,1.15153
2020-05-02,0.45616
2020-05-03,0.4951
2020-05-04,4.18891
2020-05-05,0.41165
2020-05-06,4.17779
2020-05-07,4.417
2020-05-08,4.47263
2020-05-09,0.52848
2020-05-10,0.62305
2020-05-11,4.02759
2020-05-12,4.24454
2020-05-13,8.44459
2020-05-14,10.01891
2020-05-15,9.72963
2020-05-16,1.67445
2020-05-17,1.29617
2020-05-18,10.60858
2020-05-19,9.96884
2020-05-20,11.56542
2020-05-21,13.80729
2020-05-22,9.80752
2020-05-23,1.61882
2020-05-24,1.35736
2020-05-25,13.95193
2020-05-26,14.7975
2020-05-27,12.22741
2020-05-28,11.31508
2020-05-29,9.64619
2020-05-30,1.58544
2020-05-31,1.78571
2020-06-01,11.21495
2020-06-02,9.68513
2020-06-03,9.08433
2020-06-04,8.95638
2020-06-05,7.54339
2020-06-06,1.15709
2020-06-07,1.07365
2020-06-08,7.89385
2020-06-09,6.64775
2020-06-10,6.81464
2020-06-11,9.39029
2020-06-12,7.67133
2020-06-13,1.06252
2020-06-14,1.07921
2020-06-15,6.59768
2020-06-16,5.86893
2020-06-17,5.86337
2020-06-18,5.24588
2020-06-19,7.17623
2020-06-20,0.89563
2020-06-21,0.72874
2020-06-22,5.8133
2020-06-23,5.70204
2020-06-24,6.08032
2020-06-25,5.80218
2020-06-26,8.4724
2020-06-27,0.54517
2020-06-28,0.54517
2020-06-29,5.46283
2020-06-30,5.09568
2020-07-01,6.15821
2020-07-02,13.71829
2020-07-03,12.18847
2020-07-04,1.74121
2020-07-05,1.38518
2020-07-06,11.33177
2020-07-07,10.22474
2020-07-08,8.6838
2020-07-09,8.87294
2020-07-10,7.74922
2020-07-11,0.92345
2020-07-12,0.89563
2020-07-13,6.98153
2020-07-14,6.66444
2020-07-15,6.52536
2020-07-16,5.79661
2020-07-17,5.28482
2020-07-18,0.77325
2020-07-19,0.67868
2020-07-20,5.89675
2020-07-21,6.34735
2020-07-22,5.80774
2020-07-23,5.62416
2020-07-24,4.97886
2020-07-25,0.66755
2020-07-26,1.02914
2020-07-27,8.1275
2020-07-28,11.20382
2020-07-29,8.42234
2020-07-30,6.75344
2020-07-31,7.79372
2020-08-01,1.30173
2020-08-02,1.0514
2020-08-03,13.71829
2020-08-04,13.68491
2020-08-05,12.38874
2020-08-06,11.91588
2020-08-07,10.96461
2020-08-08,2.23631
2020-08-09,2.19181
2020-08-10,15.29261
2020-08-11,12.81708
2020-08-12,13.1898
