date,ETF
2020-03-20,25.72233
2020-03-21,15.17146
2020-03-22,14.57701
2020-03-23,22.98219
2020-03-24,21.00937
2020-03-25,20.53808
2020-03-26,19.40602
2020-03-27,16.96428
2020-03-28,9.76458
2020-03-29,10.25719
2020-03-30,14.73332
2020-03-31,15.77538
2020-04-01,15.50066
2020-04-02,15.64513
2020-04-03,13.24838
2020-04-04,7.60941
2020-04-05,7.57862
2020-04-06,13.17497
2020-04-07,13.28154
2020-04-08,13.44496
2020-04-09,13.27917
2020-04-10,12.40763
2020-04-11,6.51762
2020-04-12,7.25179
2020-04-13,12.81735
2020-04-14,14.82569
2020-04-15,7.86993
2020-04-16,10.24298
2020-04-17,11.17137
2020-04-18,7.47442
2020-04-19,8.09492
2020-04-20,11.88186
2020-04-21,16.02169
2020-04-22,17.4261
2020-04-23,14.05361
2020-04-24,11.00322
2020-04-25,6.52235
2020-04-26,7.15469
2020-04-27,10.31167
2020-04-28,10.73796
2020-04-29,10.0251
2020-04-30,5.64607
2020-05-01,4.80769
2020-05-02,4.11851
2020-05-03,5.04926
2020-05-04,7.60704
2020-05-05,5.55845
2020-05-06,7.91256
2020-05-07,6.48209
2020-05-08,6.45604
2020-05-09,4.36718
2020-05-10,3.97877
2020-05-11,6.57919
2020-05-12,6.4063
2020-05-13,6.48209
2020-05-14,6.12684
2020-05-15,5.73844
2020-05-16,3.71115
2020-05-17,8.01913
2020-05-18,9.87116
2020-05-19,8.8741
2020-05-20,7.43179
2020-05-21,7.75862
2020-05-22,6.82076
2020-05-23,4.37902
2020-05-24,5.33582
2020-05-25,8.4028
2020-05-26,8.62779
2020-05-27,8.0736
2020-05-28,7.82493
2020-05-29,6.4513
2020-05-30,4.07114
2020-05-31,4.37902
2020-06-01,7.43889
2020-06-02,8.3057
2020-06-03,9.57275
2020-06-04,8.19439
2020-06-05,8.21807
2020-06-06,5.0682
2020-06-07,5.07294
2020-06-08,9.15829
2020-06-09,9.60354
2020-06-10,8.81015
2020-06-11,8.52122
2020-06-12,8.10913
2020-06-13,5.19609
2020-06-14,5.24346
2020-06-15,7.95045
2020-06-16,8.12334
2020-06-17,7.50047
2020-06-18,6.82313
2020-06-19,6.46788
2020-06-20,3.80352
2020-06-21,3.89588
2020-06-22,6.48683
2020-06-23,6.71419
2020-06-24,7.03865
2020-06-25,7.23522
2020-06-26,6.0179
2020-06-27,3.35827
2020-06-28,4.44533
2020-06-29,6.10553
2020-06-30,5.90185
2020-07-01,6.50814
2020-07-02,6.41104
2020-07-03,5.99895
2020-07-04,3.70642
2020-07-05,4.58743
2020-07-06,7.84624
2020-07-07,8.34122
2020-07-08,7.98124
2020-07-09,8.56148
2020-07-10,8.52832
2020-07-11,6.19789
2020-07-12,7.5952
2020-07-13,12.06896
2020-07-14,9.71248
2020-07-15,9.2104
2020-07-16,7.8723
2020-07-17,7.17127
2020-07-18,4.09482
2020-07-19,4.0593
2020-07-20,6.69524
2020-07-21,8.62542
2020-07-22,8.38385
