date,공모주청약
2020-11-07,0.43443
2020-11-08,0.40591
2020-11-09,1.03782
2020-11-10,1.1585
2020-11-11,0.95444
2020-11-12,1.66315
2020-11-13,1.17166
2020-11-14,0.37739
2020-11-15,0.39494
2020-11-16,0.99613
2020-11-17,1.03563
2020-11-18,1.6061
2020-11-19,100.0
2020-11-20,1.16947
2020-11-21,0.47393
2020-11-22,0.58364
2020-11-23,1.47884
2020-11-24,2.0186
2020-11-25,1.21774
2020-11-26,0.95664
2020-11-27,1.19799
2020-11-28,0.53098
2020-11-29,0.4476
2020-11-30,2.00324
2020-12-01,1.14972
2020-12-02,0.97858
2020-12-03,1.05099
2020-12-04,0.93909
2020-12-05,0.3357
2020-12-06,0.45857
2020-12-07,1.25943
2020-12-08,1.18483
2020-12-09,1.03563
2020-12-10,0.97858
2020-12-11,0.99394
2020-12-12,0.44321
2020-12-13,0.4476
2020-12-14,1.12998
2020-12-15,1.68729
2020-12-16,0.81402
2020-12-17,0.64507
2020-12-18,0.46954
2020-12-19,0.28523
2020-12-20,0.20186
2020-12-21,0.72845
2020-12-22,0.79427
2020-12-23,0.5968
2020-12-24,0.36861
2020-12-25,0.28962
2020-12-26,0.25232
2020-12-27,0.35325
2020-12-28,0.43663
2020-12-29,0.51123
2020-12-30,0.52878
2020-12-31,0.32034
2021-01-01,0.31814
2021-01-02,0.31156
2021-01-03,0.27865
2021-01-04,0.69773
2021-01-05,0.72845
2021-01-06,0.65385
2021-01-07,0.62532
2021-01-08,0.63191
2021-01-09,0.66482
2021-01-10,0.60997
2021-01-11,0.8974
2021-01-12,1.17386
2021-01-13,1.44593
2021-01-14,0.98077
2021-01-15,0.64068
2021-01-16,0.47612
2021-01-17,0.5595
2021-01-18,1.19361
2021-01-19,1.96375
2021-01-20,2.07565
2021-01-21,2.57152
2021-01-22,2.56933
2021-01-23,1.09268
2021-01-24,1.07293
2021-01-25,2.78874
2021-01-26,3.68834
2021-01-27,2.38941
2021-01-28,1.80577
2021-01-29,1.14972
2021-01-30,0.43005
2021-01-31,0.55731
2021-02-01,1.06196
2021-02-02,1.67632
2021-02-03,1.92206
2021-02-04,1.33622
2021-02-05,1.38669
2021-02-06,0.64288
2021-02-07,0.69115
2021-02-08,1.02905
2021-02-09,0.99833
2021-02-10,0.92812
2021-02-11,0.51781
2021-02-12,0.67798
2021-02-13,0.89301
2021-02-14,1.20458
2021-02-15,2.87651
2021-02-16,3.78488
2021-02-17,2.26873
2021-02-18,1.5337
2021-02-19,1.11901
2021-02-20,0.63629
2021-02-21,0.89959
2021-02-22,1.30112
2021-02-23,1.44374
2021-02-24,2.53642
2021-02-25,2.27751
2021-02-26,2.19633
2021-02-27,1.12778
2021-02-28,0.97858
2021-03-01,1.66096
2021-03-02,2.97305
2021-03-03,3.38335
2021-03-04,3.31095
2021-03-05,3.44479
2021-03-06,1.91767
2021-03-07,2.52106
2021-03-08,8.98499
2021-03-09,21.79875
2021-03-10,17.77909
2021-03-11,7.92083
2021-03-12,5.65209
2021-03-13,1.83649
2021-03-14,1.78602
2021-03-15,3.28023
2021-03-16,3.57205
2021-03-17,2.55836
2021-03-18,6.72722
2021-03-19,3.83974
2021-03-20,2.18755
2021-03-21,2.01421
2021-03-22,4.55941
2021-03-23,3.77391
2021-03-24,2.88309
2021-03-25,1.86062
2021-03-26,1.49859
2021-03-27,0.82938
2021-03-28,0.88423
2021-03-29,1.55344
2021-03-30,1.54028
2021-03-31,1.38888
2021-04-01,1.95936
2021-04-02,1.54467
2021-04-03,0.84474
2021-04-04,0.90398
2021-04-05,1.44154
2021-04-06,1.65876
2021-04-07,1.62585
2021-04-08,1.66754
2021-04-09,1.6829
2021-04-10,0.89959
2021-04-11,1.19361
2021-04-12,3.48867
2021-04-13,3.72345
2021-04-14,2.44646
2021-04-15,2.40477
2021-04-16,2.18536
2021-04-17,1.30331
2021-04-18,1.62804
2021-04-19,4.53308
2021-04-20,4.21932
2021-04-21,4.87756
2021-04-22,4.89731
2021-04-23,5.24618
2021-04-24,3.35922
2021-04-25,4.10742
2021-04-26,14.61953
2021-04-27,30.87809
2021-04-28,72.00061
2021-04-29,49.17281
2021-04-30,20.94962
2021-05-01,7.34816
2021-05-02,3.61374
2021-05-03,6.85887
2021-05-04,4.56599
2021-05-05,2.45523
2021-05-06,7.05853
2021-05-07,5.78155
2021-05-08,2.00324
2021-05-09,2.18755
2021-05-10,5.93952
2021-05-11,7.62462
2021-05-12,3.98674
2021-05-13,3.08934
2021-05-14,2.61321
2021-05-15,0.94128
2021-05-16,1.01588
2021-05-17,1.86501
2021-05-18,1.10145
2021-05-19,0.746
2021-05-20,1.43277
2021-05-21,1.57539
2021-05-22,0.58144
2021-05-23,0.52001
2021-05-24,1.26162
2021-05-25,1.50737
2021-05-26,1.73117
2021-05-27,1.10365
2021-05-28,0.90398
2021-05-29,0.47832
2021-05-30,0.32473
2021-05-31,1.0071
2021-06-01,1.16289
2021-06-02,1.74653
2021-06-03,2.32797
2021-06-04,1.09706
2021-06-05,0.56389
2021-06-06,0.80744
2021-06-07,1.6083
2021-06-08,1.8321
2021-06-09,1.61269
2021-06-10,1.40424
2021-06-11,1.24188
2021-06-12,0.45199
2021-06-13,0.54634
2021-06-14,1.54467
2021-06-15,2.53203
2021-06-16,1.89573
2021-06-17,1.69387
2021-06-18,1.50298
2021-06-19,0.59022
2021-06-20,0.60777
2021-06-21,1.0093
2021-06-22,1.15631
2021-06-23,1.24407
2021-06-24,0.98297
2021-06-25,1.12998
2021-06-26,0.5222
2021-06-27,0.47832
2021-06-28,2.48156
2021-06-29,2.15025
2021-06-30,1.79919
2021-07-01,1.61707
2021-07-02,1.83649
2021-07-03,1.35597
2021-07-04,1.02027
2021-07-05,2.45962
2021-07-06,2.81507
2021-07-07,4.23687
2021-07-08,9.98332
2021-07-09,9.95918
2021-07-10,1.83429
2021-07-11,1.73556
2021-07-12,4.86001
2021-07-13,4.80296
2021-07-14,4.94558
2021-07-15,3.79366
2021-07-16,4.4519
2021-07-17,1.63902
2021-07-18,1.65218
2021-07-19,5.23301
2021-07-20,4.7876
2021-07-21,5.92855
2021-07-22,6.19185
2021-07-23,7.92083
2021-07-24,3.94067
2021-07-25,5.6104
2021-07-26,18.84325
2021-07-27,14.61734
2021-07-28,10.04914
2021-07-29,11.77812
2021-07-30,9.16052
2021-07-31,2.95111
2021-08-01,3.53914
2021-08-02,9.93944
2021-08-03,10.14569
2021-08-04,7.45567
2021-08-05,8.91916
2021-08-06,14.97279
2021-08-07,4.63621
2021-08-08,4.91925
2021-08-09,19.11532
2021-08-10,16.83561
2021-08-11,7.57196
2021-08-12,7.70581
2021-08-13,4.86659
2021-08-14,1.51176
2021-08-15,1.50517
2021-08-16,2.29067
2021-08-17,3.85948
2021-08-18,3.46893
2021-08-19,3.7037
2021-08-20,3.66201
2021-08-21,1.6061
2021-08-22,1.66096
2021-08-23,5.04432
2021-08-24,10.53624
2021-08-25,11.60918
2021-08-26,4.47384
2021-08-27,2.88967
2021-08-28,1.41741
2021-08-29,1.77066
2021-08-30,7.15069
2021-08-31,8.24556
2021-09-01,11.61576
2021-09-02,5.46779
2021-09-03,3.72783
2021-09-04,1.73556
2021-09-05,1.79261
2021-09-06,5.1255
2021-09-07,10.88072
2021-09-08,10.16543
2021-09-09,4.25223
2021-09-10,2.74705
2021-09-11,1.26162
2021-09-12,1.44813
2021-09-13,4.29612
2021-09-14,7.17482
2021-09-15,4.71081
2021-09-16,2.20291
2021-09-17,3.88581
2021-09-18,1.27918
2021-09-19,1.09706
2021-09-20,0.83596
2021-09-21,0.8579
2021-09-22,1.28357
2021-09-23,3.15516
2021-09-24,3.26487
2021-09-25,1.44593
2021-09-26,1.95497
2021-09-27,7.60926
2021-09-28,8.5681
2021-09-29,3.42943
2021-09-30,2.83263
2021-10-01,1.72898
2021-10-02,0.57266
2021-10-03,0.58144
2021-10-04,0.75697
2021-10-05,1.61488
2021-10-06,1.26601
2021-10-07,1.47884
2021-10-08,1.1958
2021-10-09,0.51562
2021-10-10,0.46954
2021-10-11,0.81841
2021-10-12,2.71853
2021-10-13,2.99938
2021-10-14,1.34061
2021-10-15,1.0839
2021-10-16,0.52659
2021-10-17,0.61216
2021-10-18,2.11076
2021-10-19,2.75583
2021-10-20,3.06301
2021-10-21,3.69931
2021-10-22,3.55011
2021-10-23,1.74653
2021-10-24,2.3543
2021-10-25,11.68378
2021-10-26,9.37335
2021-10-27,4.12936
2021-10-28,2.74705
2021-10-29,1.84965
2021-10-30,0.80963
2021-10-31,1.24188
2021-11-01,5.64112
2021-11-02,7.47981
2021-11-03,10.64595
2021-11-04,4.4519
2021-11-05,3.01913
2021-11-06,1.05318
2021-11-07,1.29234
2021-11-08,3.15955
2021-11-09,3.0674
2021-11-10,3.63787
2021-11-11,4.3027
2021-11-12,3.32411
2021-11-13,0.8206
2021-11-14,0.94567
2021-11-15,2.20071
2021-11-16,1.96814
2021-11-17,1.67851
2021-11-18,1.48104
2021-11-19,1.07951
2021-11-20,0.57047
2021-11-21,0.80963
2021-11-22,2.51009
2021-11-23,1.78383
2021-11-24,2.11076
2021-11-25,1.62366
2021-11-26,1.29673
2021-11-27,0.38616
2021-11-28,0.47832
2021-11-29,1.10803
2021-11-30,1.17605
2021-12-01,1.03343
2021-12-02,1.28357
2021-12-03,1.14972
2021-12-04,0.37958
2021-12-05,0.5595
2021-12-06,1.62146
2021-12-07,1.75311
2021-12-08,1.70703
2021-12-09,1.42618
2021-12-10,1.18263
2021-12-11,0.69554
2021-12-12,0.9347
2021-12-13,1.56222
2021-12-14,1.43277
2021-12-15,1.13875
2021-12-16,1.29015
2021-12-17,0.99833
2021-12-18,0.60119
2021-12-19,0.60997
2021-12-20,1.23749
2021-12-21,1.33184
2021-12-22,1.06415
2021-12-23,0.91276
2021-12-24,0.65165
2021-12-25,0.4454
2021-12-26,0.45418
2021-12-27,1.0817
2021-12-28,1.12778
2021-12-29,0.85132
2021-12-30,0.90398
2021-12-31,0.70212
2022-01-01,0.66482
2022-01-02,1.05538
2022-01-03,1.84746
2022-01-04,2.15025
2022-01-05,2.16561
2022-01-06,2.0932
2022-01-07,2.2051
2022-01-08,1.26382
2022-01-09,1.91767
2022-01-10,3.78488
2022-01-11,4.58794
2022-01-12,6.08873
2022-01-13,7.05195
2022-01-14,6.60215
2022-01-15,4.48701
2022-01-16,6.34544
2022-01-17,20.52176
2022-01-18,69.17675
2022-01-19,58.50008
2022-01-20,41.17956
2022-01-21,15.80217
2022-01-22,5.01579
2022-01-23,4.19957
2022-01-24,7.83307
2022-01-25,6.55608
2022-01-26,5.21107
2022-01-27,13.58609
2022-01-28,6.15455
2022-01-29,2.82385
2022-01-30,2.19413
2022-01-31,1.86501
2022-02-01,2.34553
2022-02-02,3.30437
2022-02-03,6.82157
2022-02-04,5.71572
2022-02-05,2.43549
2022-02-06,2.34992
2022-02-07,5.43707
2022-02-08,4.75469
2022-02-09,4.8995
2022-02-10,3.75416
2022-02-11,2.92697
2022-02-12,1.59513
2022-02-13,2.46621
2022-02-14,6.86984
2022-02-15,8.21265
2022-02-16,5.11892
2022-02-17,4.61865
2022-02-18,3.01474
2022-02-19,1.345
2022-02-20,1.73117
2022-02-21,4.53089
2022-02-22,3.83096
2022-02-23,3.00596
2022-02-24,1.718
2022-02-25,1.52053
2022-02-26,0.86229
2022-02-27,0.77233
2022-02-28,1.97252
2022-03-01,1.07293
2022-03-02,2.68562
2022-03-03,2.49912
2022-03-04,1.36914
2022-03-05,0.66482
2022-03-06,1.19141
2022-03-07,2.91381
2022-03-08,2.79533
2022-03-09,0.69773
2022-03-10,1.54686
2022-03-11,1.33622
2022-03-12,0.77014
2022-03-13,0.94347
2022-03-14,2.16122
2022-03-15,2.78874
2022-03-16,2.95989
2022-03-17,1.81674
2022-03-18,2.21607
2022-03-19,1.05318
2022-03-20,1.02466
2022-03-21,2.7668
2022-03-22,3.57424
2022-03-23,4.10742
2022-03-24,2.31481
2022-03-25,1.22213
2022-03-26,0.69334
2022-03-27,0.69554
2022-03-28,1.67851
2022-03-29,1.66535
2022-03-30,1.20238
2022-03-31,1.41741
2022-04-01,1.46787
2022-04-02,0.60558
2022-04-03,0.53756
2022-04-04,1.15631
2022-04-05,1.3077
2022-04-06,1.31428
2022-04-07,1.06854
2022-04-08,0.93909
2022-04-09,0.41908
2022-04-10,0.50903
2022-04-11,1.31648
2022-04-12,1.18922
2022-04-13,1.03124
2022-04-14,0.97419
2022-04-15,0.81183
2022-04-16,0.59022
2022-04-17,0.64727
2022-04-18,2.60005
2022-04-19,3.75855
2022-04-20,3.4031
2022-04-21,1.67632
2022-04-22,1.0817
2022-04-23,0.60997
2022-04-24,0.64068
2022-04-25,1.27698
2022-04-26,1.36255
2022-04-27,1.43715
2022-04-28,1.71142
2022-04-29,1.18044
2022-04-30,0.67579
2022-05-01,0.79208
2022-05-02,2.6944
2022-05-03,2.72731
2022-05-04,2.28409
2022-05-05,0.99833
2022-05-06,1.73995
2022-05-07,0.90617
2022-05-08,1.08609
2022-05-09,3.12225
2022-05-10,2.58469
2022-05-11,4.2281
2022-05-12,3.27365
2022-05-13,1.88695
2022-05-14,0.50903
2022-05-15,0.46954
2022-05-16,1.20677
2022-05-17,1.09268
2022-05-18,0.89959
2022-05-19,0.78988
2022-05-20,1.20896
2022-05-21,0.42566
2022-05-22,0.41249
2022-05-23,1.14753
2022-05-24,1.55125
2022-05-25,1.29015
2022-05-26,0.90398
2022-05-27,0.68895
2022-05-28,0.38616
2022-05-29,0.43005
2022-05-30,1.01807
2022-05-31,0.97858
2022-06-01,0.5595
2022-06-02,0.96761
2022-06-03,1.05318
2022-06-04,0.52659
2022-06-05,0.64946
2022-06-06,0.7855
2022-06-07,1.95717
2022-06-08,3.03449
2022-06-09,2.90503
2022-06-10,1.46129
2022-06-11,0.48709
2022-06-12,0.62752
2022-06-13,2.28629
2022-06-14,3.50403
2022-06-15,3.37238
2022-06-16,1.49859
2022-06-17,1.19799
2022-06-18,0.46954
2022-06-19,0.5595
2022-06-20,1.51176
2022-06-21,1.80577
2022-06-22,1.71581
2022-06-23,0.97858
2022-06-24,0.99833
2022-06-25,0.4081
2022-06-26,0.5222
2022-06-27,1.718
2022-06-28,1.7948
2022-06-29,0.8974
2022-06-30,0.9325
2022-07-01,0.86449
2022-07-02,0.28084
2022-07-03,0.40591
2022-07-04,1.10145
2022-07-05,1.94619
2022-07-06,2.19413
2022-07-07,2.23143
2022-07-08,1.09487
2022-07-09,0.48271
2022-07-10,0.50903
2022-07-11,1.38888
2022-07-12,1.18263
2022-07-13,1.21116
2022-07-14,1.26162
2022-07-15,1.93303
2022-07-16,0.81183
2022-07-17,1.24407
2022-07-18,7.54563
2022-07-19,9.04203
2022-07-20,3.5523
2022-07-21,1.97033
2022-07-22,1.32087
2022-07-23,0.52878
2022-07-24,0.65385
2022-07-25,2.06248
2022-07-26,2.54081
2022-07-27,2.77119
2022-07-28,2.84799
2022-07-29,1.87379
2022-07-30,0.51781
2022-07-31,0.56608
2022-08-01,1.26162
2022-08-02,1.11681
2022-08-03,1.09487
2022-08-04,1.52931
2022-08-05,1.07293
2022-08-06,0.53098
2022-08-07,0.59899
2022-08-08,2.26654
2022-08-09,2.34114
2022-08-10,2.55178
2022-08-11,1.62804
2022-08-12,0.70212
2022-08-13,0.31376
2022-08-14,0.2962
2022-08-15,0.32692
2022-08-16,0.77453
2022-08-17,0.62532
2022-08-18,0.54414
2022-08-19,0.52001
2022-08-20,0.26987
2022-08-21,0.27646
2022-08-22,0.82938
2022-08-23,0.58144
2022-08-24,0.46735
2022-08-25,0.5222
2022-08-26,0.43443
2022-08-27,0.26987
2022-08-28,0.25232
2022-08-29,0.69773
2022-08-30,0.71309
2022-08-31,0.49806
2022-09-01,0.55511
2022-09-02,0.43663
2022-09-03,0.25451
2022-09-04,0.25013
2022-09-05,0.46296
2022-09-06,0.45199
2022-09-07,0.40152
2022-09-08,0.27426
2022-09-09,0.18211
2022-09-10,0.17772
2022-09-11,0.23038
2022-09-12,0.27646
2022-09-13,0.96542
2022-09-14,1.08829
2022-09-15,1.50956
2022-09-16,1.32525
2022-09-17,0.39275
2022-09-18,0.39933
2022-09-19,1.48981
2022-09-20,2.56714
2022-09-21,2.16122
2022-09-22,1.0071
2022-09-23,0.65824
2022-09-24,0.27426
2022-09-25,0.3335
2022-09-26,1.30331
2022-09-27,1.64999
2022-09-28,0.92153
2022-09-29,0.70431
2022-09-30,0.68237
2022-10-01,0.41469
2022-10-02,0.35983
2022-10-03,0.5222
2022-10-04,2.56275
2022-10-05,3.4031
2022-10-06,2.543
2022-10-07,1.21994
2022-10-08,0.26987
2022-10-09,0.26329
2022-10-10,0.47173
2022-10-11,1.22871
2022-10-12,1.12778
2022-10-13,0.8974
2022-10-14,0.75917
2022-10-15,0.30717
2022-10-16,0.38397
2022-10-17,1.78163
2022-10-18,2.21827
2022-10-19,2.00763
2022-10-20,1.18702
2022-10-21,0.68457
2022-10-22,0.31814
2022-10-23,0.39275
2022-10-24,1.15192
2022-10-25,1.43715
2022-10-26,1.69606
2022-10-27,1.6807
2022-10-28,0.70651
2022-10-29,0.31595
2022-10-30,0.35325
2022-10-31,1.00491
2022-11-01,1.17386
2022-11-02,1.17825
2022-11-03,1.19799
2022-11-04,0.8579
2022-11-05,0.25451
2022-11-06,0.42346
2022-11-07,1.59074
2022-11-08,2.15025
2022-11-09,1.45251
2022-11-10,1.00052
2022-11-11,0.746
2022-11-12,0.25671
2022-11-13,0.32253
2022-11-14,0.79866
2022-11-15,0.75258
2022-11-16,0.63191
2022-11-17,0.64288
2022-11-18,0.46954
2022-11-19,0.15797
2022-11-20,0.21063
2022-11-21,0.59899
2022-11-22,0.65165
2022-11-23,0.5595
2022-11-24,0.68018
2022-11-25,0.50245
2022-11-26,0.17553
2022-11-27,0.20186
2022-11-28,0.40372
2022-11-29,0.38397
2022-11-30,0.32692
2022-12-01,0.31156
2022-12-02,0.28304
2022-12-03,0.09873
2022-12-04,0.15358
2022-12-05,0.43224
2022-12-06,0.51562
2022-12-07,0.47832
2022-12-08,0.39713
2022-12-09,0.34447
2022-12-10,0.17114
2022-12-11,0.23038
2022-12-12,0.56389
2022-12-13,0.8579
2022-12-14,0.72625
2022-12-15,0.34886
2022-12-16,0.28304
2022-12-17,0.11628
2022-12-18,0.16456
2022-12-19,0.27646
2022-12-20,0.2984
2022-12-21,0.23477
2022-12-22,0.34667
2022-12-23,0.25451
2022-12-24,0.14261
2022-12-25,0.11628
2022-12-26,0.29182
2022-12-27,0.32034
2022-12-28,0.2238
2022-12-29,0.21502
2022-12-30,0.16456
2022-12-31,0.10751
2023-01-01,0.18211
2023-01-02,0.3335
