date,블록체인기술
2020-11-07,21.56133
2020-11-08,24.90706
2020-11-09,28.25278
2020-11-10,36.80297
2020-11-11,36.80297
2020-11-12,39.4052
2020-11-13,32.71375
2020-11-14,20.81784
2020-11-15,28.62453
2020-11-16,31.22676
2020-11-17,27.13754
2020-11-18,27.88104
2020-11-19,30.11152
2020-11-20,29.36802
2020-11-21,17.84386
2020-11-22,19.7026
2020-11-23,30.48327
2020-11-24,33.82899
2020-11-25,28.25278
2020-11-26,21.93308
2020-11-27,28.62453
2020-11-28,13.38289
2020-11-29,21.18959
2020-11-30,38.28996
2020-12-01,30.11152
2020-12-02,24.16356
2020-12-03,21.56133
2020-12-04,33.82899
2020-12-05,22.30483
2020-12-06,18.58736
2020-12-07,31.59851
2020-12-08,26.0223
2020-12-09,33.0855
2020-12-10,33.82899
2020-12-11,24.90706
2020-12-12,23.04832
2020-12-13,23.42007
2020-12-14,25.65055
2020-12-15,21.93308
2020-12-16,29.36802
2020-12-17,32.71375
2020-12-18,18.58736
2020-12-19,13.01115
2020-12-20,19.33085
2020-12-21,24.16356
2020-12-22,19.33085
2020-12-23,16.35687
2020-12-24,20.07434
2020-12-25,5.5762
2020-12-26,9.66542
2020-12-27,12.26765
2020-12-28,18.21561
2020-12-29,21.18959
2020-12-30,19.7026
2020-12-31,15.98513
2021-01-01,3.34572
2021-01-02,10.03717
2021-01-03,20.07434
2021-01-04,23.42007
2021-01-05,21.18959
2021-01-06,30.85501
2021-01-07,21.93308
2021-01-08,18.21561
2021-01-09,18.21561
2021-01-10,30.48327
2021-01-11,20.81784
2021-01-12,21.56133
2021-01-13,25.65055
2021-01-14,25.27881
2021-01-15,23.42007
2021-01-16,16.35687
2021-01-17,17.84386
2021-01-18,17.47211
2021-01-19,19.33085
2021-01-20,22.30483
2021-01-21,17.10037
2021-01-22,23.79182
2021-01-23,14.12639
2021-01-24,9.66542
2021-01-25,12.6394
2021-01-26,13.38289
2021-01-27,14.49814
2021-01-28,15.98513
2021-01-29,12.6394
2021-01-30,11.15241
2021-01-31,8.92193
2021-02-01,16.72862
2021-02-02,15.24163
2021-02-03,15.98513
2021-02-04,13.38289
2021-02-05,7.80669
2021-02-06,8.55018
2021-02-07,12.6394
2021-02-08,17.84386
2021-02-09,26.39405
2021-02-10,16.72862
2021-02-11,16.72862
2021-02-12,17.10037
2021-02-13,20.44609
2021-02-14,15.61338
2021-02-15,28.99628
2021-02-16,17.47211
2021-02-17,33.45724
2021-02-18,37.54646
2021-02-19,30.85501
2021-02-20,29.36802
2021-02-21,30.11152
2021-02-22,45.35315
2021-02-23,39.4052
2021-02-24,26.39405
2021-02-25,28.25278
2021-02-26,23.04832
2021-02-27,20.44609
2021-02-28,14.12639
2021-03-01,15.98513
2021-03-02,24.16356
2021-03-03,27.88104
2021-03-04,33.45724
2021-03-05,27.50929
2021-03-06,22.67657
2021-03-07,25.27881
2021-03-08,27.88104
2021-03-09,29.36802
2021-03-10,30.11152
2021-03-11,24.53531
2021-03-12,22.30483
2021-03-13,19.33085
2021-03-14,21.56133
2021-03-15,40.14869
2021-03-16,36.80297
2021-03-17,34.20074
2021-03-18,39.77695
2021-03-19,35.31598
2021-03-20,29.36802
2021-03-21,27.88104
2021-03-22,37.91821
2021-03-23,37.91821
2021-03-24,56.87732
2021-03-25,58.36431
2021-03-26,45.7249
2021-03-27,26.76579
2021-03-28,45.35315
2021-03-29,55.01858
2021-03-30,55.76208
2021-03-31,64.68401
2021-04-01,71.37546
2021-04-02,63.94052
2021-04-03,59.8513
2021-04-04,62.82527
2021-04-05,76.95167
2021-04-06,80.29739
2021-04-07,83.27137
2021-04-08,70.26022
2021-04-09,66.91449
