date,다이렉트자동차보험비교
2020-03-20,21.14093
2020-03-21,12.19239
2020-03-22,11.74496
2020-03-23,27.62863
2020-03-24,18.00894
2020-03-25,21.92393
2020-03-26,21.70022
2020-03-27,19.57494
2020-03-28,10.62639
2020-03-29,12.75167
2020-03-30,25.72706
2020-03-31,20.58165
2020-04-01,22.37136
2020-04-02,22.37136
2020-04-03,17.56152
2020-04-04,11.18568
2020-04-05,11.85682
2020-04-06,27.74049
2020-04-07,21.81208
2020-04-08,17.3378
2020-04-09,23.71364
2020-04-10,20.80536
2020-04-11,13.64653
2020-04-12,14.98881
2020-04-13,30.64876
2020-04-14,22.93064
2020-04-15,14.87695
2020-04-16,22.2595
2020-04-17,24.83221
2020-04-18,13.53467
2020-04-19,12.63982
2020-04-20,29.41834
2020-04-21,25.39149
2020-04-22,25.61521
2020-04-23,23.93736
2020-04-24,23.60178
2020-04-25,12.86353
2020-04-26,13.42281
2020-04-27,27.40492
2020-04-28,28.41163
2020-04-29,25.72706
2020-04-30,13.64653
2020-05-01,17.00223
2020-05-02,11.96868
2020-05-03,16.33109
2020-05-04,31.09619
2020-05-05,17.00223
2020-05-06,31.87919
2020-05-07,27.62863
2020-05-08,24.83221
2020-05-09,14.7651
2020-05-10,12.86353
2020-05-11,32.1029
2020-05-12,27.74049
2020-05-13,28.63534
2020-05-14,27.74049
2020-05-15,26.73378
2020-05-16,17.78523
2020-05-17,14.31767
2020-05-18,30.31319
2020-05-19,28.18791
2020-05-20,26.95749
2020-05-21,25.50335
2020-05-22,23.71364
2020-05-23,11.74496
2020-05-24,12.97539
2020-05-25,29.5302
2020-05-26,31.09619
2020-05-27,23.93736
2020-05-28,26.06263
2020-05-29,23.26621
2020-05-30,9.39597
2020-05-31,12.08053
2020-06-01,27.9642
2020-06-02,28.85906
2020-06-03,23.93736
2020-06-04,26.84563
2020-06-05,19.35123
2020-06-06,10.06711
2020-06-07,14.98881
2020-06-08,28.52348
2020-06-09,29.41834
2020-06-10,29.41834
2020-06-11,23.8255
2020-06-12,23.48993
2020-06-13,12.4161
2020-06-14,14.09395
2020-06-15,28.85906
2020-06-16,25.27964
2020-06-17,21.92393
2020-06-18,24.27293
2020-06-19,21.25279
2020-06-20,13.42281
2020-06-21,12.4161
2020-06-22,24.27293
2020-06-23,29.86577
2020-06-24,22.2595
2020-06-25,28.97091
2020-06-26,22.37136
2020-06-27,10.85011
2020-06-28,13.87024
2020-06-29,31.31991
2020-06-30,25.16778
2020-07-01,23.8255
2020-07-02,24.83221
2020-07-03,21.47651
2020-07-04,13.08724
2020-07-05,12.86353
2020-07-06,24.72035
2020-07-07,22.2595
2020-07-08,26.17449
2020-07-09,23.26621
2020-07-10,23.26621
2020-07-11,13.9821
2020-07-12,13.53467
2020-07-13,28.97091
2020-07-14,29.75391
2020-07-15,20.13422
2020-07-16,20.24608
2020-07-17,19.46308
2020-07-18,12.4161
2020-07-19,10.51454
2020-07-20,25.61521
2020-07-21,23.93736
2020-07-22,19.23937
2020-07-23,20.46979
2020-07-24,17.67337
2020-07-25,8.50111
2020-07-26,10.17897
