date,뇌MRI비용
2020-03-20,62.59541
2020-03-21,47.17557
2020-03-22,38.32061
2020-03-23,71.60305
2020-03-24,71.45038
2020-03-25,72.97709
2020-03-26,68.39694
2020-03-27,61.98473
2020-03-28,49.31297
2020-03-29,41.0687
2020-03-30,77.70992
2020-03-31,68.39694
2020-04-01,70.99236
2020-04-02,68.54961
2020-04-03,92.36641
2020-04-04,55.1145
2020-04-05,59.69465
2020-04-06,84.58015
2020-04-07,80.30534
2020-04-08,76.48854
2020-04-09,70.38167
2020-04-10,67.32824
2020-04-11,48.24427
2020-04-12,49.61832
2020-04-13,90.83969
2020-04-14,76.94656
2020-04-15,56.03053
2020-04-16,79.84732
2020-04-17,81.98473
2020-04-18,51.60305
2020-04-19,60.91603
2020-04-20,98.32061
2020-04-21,83.81679
2020-04-22,80.45801
2020-04-23,74.65648
2020-04-24,75.26717
2020-04-25,52.51908
2020-04-26,50.83969
2020-04-27,76.79389
2020-04-28,76.1832
2020-04-29,67.63358
2020-04-30,46.10687
2020-05-01,53.43511
2020-05-02,47.48091
2020-05-03,48.24427
2020-05-04,73.43511
2020-05-05,58.01526
2020-05-06,89.92366
2020-05-07,75.41984
2020-05-08,78.62595
2020-05-09,49.46564
2020-05-10,48.54961
2020-05-11,81.67938
2020-05-12,75.1145
2020-05-13,76.48854
2020-05-14,79.84732
2020-05-15,63.35877
2020-05-16,53.43511
2020-05-17,53.58778
2020-05-18,89.92366
2020-05-19,80.45801
2020-05-20,76.33587
2020-05-21,77.09923
2020-05-22,78.01526
2020-05-23,47.0229
2020-05-24,56.48854
2020-05-25,89.00763
2020-05-26,78.93129
2020-05-27,75.87786
2020-05-28,69.61832
2020-05-29,63.66412
2020-05-30,50.07633
2020-05-31,44.88549
2020-06-01,83.96946
2020-06-02,82.74809
2020-06-03,74.19847
2020-06-04,74.35114
2020-06-05,60.15267
2020-06-06,34.19847
2020-06-07,43.35877
2020-06-08,71.75572
2020-06-09,67.17557
2020-06-10,65.03816
2020-06-11,61.22137
2020-06-12,58.47328
2020-06-13,44.2748
2020-06-14,41.37404
2020-06-15,70.229
2020-06-16,77.09923
2020-06-17,58.62595
2020-06-18,64.88549
2020-06-19,66.56488
2020-06-20,41.83206
2020-06-21,40.45801
2020-06-22,61.67938
2020-06-23,58.77862
2020-06-24,59.54198
2020-06-25,62.44274
2020-06-26,53.28244
2020-06-27,43.2061
2020-06-28,38.01526
2020-06-29,73.12977
2020-06-30,61.22137
2020-07-01,58.01526
2020-07-02,65.64885
2020-07-03,51.75572
2020-07-04,37.86259
2020-07-05,36.94656
2020-07-06,70.38167
2020-07-07,66.87022
2020-07-08,60.76335
2020-07-09,70.83969
2020-07-10,100.0
2020-07-11,73.58778
2020-07-12,80.0
2020-07-13,88.0916
2020-07-14,76.64122
2020-07-15,83.05343
2020-07-16,73.74045
2020-07-17,62.44274
2020-07-18,42.1374
2020-07-19,39.84732
2020-07-20,80.30534
2020-07-21,69.61832
2020-07-22,76.1832
2020-07-23,73.43511
2020-07-24,67.32824
2020-07-25,46.56488
2020-07-26,48.54961
2020-07-27,74.96183
2020-07-28,81.67938
2020-07-29,69.00763
2020-07-30,80.76335
2020-07-31,66.10687
2020-08-01,43.05343
2020-08-02,44.58015
2020-08-03,81.22137
2020-08-04,76.03053
2020-08-05,83.51145
2020-08-06,66.10687
2020-08-07,64.88549
2020-08-08,55.72519
2020-08-09,49.00763
2020-08-10,85.34351
2020-08-11,73.28244
2020-08-12,77.40458
2020-08-13,64.58015
2020-08-14,60.0
2020-08-15,37.86259
2020-08-16,33.28244
2020-08-17,59.69465
2020-08-18,66.41221
2020-08-19,68.39694
2020-08-20,57.55725
2020-08-21,54.96183
2020-08-22,43.05343
2020-08-23,50.38167
2020-08-24,72.67175
2020-08-25,64.12213
2020-08-26,55.87786
2020-08-27,47.63358
2020-08-28,51.45038
2020-08-29,45.34351
2020-08-30,32.51908
2020-08-31,55.26717
2020-09-01,57.55725
2020-09-02,49.1603
2020-09-03,49.1603
2020-09-04,56.64122
2020-09-05,39.38931
2020-09-06,38.77862
2020-09-07,60.0
2020-09-08,65.95419
2020-09-09,65.03816
2020-09-10,60.76335
2020-09-11,60.45801
2020-09-12,39.38931
2020-09-13,35.26717
2020-09-14,64.73282
2020-09-15,68.0916
2020-09-16,71.45038
2020-09-17,59.84732
