date,롯데케미칼주가
2020-03-20,41.15246
2020-03-21,5.66485
2020-03-22,3.65474
2020-03-23,38.94743
2020-03-24,36.23682
2020-03-25,39.40427
2020-03-26,39.9403
2020-03-27,35.74343
2020-03-28,4.00804
2020-03-29,2.94816
2020-03-30,36.21246
2020-03-31,39.07534
2020-04-01,39.58092
2020-04-02,37.04696
2020-04-03,32.91709
2020-04-04,4.0324
2020-04-05,2.53395
2020-04-06,29.67046
2020-04-07,29.42072
2020-04-08,27.36797
2020-04-09,27.37406
2020-04-10,32.16787
2020-04-11,3.74002
2020-04-12,2.83852
2020-04-13,28.19638
2020-04-14,35.26222
2020-04-15,4.55016
2020-04-16,32.60035
2020-04-17,35.05512
2020-04-18,3.52074
2020-04-19,2.44868
2020-04-20,36.31601
2020-04-21,36.4622
2020-04-22,36.41347
2020-04-23,38.85606
2020-04-24,36.89468
2020-04-25,3.6121
2020-04-26,2.8507
2020-04-27,38.78296
2020-04-28,36.81549
2020-04-29,34.4399
2020-04-30,4.06895
2020-05-01,4.3796
2020-05-02,2.24157
2020-05-03,1.69945
2020-05-04,34.2328
2020-05-05,4.73289
2020-05-06,32.66735
2020-05-07,26.07053
2020-05-08,27.64207
2020-05-09,3.67302
2020-05-10,2.89334
2020-05-11,30.64506
2020-05-12,30.43186
2020-05-13,29.2258
2020-05-14,27.71517
2020-05-15,26.80757
2020-05-16,2.89334
2020-05-17,2.03447
2020-05-18,25.07157
2020-05-19,30.02375
2020-05-20,26.91721
2020-05-21,27.3436
2020-05-22,26.302
2020-05-23,2.58268
2020-05-24,2.34513
2020-05-25,25.10202
2020-05-26,29.21971
2020-05-27,33.25211
2020-05-28,29.53645
2020-05-29,25.61369
2020-05-30,2.24157
2020-05-31,2.66187
2020-06-01,27.99537
2020-06-02,26.49083
2020-06-03,37.46116
2020-06-04,38.39922
2020-06-05,31.29682
2020-06-06,4.13595
2020-06-07,2.84461
2020-06-08,31.39428
2020-06-09,33.04501
2020-06-10,30.79734
2020-06-11,28.86032
2020-06-12,27.38015
2020-06-13,3.04562
2020-06-14,2.32685
2020-06-15,31.72321
2020-06-16,30.10294
2020-06-17,28.48267
2020-06-18,28.90905
2020-06-19,38.70987
2020-06-20,3.8253
2020-06-21,2.97252
2020-06-22,28.34257
2020-06-23,28.84205
2020-06-24,28.58013
2020-06-25,24.77919
2020-06-26,25.4675
2020-06-27,2.2903
2020-06-28,1.71773
2020-06-29,24.59036
2020-06-30,27.54461
2020-07-01,24.16397
2020-07-02,23.54876
2020-07-03,24.88274
2020-07-04,2.86897
2020-07-05,1.97356
2020-07-06,24.84619
2020-07-07,27.84918
2020-07-08,25.33349
2020-07-09,25.03502
2020-07-10,22.964
2020-07-11,2.60096
2020-07-12,1.92483
2020-07-13,31.89376
2020-07-14,27.4837
2020-07-15,29.63391
2020-07-16,25.10202
2020-07-17,22.4767
2020-07-18,2.14411
2020-07-19,1.60808
2020-07-20,21.39855
2020-07-21,24.59036
2020-07-22,34.50691
2020-07-23,29.21971
2020-07-24,23.52439
2020-07-25,1.85173
2020-07-26,1.95529
2020-07-27,24.02387
2020-07-28,23.12237
2020-07-29,23.4452
2020-07-30,24.98629
2020-07-31,23.4513
2020-08-01,2.76542
2020-08-02,2.16239
2020-08-03,23.28074
2020-08-04,25.27867
2020-08-05,27.28269
2020-08-06,43.10166
2020-08-07,37.16878
2020-08-08,4.78772
2020-08-09,3.80702
2020-08-10,56.06992
2020-08-11,51.34921
2020-08-12,41.89559
2020-08-13,44.08844
2020-08-14,35.93835
2020-08-15,3.46591
2020-08-16,2.39386
2020-08-17,5.29329
2020-08-18,34.81147
2020-08-19,31.86331
2020-08-20,32.56989
2020-08-21,30.04812
2020-08-22,2.78979
2020-08-23,2.38776
2020-08-24,27.19741
2020-08-25,30.45623
