date,엔비디아관련주
2020-03-20,0.03075
2020-03-24,0.04306
2020-03-25,0.18454
2020-03-26,0.03075
2020-03-31,0.73818
2020-04-01,0.54749
2020-04-02,0.17224
2020-04-03,0.15378
2020-04-04,0.04306
2020-04-06,0.04306
2020-04-07,0.15378
2020-04-09,0.06151
2020-04-10,0.06766
2020-04-12,0.07381
2020-04-13,0.05536
2020-04-14,0.09842
2020-04-15,0.05536
2020-04-16,0.17839
2020-04-17,0.51058
2020-04-18,0.06766
2020-04-19,0.03075
2020-04-20,0.05536
2020-04-23,0.08612
2020-04-24,0.06151
2020-04-25,0.06766
2020-04-27,0.04306
2020-04-28,0.05536
2020-05-05,0.09227
2020-05-06,0.19069
2020-05-07,0.07997
2020-05-08,0.07997
2020-05-09,0.06151
2020-05-10,0.06151
2020-05-11,0.06766
2020-05-12,0.16609
2020-05-13,0.03075
2020-05-14,0.06766
2020-05-15,0.17839
2020-05-16,0.35679
2020-05-17,0.20915
2020-05-18,0.52288
2020-05-19,0.65206
2020-05-20,0.45521
2020-05-21,0.38139
2020-05-22,0.92888
2020-05-23,0.23991
2020-05-24,0.38139
2020-05-25,0.48597
2020-05-26,0.2153
2020-05-27,0.17839
2020-05-28,0.13533
2020-05-29,0.06151
2020-05-30,0.11687
2020-05-31,0.18454
2020-06-01,0.19069
2020-06-02,0.92888
2020-06-03,0.81815
2020-06-04,0.18454
2020-06-05,0.04306
2020-06-06,0.0369
2020-06-09,0.03075
2020-06-10,0.17839
2020-06-11,0.14763
2020-06-12,0.05536
2020-06-16,0.0369
2020-06-19,0.0369
2020-06-23,0.06766
2020-06-24,0.04921
2020-06-25,0.04306
2020-06-26,0.10457
2020-06-29,0.09227
2020-06-30,0.03075
2020-07-01,0.04921
2020-07-05,0.03075
2020-07-07,0.04306
2020-07-08,0.04921
2020-07-09,0.64591
2020-07-10,0.55979
2020-07-11,0.52288
2020-07-12,0.47982
2020-07-13,0.44291
2020-07-14,0.35063
2020-07-15,0.22145
2020-07-16,0.14763
2020-07-17,0.17839
2020-07-18,0.3937
