date,공모전
2020-03-20,56.91585
2020-03-21,40.84507
2020-03-22,42.4702
2020-03-23,64.78873
2020-03-24,59.73275
2020-03-25,64.68039
2020-03-26,60.49115
2020-03-27,53.77392
2020-03-28,42.00072
2020-03-29,42.57854
2020-03-30,66.99169
2020-03-31,69.41133
2020-04-01,63.16359
2020-04-02,62.47742
2020-04-03,62.94691
2020-04-04,42.25352
2020-04-05,46.69555
2020-04-06,67.56951
2020-04-07,69.48356
2020-04-08,64.49981
2020-04-09,68.40014
2020-04-10,61.75514
2020-04-11,42.25352
2020-04-12,45.0343
2020-04-13,65.87215
2020-04-14,66.37775
2020-04-15,43.77031
2020-04-16,64.53593
2020-04-17,59.87721
2020-04-18,41.13398
2020-04-19,48.89851
2020-04-20,74.32286
2020-04-21,74.86457
2020-04-22,73.81726
2020-04-23,69.62802
2020-04-24,60.81617
2020-04-25,42.07295
2020-04-26,50.19862
2020-04-27,66.26941
2020-04-28,64.31924
2020-04-29,64.35536
2020-04-30,42.10906
2020-05-01,47.20115
2020-05-02,39.29216
2020-05-03,39.97833
2020-05-04,58.43264
2020-05-05,46.0455
2020-05-06,67.42506
2020-05-07,56.013
2020-05-08,53.30444
2020-05-09,38.75045
2020-05-10,40.26724
2020-05-11,65.83604
2020-05-12,66.48609
2020-05-13,59.15492
2020-05-14,61.06897
2020-05-15,61.97183
2020-05-16,40.12278
2020-05-17,42.61466
2020-05-18,67.10003
2020-05-19,71.6143
2020-05-20,63.9581
2020-05-21,59.62441
2020-05-22,57.52979
2020-05-23,39.79776
2020-05-24,43.44528
2020-05-25,73.1672
2020-05-26,65.29433
2020-05-27,64.42759
2020-05-28,61.394
2020-05-29,56.41025
2020-05-30,40.91729
2020-05-31,42.36186
2020-06-01,71.3615
2020-06-02,65.43878
2020-06-03,59.19104
2020-06-04,56.08522
2020-06-05,56.69916
2020-06-06,36.47526
2020-06-07,44.02311
2020-06-08,69.08631
2020-06-09,61.50234
2020-06-10,67.46117
2020-06-11,59.47995
2020-06-12,58.43264
2020-06-13,38.35319
2020-06-14,43.44528
2020-06-15,63.99422
2020-06-16,64.75261
2020-06-17,59.58829
2020-06-18,56.33802
2020-06-19,51.13759
2020-06-20,37.48645
2020-06-21,43.30083
2020-06-22,56.37414
2020-06-23,57.5659
2020-06-24,62.91079
2020-06-25,62.80245
2020-06-26,61.28566
2020-06-27,39.50884
2020-06-28,46.98447
2020-06-29,71.65041
2020-06-30,70.81979
2020-07-01,71.93932
2020-07-02,68.18345
2020-07-03,64.13867
2020-07-04,45.39544
2020-07-05,47.88732
2020-07-06,75.18959
2020-07-07,72.15601
2020-07-08,72.95052
2020-07-09,72.95052
2020-07-10,66.30552
2020-07-11,48.46514
2020-07-12,51.20982
2020-07-13,82.41242
2020-07-14,78.33152
2020-07-15,75.94799
2020-07-16,71.07258
2020-07-17,66.91946
2020-07-18,43.51751
2020-07-19,46.69555
2020-07-20,70.02527
2020-07-21,73.49223
2020-07-22,73.05886
2020-07-23,74.03394
2020-07-24,67.7862
2020-07-25,43.15637
2020-07-26,44.05922
2020-07-27,72.19212
2020-07-28,75.04514
2020-07-29,70.74756
2020-07-30,68.94185
2020-07-31,67.56951
2020-08-01,42.75911
2020-08-02,47.16504
2020-08-03,72.15601
2020-08-04,70.02527
2020-08-05,72.95052
2020-08-06,62.76634
2020-08-07,56.013
2020-08-08,38.17262
2020-08-09,43.69808
2020-08-10,65.58324
2020-08-11,62.18851
2020-08-12,64.13867
2020-08-13,57.42145
2020-08-14,57.16865
2020-08-15,37.70314
2020-08-16,38.42542
2020-08-17,49.07908
2020-08-18,61.75514
2020-08-19,69.08631
2020-08-20,62.4052
2020-08-21,64.13867
2020-08-22,42.90357
2020-08-23,48.39292
2020-08-24,75.08125
2020-08-25,73.74503
2020-08-26,69.51968
2020-08-27,69.8447
2020-08-28,70.49476
2020-08-29,47.41784
2020-08-30,53.73781
2020-08-31,86.52943
2020-09-01,84.21812
2020-09-02,94.25785
2020-09-03,78.83712
2020-09-04,75.51462
2020-09-05,50.05417
2020-09-06,54.64066
2020-09-07,81.00397
2020-09-08,80.60671
2020-09-09,77.78981
2020-09-10,75.33405
2020-09-11,73.38389
2020-09-12,48.06789
2020-09-13,48.71794
2020-09-14,83.74864
2020-09-15,88.62405
2020-09-16,100.0
2020-09-17,78.22318
2020-09-18,66.44998
2020-09-19,44.27591
2020-09-20,51.1737
2020-09-21,76.34525
2020-09-22,71.68652
2020-09-23,73.45612
2020-09-24,71.75875
2020-09-25,74.39508
2020-09-26,50.74033
2020-09-27,45.57602
2020-09-28,74.90068
2020-09-29,64.57204
2020-09-30,36.18634
2020-10-01,32.57493
2020-10-02,37.26977
2020-10-03,41.9646
2020-10-04,48.93463
2020-10-05,76.41747
2020-10-06,72.87829
2020-10-07,70.02527
2020-10-08,66.81112
2020-10-09,43.62585
2020-10-10,43.08414
2020-10-11,44.67316
2020-10-12,66.63055
2020-10-13,64.82484
2020-10-14,69.41133
2020-10-15,67.20837
2020-10-16,62.11628
2020-10-17,39.9061
2020-10-18,44.88985
2020-10-19,69.26688
2020-10-20,64.13867
2020-10-21,62.98302
2020-10-22,59.29938
