date,옹심이
2020-03-20,11.4818
2020-03-21,14.68804
2020-03-22,14.34142
2020-03-23,11.56845
2020-03-24,11.78509
2020-03-25,9.7487
2020-03-26,11.30849
2020-03-27,12.99826
2020-03-28,11.61178
2020-03-29,13.82149
2020-03-30,11.39514
2020-03-31,10.39861
2020-04-01,13.6915
2020-04-02,11.52512
2020-04-03,9.4454
2020-04-04,12.60831
2020-04-05,13.04159
2020-04-06,9.27209
2020-04-07,15.98786
2020-04-08,12.47833
2020-04-09,10.26863
2020-04-10,11.00519
2020-04-11,12.86828
2020-04-12,13.56152
2020-04-13,11.9584
2020-04-14,9.92201
2020-04-15,12.04506
2020-04-16,10.65857
2020-04-17,11.1785
2020-04-18,10.91854
2020-04-19,14.21143
2020-04-20,11.56845
2020-04-21,10.78856
2020-04-22,10.65857
2020-04-23,10.83188
2020-04-24,9.4454
2020-04-25,11.91507
2020-04-26,13.12824
2020-04-27,9.57538
2020-04-28,11.04852
2020-04-29,10.35528
2020-04-30,13.43154
2020-05-01,18.19757
2020-05-02,16.37781
2020-05-03,15.68457
2020-05-04,11.43847
2020-05-05,13.64818
2020-05-06,8.66551
2020-05-07,9.7487
2020-05-08,16.76776
2020-05-09,15.81455
2020-05-10,10.91854
2020-05-11,11.35181
2020-05-12,12.08838
2020-05-13,10.61525
2020-05-14,11.4818
2020-05-15,13.56152
2020-05-16,13.17157
2020-05-17,13.64818
2020-05-18,10.39861
2020-05-19,11.61178
2020-05-20,9.79202
2020-05-21,9.96533
2020-05-22,10.91854
2020-05-23,12.99826
2020-05-24,14.21143
2020-05-25,10.83188
2020-05-26,9.87868
2020-05-27,8.10225
2020-05-28,9.70537
2020-05-29,10.26863
2020-05-30,10.57192
2020-05-31,12.30502
2020-06-01,7.45233
2020-06-02,10.05199
2020-06-03,9.05545
2020-06-04,9.01213
2020-06-05,10.57192
2020-06-06,13.30155
2020-06-07,10.87521
2020-06-08,9.18544
2020-06-09,9.01213
2020-06-10,10.18197
2020-06-11,9.35875
2020-06-12,8.9688
2020-06-13,12.435
2020-06-14,12.21837
2020-06-15,8.83882
2020-06-16,8.57885
2020-06-17,8.62218
2020-06-18,10.87521
2020-06-19,10.61525
2020-06-20,11.87175
2020-06-21,10.87521
2020-06-22,10.48526
2020-06-23,8.44887
2020-06-24,12.21837
2020-06-25,11.78509
2020-06-26,10.61525
2020-06-27,12.78162
2020-06-28,13.6915
2020-06-29,10.48526
2020-06-30,11.04852
2020-07-01,9.40207
2020-07-02,11.43847
2020-07-03,12.13171
2020-07-04,13.08492
2020-07-05,13.60485
2020-07-06,12.13171
2020-07-07,9.87868
2020-07-08,10.05199
2020-07-09,9.87868
2020-07-10,9.96533
2020-07-11,18.50086
2020-07-12,21.18717
2020-07-13,16.42114
2020-07-14,14.08145
2020-07-15,14.81802
2020-07-16,9.92201
2020-07-17,11.56845
2020-07-18,11.43847
2020-07-19,15.55459
2020-07-20,11.1785
2020-07-21,9.70537
2020-07-22,13.2149
2020-07-23,14.25476
2020-07-24,12.39168
2020-07-25,19.02079
2020-07-26,15.68457
2020-07-27,11.78509
2020-07-28,11.26516
2020-07-29,14.42807
2020-07-30,13.43154
2020-07-31,10.96187
2020-08-01,15.33795
2020-08-02,15.25129
2020-08-03,18.11091
2020-08-04,14.60138
2020-08-05,14.38474
