date,달러전망
2020-03-20,97.49791
2020-03-21,35.02919
2020-03-22,32.11009
2020-03-23,70.05838
2020-03-24,77.81484
2020-03-25,69.22435
2020-03-26,43.61968
2020-03-27,52.04336
2020-03-28,23.43619
2020-03-29,20.8507
2020-03-30,36.44703
2020-03-31,26.02168
2020-04-01,28.27356
2020-04-02,26.77231
2020-04-03,21.68473
2020-04-04,13.01084
2020-04-05,14.01167
2020-04-06,22.85237
2020-04-07,27.93994
2020-04-08,20.7673
2020-04-09,22.76897
2020-04-10,31.35946
2020-04-11,15.34612
2020-04-12,18.59883
2020-04-13,21.76814
2020-04-14,20.01668
2020-04-15,12.67723
2020-04-16,23.01918
2020-04-17,19.68306
2020-04-18,8.17347
2020-04-19,10.50875
2020-04-20,20.6005
2020-04-21,23.51959
2020-04-22,21.35112
2020-04-23,16.43035
2020-04-24,17.43119
2020-04-25,7.83986
2020-04-26,9.59132
2020-04-27,19.43286
2020-04-28,17.26438
2020-04-29,20.01668
2020-04-30,9.84153
2020-05-01,8.42368
2020-05-02,7.67306
2020-05-03,7.33944
2020-05-04,16.01334
2020-05-05,7.33944
2020-05-06,13.92827
2020-05-07,13.67806
2020-05-08,11.9266
2020-05-09,5.83819
2020-05-10,6.50542
2020-05-11,16.59716
2020-05-12,11.25938
2020-05-13,9.67472
2020-05-14,10.84236
2020-05-15,12.42702
2020-05-16,6.92243
2020-05-17,5.50458
2020-05-18,16.76396
2020-05-19,14.42869
2020-05-20,12.09341
2020-05-21,12.92743
2020-05-22,19.18265
2020-05-23,7.75646
2020-05-24,8.67389
2020-05-25,22.85237
2020-05-26,17.18098
2020-05-27,13.51125
2020-05-28,16.18015
2020-05-29,14.8457
2020-05-30,6.58882
2020-05-31,8.75729
2020-06-01,23.35279
2020-06-02,22.18515
2020-06-03,26.35529
2020-06-04,21.68473
2020-06-05,29.27439
2020-06-06,12.42702
2020-06-07,8.9241
2020-06-08,26.85571
2020-06-09,28.69057
2020-06-10,35.94662
2020-06-11,25.43786
2020-06-12,18.34862
2020-06-13,9.50792
2020-06-14,9.0075
2020-06-15,22.68557
2020-06-16,17.9316
2020-06-17,17.18098
2020-06-18,15.17931
2020-06-19,13.84487
2020-06-20,7.67306
2020-06-21,6.25521
2020-06-22,18.01501
2020-06-23,15.17931
2020-06-24,21.18432
2020-06-25,17.51459
2020-06-26,18.43202
2020-06-27,6.67222
2020-06-28,6.92243
2020-06-29,21.93494
2020-06-30,22.51876
2020-07-01,15.76313
2020-07-02,14.8457
2020-07-03,11.42618
2020-07-04,6.0884
2020-07-05,6.67222
2020-07-06,20.18348
2020-07-07,21.51793
2020-07-08,13.01084
2020-07-09,11.67639
2020-07-10,10.34195
2020-07-11,4.58715
2020-07-12,5.08757
2020-07-13,10.92577
2020-07-14,12.26021
2020-07-15,14.17848
2020-07-16,11.50959
2020-07-17,10.50875
2020-07-18,4.92076
2020-07-19,5.17097
2020-07-20,10.09174
2020-07-21,15.76313
2020-07-22,21.51793
2020-07-23,13.42785
2020-07-24,14.01167
2020-07-25,4.58715
2020-07-26,5.08757
2020-07-27,18.51542
2020-07-28,19.26605
2020-07-29,25.27105
2020-07-30,27.10592
2020-07-31,30.44203
2020-08-01,11.59299
2020-08-02,11.59299
2020-08-03,16.68056
2020-08-04,14.34528
2020-08-05,28.85738
2020-08-06,34.02835
2020-08-07,25.27105
2020-08-08,12.67723
2020-08-09,13.84487
2020-08-10,23.6864
2020-08-11,24.77064
2020-08-12,18.18181
2020-08-13,17.7648
2020-08-14,12.34361
2020-08-15,6.50542
2020-08-16,4.58715
2020-08-17,8.34028
2020-08-18,20.26688
2020-08-19,25.18765
2020-08-20,21.60133
2020-08-21,11.8432
2020-08-22,7.67306
2020-08-23,9.42452
2020-08-24,13.76146
2020-08-25,11.8432
2020-08-26,12.17681
2020-08-27,13.59466
2020-08-28,13.01084
2020-08-29,7.42285
2020-08-30,6.75562
2020-08-31,17.7648
2020-09-01,13.01084
2020-09-02,10.75896
2020-09-03,12.59382
2020-09-04,11.67639
2020-09-05,4.25354
2020-09-06,4.25354
2020-09-07,10.25854
2020-09-08,8.59049
2020-09-09,10.67556
2020-09-10,11.75979
2020-09-11,10.17514
2020-09-12,4.83736
2020-09-13,2.91909
2020-09-14,11.67639
2020-09-15,15.59633
2020-09-16,25.93828
2020-09-17,19.76647
2020-09-18,36.78065
2020-09-19,12.67723
2020-09-20,10.50875
2020-09-21,29.10758
2020-09-22,23.6864
2020-09-23,17.8482
2020-09-24,21.01751
2020-09-25,14.51209
2020-09-26,5.25437
2020-09-27,6.83903
2020-09-28,12.09341
2020-09-29,12.17681
2020-09-30,6.92243
2020-10-01,7.58965
2020-10-02,9.0909
2020-10-03,9.0075
2020-10-04,10.09174
2020-10-05,25.85487
