date,ISC주가
2020-03-20,4.05587
2020-03-21,1.14439
2020-03-22,0.75732
2020-03-23,3.02928
2020-03-24,3.80343
2020-03-25,3.23123
2020-03-26,3.61831
2020-03-27,4.02221
2020-03-28,1.27903
2020-03-29,1.0939
2020-03-30,4.98148
2020-03-31,5.20026
2020-04-01,5.52002
2020-04-02,3.63513
2020-04-03,3.39952
2020-04-04,0.99293
2020-04-05,1.19488
2020-04-06,4.56075
2020-04-07,7.35442
2020-04-08,8.22955
2020-04-09,5.95759
2020-04-10,4.89734
2020-04-11,0.90878
2020-04-12,0.55536
2020-04-13,5.53685
2020-04-14,3.73611
2020-04-15,0.72366
2020-04-16,3.33221
2020-04-17,4.79636
2020-04-18,0.87512
2020-04-19,0.95927
2020-04-20,3.87075
2020-04-21,4.49343
2020-04-22,3.55099
2020-04-23,4.25782
2020-04-24,3.28172
2020-04-25,0.45439
2020-04-26,0.50488
2020-04-27,2.9283
2020-04-28,2.96196
2020-04-29,2.69269
2020-04-30,0.65634
2020-05-01,0.5217
2020-05-02,0.25244
2020-05-03,0.25244
2020-05-04,2.57489
2020-05-05,0.38707
2020-05-06,3.63513
2020-05-07,6.29417
2020-05-08,4.83002
2020-05-09,1.81756
2020-05-10,1.73342
2020-05-11,6.09222
2020-05-12,5.03197
2020-05-13,4.84685
2020-05-14,5.31807
2020-05-15,4.67855
2020-05-16,0.77415
2020-05-17,1.07707
2020-05-18,13.56445
2020-05-19,11.39347
2020-05-20,11.99932
2020-05-21,23.35913
2020-05-22,40.44092
2020-05-23,8.36418
2020-05-24,7.23662
2020-05-25,38.60652
2020-05-26,32.83406
2020-05-27,27.88623
2020-05-28,23.25816
2020-05-29,19.70716
2020-05-30,3.02928
2020-05-31,3.34904
2020-06-01,18.71423
2020-06-02,19.62302
2020-06-03,18.49545
2020-06-04,18.39447
2020-06-05,14.45641
2020-06-06,3.06294
2020-06-07,1.81756
2020-06-08,13.27835
2020-06-09,12.03298
2020-06-10,13.83372
2020-06-11,14.15348
2020-06-12,13.95153
2020-06-13,2.33927
2020-06-14,2.45708
2020-06-15,12.35274
2020-06-16,11.67956
2020-06-17,10.75395
2020-06-18,10.3837
2020-06-19,10.48468
2020-06-20,1.69976
2020-06-21,1.48098
2020-06-22,9.13833
2020-06-23,11.62908
2020-06-24,13.4803
2020-06-25,13.22786
2020-06-26,10.43419
2020-06-27,1.19488
2020-06-28,1.02659
2020-06-29,9.94614
2020-06-30,9.50858
2020-07-01,14.75934
2020-07-02,16.64422
2020-07-03,19.03399
2020-07-04,2.13732
2020-07-05,1.75025
2020-07-06,18.36082
2020-07-07,16.30764
2020-07-08,13.04274
2020-07-09,12.15079
2020-07-10,12.68933
2020-07-11,2.45708
2020-07-12,2.89464
2020-07-13,15.53349
2020-07-14,15.09592
2020-07-15,27.12891
2020-07-16,21.47425
2020-07-17,22.50084
2020-07-18,3.36587
2020-07-19,4.52709
2020-07-20,23.89767
2020-07-21,31.77381
2020-07-22,41.18142
2020-07-23,33.32211
2020-07-24,28.94648
2020-07-25,3.9044
2020-07-26,3.45001
2020-07-27,32.48064
2020-07-28,30.37697
2020-07-29,27.34769
2020-07-30,40.87849
2020-07-31,30.04039
2020-08-01,3.29855
2020-08-02,3.0966
2020-08-03,20.88522
2020-08-04,19.99326
2020-08-05,20.43083
2020-08-06,18.07472
2020-08-07,17.82228
2020-08-08,2.05318
2020-08-09,1.32951
2020-08-10,16.25715
2020-08-11,15.09592
2020-08-12,15.28105
2020-08-13,16.0552
2020-08-14,16.13934
2020-08-15,1.58195
2020-08-16,1.14439
2020-08-17,2.01952
2020-08-18,12.58835
2020-08-19,14.82665
2020-08-20,11.09054
2020-08-21,12.33591
2020-08-22,1.58195
2020-08-23,1.48098
2020-08-24,11.42712
2020-08-25,12.99225
2020-08-26,10.04712
2020-08-27,10.43419
2020-08-28,11.04005
2020-08-29,1.11073
2020-08-30,1.0939
2020-08-31,10.45102
2020-09-01,17.30057
2020-09-02,23.77987
2020-09-03,17.77179
2020-09-04,14.3386
2020-09-05,1.90171
2020-09-06,1.43049
2020-09-07,14.60787
2020-09-08,14.03567
2020-09-09,11.78054
2020-09-10,13.21104
2020-09-11,10.36687
2020-09-12,1.90171
2020-09-13,1.44732
2020-09-14,16.79569
2020-09-15,14.32177
2020-09-16,11.932
2020-09-17,9.89565
2020-09-18,9.92931
2020-09-19,1.21171
2020-09-20,0.57219
2020-09-21,8.8354
2020-09-22,7.94345
2020-09-23,12.31908
2020-09-24,10.90541
2020-09-25,8.73443
2020-09-26,0.57219
2020-09-27,0.72366
2020-09-28,8.73443
2020-09-29,8.26321
2020-09-30,0.57219
2020-10-01,0.62268
2020-10-02,0.31975
2020-10-03,0.26926
2020-10-04,0.4039
2020-10-05,6.37832
2020-10-06,8.21272
2020-10-07,9.34028
2020-10-08,16.18983
2020-10-09,2.2383
2020-10-10,1.29585
2020-10-11,1.11073
2020-10-12,9.84516
2020-10-13,9.52541
2020-10-14,13.26152
2020-10-15,7.89296
2020-10-16,9.55907
2020-10-17,1.02659
2020-10-18,0.60585
2020-10-19,8.46516
2020-10-20,7.90979
2020-10-21,7.92662
2020-10-22,7.59003
2020-10-23,7.72467
2020-10-24,0.84146
2020-10-25,0.55536
2020-10-26,7.1693
2020-10-27,8.26321
2020-10-28,9.15516
2020-10-29,7.5732
2020-10-30,6.42881
2020-10-31,0.8078
2020-11-01,0.58902
2020-11-02,4.91417
2020-11-03,7.80881
2020-11-04,8.95321
2020-11-05,7.72467
2020-11-06,7.70784
2020-11-07,0.8078
2020-11-08,0.79097
2020-11-09,7.30393
2020-11-10,7.40491
2020-11-11,7.10198
2020-11-12,6.51295
2020-11-13,7.001
2020-11-14,0.94244
2020-11-15,0.65634
2020-11-16,9.86199
2020-11-17,9.87882
2020-11-18,7.27027
2020-11-19,7.92662
2020-11-20,8.53248
2020-11-21,1.0939
2020-11-22,0.77415
2020-11-23,7.69101
2020-11-24,7.27027
2020-11-25,7.23662
2020-11-26,7.48906
2020-11-27,9.0037
2020-11-28,1.27903
2020-11-29,1.27903
2020-11-30,8.16223
2020-12-01,6.66442
2020-12-02,8.48199
2020-12-03,9.10467
2020-12-04,8.22955
2020-12-05,0.92561
2020-12-06,0.77415
2020-12-07,6.51295
2020-12-08,7.32076
2020-12-09,13.6486
2020-12-10,31.33625
2020-12-11,26.13598
2020-12-12,5.38539
2020-12-13,4.27465
2020-12-14,22.97206
2020-12-15,18.46179
2020-12-16,32.34601
2020-12-17,25.64792
