date,IRP계좌개설
2020-03-20,22.15447
2020-03-21,8.42044
2020-03-22,6.5331
2020-03-23,25.31939
2020-03-24,27.06155
2020-03-25,27.61324
2020-03-26,24.82578
2020-03-27,23.28687
2020-03-28,7.89779
2020-03-29,8.27526
2020-03-30,27.67131
2020-03-31,28.60046
2020-04-01,26.77119
2020-04-02,23.11265
2020-04-03,21.10917
2020-04-04,6.18466
2020-04-05,7.43321
2020-04-06,23.92566
2020-04-07,22.59001
2020-04-08,22.29965
2020-04-09,21.57375
2020-04-10,19.94773
2020-04-11,6.85249
2020-04-12,6.01045
2020-04-13,22.47386
2020-04-14,20.64459
2020-04-15,8.01393
2020-04-16,21.71893
2020-04-17,19.77351
2020-04-18,6.44599
2020-04-19,5.77816
2020-04-20,20.84785
2020-04-21,21.63182
2020-04-22,19.48315
2020-04-23,20.23809
2020-04-24,18.67015
2020-04-25,4.38443
2020-04-26,5.66202
2020-04-27,22.88037
2020-04-28,19.83159
2020-04-29,26.74216
2020-04-30,6.9396
2020-05-01,6.12659
2020-05-02,5.28455
2020-05-03,6.88153
2020-05-04,22.35772
2020-05-05,7.60743
2020-05-06,21.37049
2020-05-07,20.23809
2020-05-08,19.36701
2020-05-09,7.08478
2020-05-10,6.03948
2020-05-11,21.37049
2020-05-12,22.47386
2020-05-13,21.16724
2020-05-14,17.24738
2020-05-15,16.95702
2020-05-16,4.87804
2020-05-17,5.0813
2020-05-18,18.78629
2020-05-19,21.4576
2020-05-20,19.39605
2020-05-21,18.75725
2020-05-22,15.12775
2020-05-23,5.86527
2020-05-24,5.74912
2020-05-25,19.77351
2020-05-26,3.94889
2020-05-27,1.21951
2020-05-28,4.3554
2020-05-29,5.4878
2020-05-30,2.2648
2020-05-31,3.33914
2020-06-01,12.3403
2020-06-02,16.84088
2020-06-03,18.32171
2020-06-04,17.71196
2020-06-05,16.46341
2020-06-06,4.64576
2020-06-07,4.99419
2020-06-08,19.42508
2020-06-09,19.07665
2020-06-10,21.02206
2020-06-11,18.37979
2020-06-12,13.82113
2020-06-13,4.4425
2020-06-14,4.4425
2020-06-15,17.07317
2020-06-16,18.11846
2020-06-17,19.62833
2020-06-18,17.74099
2020-06-19,16.17305
2020-06-20,6.06852
2020-06-21,5.1684
2020-06-22,18.64111
2020-06-23,19.94773
2020-06-24,18.64111
2020-06-25,20.96399
2020-06-26,18.43786
2020-06-27,5.34262
2020-06-28,4.87804
2020-06-29,20.93495
2020-06-30,21.28339
2020-07-01,22.27061
2020-07-02,19.80255
2020-07-03,16.57955
2020-07-04,4.61672
2020-07-05,4.87804
2020-07-06,18.64111
2020-07-07,20.55749
2020-07-08,18.00232
2020-07-09,18.93147
2020-07-10,17.33449
2020-07-11,5.4878
2020-07-12,5.8943
2020-07-13,17.27642
2020-07-14,17.50871
2020-07-15,18.96051
2020-07-16,17.53774
2020-07-17,16.46341
2020-07-18,4.93612
2020-07-19,5.40069
2020-07-20,17.04413
2020-07-21,19.42508
2020-07-22,18.26364
2020-07-23,16.95702
2020-07-24,15.36004
2020-07-25,4.93612
2020-07-26,6.64924
2020-07-27,20.84785
2020-07-28,21.28339
2020-07-29,18.52497
2020-07-30,18.32171
2020-07-31,18.90243
2020-08-01,5.83623
2020-08-02,5.86527
2020-08-03,19.74448
2020-08-04,19.97677
2020-08-05,20.0058
2020-08-06,17.27642
2020-08-07,20.3252
2020-08-08,6.6202
2020-08-09,7.43321
2020-08-10,23.08362
2020-08-11,21.22531
2020-08-12,20.41231
2020-08-13,20.67363
2020-08-14,17.13124
2020-08-15,4.84901
2020-08-16,4.73286
2020-08-17,7.22996
2020-08-18,20.70267
2020-08-19,19.88966
2020-08-20,17.85714
2020-08-21,16.26016
2020-08-22,5.83623
2020-08-23,4.99419
2020-08-24,18.84436
2020-08-25,21.83507
2020-08-26,18.52497
2020-08-27,21.71893
2020-08-28,18.23461
2020-08-29,5.77816
2020-08-30,6.73635
2020-08-31,25.69686
2020-09-01,25.55168
2020-09-02,22.21254
2020-09-03,19.51219
2020-09-04,17.85714
2020-09-05,6.35888
2020-09-06,5.40069
