date,씨씨에스주가
2020-03-25,0.01622
2020-03-31,0.01947
2020-04-16,0.01622
2020-06-01,0.01622
2020-06-24,0.02596
2020-06-25,0.02272
2020-07-02,0.01622
2020-07-21,0.02272
2020-08-04,0.01622
2020-08-05,0.02596
2020-08-07,0.01622
2020-08-19,0.01622
2020-08-21,0.03895
2020-08-24,0.01622
2020-08-25,0.02596
2020-09-02,0.01622
2020-09-04,0.01622
2020-09-14,0.02272
2020-10-19,0.02272
2020-10-21,0.01622
2020-11-11,0.01622
2020-11-12,0.02596
2020-11-13,0.01622
2020-11-19,0.01622
2020-11-23,0.01622
2020-12-08,0.01947
2020-12-10,0.02921
2020-12-11,0.02272
2021-01-06,0.02921
2021-01-11,0.01622
2021-01-27,0.01622
2021-02-08,0.01947
2021-02-27,0.01947
2021-03-17,0.01622
2021-04-11,0.01622
2021-04-12,0.34082
2021-04-13,0.23045
2021-04-14,0.29213
2021-04-15,0.28564
2021-04-16,0.24019
2021-04-17,0.0357
2021-04-18,0.03895
2021-04-19,0.25642
2021-04-20,0.19475
2021-04-21,0.25967
2021-04-22,0.18826
2021-04-23,0.27265
2021-04-24,0.02921
2021-04-25,0.02921
2021-04-26,0.37003
2021-04-27,0.25967
2021-04-28,0.16878
2021-04-29,0.13632
2021-04-30,0.12009
2021-05-01,0.01622
2021-05-02,0.01622
2021-05-03,0.25642
2021-05-04,0.13308
2021-05-05,0.01947
2021-05-06,0.14606
2021-05-07,0.1136
2021-05-08,0.05842
2021-05-09,0.01947
2021-05-10,0.14606
2021-05-11,0.26616
2021-05-12,0.22396
2021-05-13,0.18826
2021-05-14,0.26616
2021-05-15,0.03245
2021-05-17,0.13308
2021-05-18,0.12983
2021-05-19,0.01622
2021-05-20,0.16554
2021-05-21,0.10062
2021-05-22,0.01622
2021-05-23,0.02596
2021-05-24,0.13308
2021-05-25,0.12009
2021-05-26,0.13308
2021-05-27,0.10062
2021-05-28,0.1136
2021-05-31,0.0779
2021-06-01,0.10386
2021-06-02,0.09413
2021-06-03,0.12009
2021-06-04,0.1558
2021-06-05,0.01947
2021-06-06,0.02272
2021-06-07,0.13632
2021-06-08,0.12659
2021-06-09,0.12334
2021-06-10,0.12009
2021-06-11,0.10386
2021-06-12,0.02272
2021-06-14,0.13957
2021-06-15,0.12334
2021-06-16,0.14282
2021-06-17,0.11685
2021-06-18,0.12983
2021-06-19,0.01947
2021-06-20,0.02921
2021-06-21,0.1136
2021-06-22,0.0779
2021-06-23,0.1136
2021-06-24,0.11036
2021-06-25,0.12009
2021-06-26,0.01622
2021-06-28,0.12334
2021-06-29,0.1558
2021-06-30,0.06491
2021-07-01,0.14282
2021-07-02,0.14931
2021-07-03,0.01622
2021-07-05,0.16229
2021-07-06,0.16554
2021-07-07,0.10386
2021-07-08,0.1136
2021-07-09,0.10386
2021-07-12,0.10386
2021-07-13,0.1136
2021-07-14,0.06816
2021-07-15,0.06816
2021-07-16,0.06491
2021-07-19,0.07141
2021-07-20,0.0779
2021-07-21,0.06167
2021-07-22,0.16878
2021-07-23,0.07141
2021-07-26,0.12334
2021-07-27,0.09088
2021-07-28,0.0779
2021-07-29,0.11036
2021-07-30,0.04544
2021-08-02,0.07465
2021-08-03,0.07465
2021-08-04,0.06167
2021-08-05,0.10386
2021-08-06,0.07465
2021-08-09,0.09088
2021-08-10,0.08439
2021-08-11,0.09737
2021-08-12,0.06491
2021-08-13,0.06816
2021-08-17,0.03895
2021-08-18,0.02921
2021-08-19,0.06816
2021-08-20,0.06167
2021-08-23,0.04868
2021-08-24,0.27914
2021-08-25,0.1558
2021-08-26,0.09413
2021-08-27,0.25318
2021-08-28,0.01622
2021-08-29,0.03895
2021-08-30,0.16878
2021-08-31,0.05518
2021-09-01,0.10386
2021-09-02,0.11685
2021-09-03,0.08114
2021-09-04,0.01947
2021-09-06,0.1136
2021-09-07,0.13632
2021-09-08,0.09737
2021-09-09,0.17852
2021-09-10,0.10386
2021-09-11,0.04544
2021-09-13,0.05518
2021-09-14,0.18826
2021-09-15,0.13308
2021-09-16,0.11685
2021-09-17,0.21747
2021-09-18,0.0357
2021-09-19,0.01622
2021-09-20,0.01947
2021-09-23,0.10711
2021-09-24,0.22072
2021-09-25,0.02596
2021-09-27,0.21423
2021-09-28,0.12659
2021-09-29,0.14931
2021-09-30,0.13308
2021-10-01,0.09413
2021-10-05,0.10062
2021-10-06,0.12983
2021-10-07,0.07141
2021-10-08,0.11685
2021-10-09,0.01622
2021-10-10,0.02921
2021-10-12,0.11036
2021-10-13,0.17527
2021-10-14,0.21423
2021-10-15,0.16878
2021-10-17,0.02272
2021-10-18,0.13632
2021-10-19,0.14606
2021-10-20,0.1136
2021-10-21,0.15904
2021-10-22,0.12659
2021-10-25,0.10386
2021-10-26,0.11036
2021-10-27,0.09413
2021-10-28,0.08763
2021-10-29,0.13957
2021-10-30,0.06167
2021-10-31,0.01622
2021-11-01,0.24668
2021-11-02,0.21423
2021-11-03,0.24993
2021-11-04,0.20124
2021-11-05,0.29213
2021-11-06,0.01622
2021-11-08,0.21747
2021-11-09,0.34406
2021-11-10,0.28564
2021-11-11,0.23695
2021-11-12,0.25967
2021-11-13,0.01622
2021-11-14,0.02272
2021-11-15,0.24019
2021-11-16,0.17852
2021-11-17,0.16554
2021-11-18,0.13308
2021-11-19,0.18826
2021-11-20,0.01622
2021-11-22,0.14282
2021-11-23,0.17852
2021-11-24,0.16878
2021-11-25,0.13308
2021-11-26,0.05842
2021-11-29,0.06816
2021-11-30,0.07141
2021-12-01,0.06167
2021-12-02,0.08439
2021-12-03,0.06491
2021-12-06,0.06491
2021-12-07,0.05518
2021-12-08,0.09737
2021-12-09,0.09413
2021-12-10,0.07141
2021-12-13,0.05518
2021-12-14,0.02921
2021-12-15,0.06491
2021-12-16,0.04868
2021-12-17,0.04219
2021-12-20,0.04544
2021-12-21,0.04868
2021-12-22,0.04868
2021-12-23,0.07465
2021-12-24,0.10386
2021-12-27,0.07141
2021-12-28,0.04544
2021-12-29,0.05518
2021-12-30,0.02921
2021-12-31,0.03245
2022-01-03,0.04868
2022-01-04,0.08439
2022-01-05,0.06816
2022-01-06,0.0357
2022-01-07,0.02921
2022-01-10,0.07465
2022-01-11,0.03895
2022-01-12,0.03245
