date,나스닥
2020-03-20,19.13466
2020-03-21,12.5471
2020-03-22,2.79952
2020-03-23,12.73502
2020-03-24,21.25631
2020-03-25,18.39551
2020-03-26,19.26429
2020-03-27,14.45193
2020-03-28,8.98646
2020-03-29,2.23427
2020-03-30,7.08626
2020-03-31,10.97881
2020-04-01,12.50268
2020-04-02,13.17643
2020-04-03,9.16382
2020-04-04,5.12908
2020-04-05,1.46755
2020-04-06,5.30561
2020-04-07,9.92245
2020-04-08,9.66781
2020-04-09,8.53399
2020-04-10,6.87389
2020-04-11,2.65949
2020-04-12,1.22496
2020-04-13,4.14884
2020-04-14,7.10096
2020-04-15,6.01519
2020-04-16,6.53752
2020-04-17,6.84747
2020-04-18,3.3846
2020-04-19,1.06
2020-04-20,3.24076
2020-04-21,7.94248
2020-04-22,10.73805
2020-04-23,5.74916
2020-04-24,5.40948
2020-04-25,2.97952
2020-04-26,0.8658
2020-04-27,2.47206
2020-04-28,4.53278
2020-04-29,5.11009
2020-04-30,3.94341
2020-05-01,3.71817
2020-05-02,3.58144
2020-05-03,0.95827
2020-05-04,2.52623
2020-05-05,4.58843
2020-05-06,5.27176
2020-05-07,5.40651
2020-05-08,4.0164
2020-05-09,2.48742
2020-05-10,0.78851
2020-05-11,2.29834
2020-05-12,5.13238
2020-05-13,7.96478
2020-05-14,7.2438
2020-05-15,4.61568
2020-05-16,2.38652
2020-05-17,0.67523
2020-05-18,2.12313
2020-05-19,4.79716
2020-05-20,5.62118
2020-05-21,4.62113
2020-05-22,4.37326
2020-05-23,2.34177
2020-05-24,0.7142
2020-05-25,2.00737
2020-05-26,3.58557
2020-05-27,4.99086
2020-05-28,5.49568
2020-05-29,4.67446
2020-05-30,2.48527
2020-05-31,0.63923
2020-06-01,1.95684
2020-06-02,3.71437
2020-06-03,4.04332
2020-06-04,3.79727
2020-06-05,4.64474
2020-06-06,2.75081
2020-06-07,0.66945
2020-06-08,1.96692
2020-06-09,6.29229
2020-06-10,11.08285
2020-06-11,8.30082
2020-06-12,18.77879
2020-06-13,5.62168
2020-06-14,1.22364
2020-06-15,6.59663
2020-06-16,11.21909
2020-06-17,7.32471
2020-06-18,5.91116
2020-06-19,4.9651
2020-06-20,3.11708
2020-06-21,0.80123
2020-06-22,2.38916
2020-06-23,5.55959
2020-06-24,5.77228
2020-06-25,11.85552
2020-06-26,7.40497
2020-06-27,5.15831
2020-06-28,1.3181
2020-06-29,4.80426
2020-06-30,7.36269
2020-07-01,6.28304
2020-07-02,6.28981
2020-07-03,5.07029
2020-07-04,1.97947
2020-07-05,0.76853
2020-07-06,2.67353
2020-07-07,5.58452
2020-07-08,5.36143
2020-07-09,5.27011
2020-07-10,5.38388
2020-07-11,2.82116
2020-07-12,0.81741
2020-07-13,2.54885
2020-07-14,21.16532
2020-07-15,8.713
2020-07-16,6.15093
2020-07-17,5.41823
2020-07-18,2.52243
2020-07-19,0.73253
2020-07-20,2.21495
2020-07-21,5.85881
2020-07-22,5.29438
2020-07-23,4.80525
2020-07-24,11.08912
2020-07-25,3.89866
2020-07-26,0.89123
2020-07-27,2.34986
2020-07-28,4.50454
2020-07-29,4.73689
2020-07-30,5.05064
2020-07-31,5.9716
2020-08-01,2.63224
2020-08-02,0.68646
2020-08-03,1.9144
2020-08-04,3.92574
2020-08-05,4.11136
