date,부동산수수료
2020-11-08,12.53256
2020-11-09,23.15484
2020-11-10,22.80752
2020-11-11,20.8683
2020-11-12,20.81041
2020-11-13,21.15774
2020-11-14,17.56874
2020-11-15,12.70622
2020-11-16,24.22575
2020-11-17,25.26772
2020-11-18,21.85238
2020-11-19,22.63386
2020-11-20,21.73661
2020-11-21,17.39507
2020-11-22,12.50361
2020-11-23,24.28364
2020-11-24,22.69175
2020-11-25,21.36034
2020-11-26,22.77858
2020-11-27,21.15774
2020-11-28,20.89725
2020-11-29,13.2272
2020-11-30,23.50217
2020-12-01,20.31837
2020-12-02,20.95513
2020-12-03,20.31837
2020-12-04,20.11577
2020-12-05,18.98697
2020-12-06,12.64833
2020-12-07,24.51519
2020-12-08,23.96526
2020-12-09,21.44717
2020-12-10,21.44717
2020-12-11,22.89435
2020-12-12,18.03183
2020-12-13,14.55861
2020-12-14,24.34153
2020-12-15,23.27062
2020-12-16,21.62083
2020-12-17,20.28943
2020-12-18,22.19971
2020-12-19,19.30535
2020-12-20,13.74819
2020-12-21,22.63386
2020-12-22,22.37337
2020-12-23,23.1259
2020-12-24,20.14471
2020-12-25,12.70622
2020-12-26,15.77424
2020-12-27,12.18523
2020-12-28,25.75976
2020-12-29,22.51808
2020-12-30,19.5369
2020-12-31,17.91606
2021-01-01,8.82778
2021-01-02,13.08248
2021-01-03,10.88277
2021-01-04,21.67872
2021-01-05,21.62083
2021-01-06,19.27641
2021-01-07,18.58176
2021-01-08,18.00289
2021-01-09,16.93198
2021-01-10,12.50361
2021-01-11,20.92619
2021-01-12,17.68451
2021-01-13,19.33429
2021-01-14,19.24746
2021-01-15,19.21852
2021-01-16,18.46599
2021-01-17,13.11143
2021-01-18,22.48914
2021-01-19,20.69464
2021-01-20,19.68162
2021-01-21,21.12879
2021-01-22,21.24457
2021-01-23,21.07091
2021-01-24,13.42981
2021-01-25,29.08827
2021-01-26,46.5123
2021-01-27,33.8929
2021-01-28,26.48335
2021-01-29,26.39652
2021-01-30,23.70477
2021-01-31,16.55571
2021-02-01,27.06222
2021-02-02,22.25759
2021-02-03,22.51808
2021-02-04,20.89725
2021-02-05,22.02604
2021-02-06,19.13169
2021-02-07,12.87988
2021-02-08,20.23154
2021-02-09,79.68162
2021-02-10,72.61939
2021-02-11,28.65412
2021-02-12,23.87843
2021-02-13,20.46309
2021-02-14,20.28943
2021-02-15,39.97105
2021-02-16,35.31114
2021-02-17,34.8191
2021-02-18,30.70911
2021-02-19,30.70911
2021-02-20,29.98552
2021-02-21,19.79739
2021-02-22,32.30101
2021-02-23,27.78581
2021-02-24,27.23589
2021-02-25,27.61215
2021-02-26,25.49927
2021-02-27,23.3285
2021-02-28,17.16353
2021-03-01,17.82923
2021-03-02,23.64688
2021-03-03,24.39942
2021-03-04,21.88133
2021-03-05,22.28654
2021-03-06,21.70767
2021-03-07,20.63675
2021-03-08,27.98842
2021-03-09,23.3285
2021-03-10,23.96526
2021-03-11,22.74963
2021-03-12,22.37337
2021-03-13,19.62373
2021-03-14,15.4848
2021-03-15,24.89146
2021-03-16,20.78147
2021-03-17,21.56295
2021-03-18,20.26049
2021-03-19,19.13169
2021-03-20,19.24746
2021-03-21,13.2272
2021-03-22,21.76555
2021-03-23,21.04196
2021-03-24,21.70767
2021-03-25,19.30535
2021-03-26,23.70477
2021-03-27,19.42112
2021-03-28,12.3589
2021-03-29,22.74963
2021-03-30,21.38929
2021-03-31,22.4602
2021-04-01,20.4052
2021-04-02,18.06078
2021-04-03,16.00578
2021-04-04,11.28798
2021-04-05,19.33429
2021-04-06,18.26338
2021-04-07,17.85817
2021-04-08,19.01591
2021-04-09,19.04486
2021-04-10,16.41099
2021-04-11,11.17221
2021-04-12,20.02894
2021-04-13,20.34732
2021-04-14,19.91316
2021-04-15,19.85528
2021-04-16,19.24746
2021-04-17,17.33719
2021-04-18,12.61939
2021-04-19,22.08393
2021-04-20,22.08393
2021-04-21,19.68162
2021-04-22,18.03183
2021-04-23,17.85817
2021-04-24,15.83212
2021-04-25,10.47756
2021-04-26,21.36034
2021-04-27,20.23154
2021-04-28,19.18958
2021-04-29,20.31837
2021-04-30,20.6657
2021-05-01,15.89001
2021-05-02,9.95658
2021-05-03,19.47901
2021-05-04,17.71345
2021-05-05,13.54558
2021-05-06,17.0767
2021-05-07,15.6874
2021-05-08,11.69319
2021-05-09,10.04341
2021-05-10,19.71056
2021-05-11,18.46599
2021-05-12,17.0767
2021-05-13,16.38205
2021-05-14,16.90303
2021-05-15,12.50361
2021-05-16,9.60926
2021-05-17,17.01881
