date,연금저축계좌개설
2020-03-20,3.98406
2020-03-21,3.58565
2020-03-22,3.18725
2020-03-23,8.36653
2020-03-24,3.98406
2020-03-25,6.7729
2020-03-26,7.56972
2020-03-27,2.39043
2020-03-28,1.99203
2020-03-29,5.17928
2020-03-30,2.78884
2020-03-31,1.99203
2020-04-01,3.58565
2020-04-02,2.39043
2020-04-07,5.17928
2020-04-09,1.99203
2020-04-11,3.18725
2020-04-12,2.39043
2020-04-13,2.39043
2020-04-16,5.57768
2020-04-17,2.39043
2020-04-18,3.58565
2020-04-19,2.78884
2020-04-21,1.99203
2020-04-23,2.39043
2020-04-24,2.39043
2020-04-25,1.99203
2020-04-28,2.39043
2020-05-01,1.99203
2020-05-04,3.98406
2020-05-07,1.99203
2020-05-08,5.17928
2020-05-09,4.38247
2020-05-11,2.39043
2020-05-12,1.99203
2020-05-16,2.39043
2020-05-17,1.99203
2020-05-20,2.78884
2020-05-21,2.78884
2020-05-27,2.39043
2020-06-01,3.98406
2020-06-03,3.58565
2020-06-08,1.99203
2020-06-09,1.99203
2020-06-10,1.99203
2020-06-11,2.39043
2020-06-12,1.99203
2020-06-16,1.99203
2020-06-21,1.99203
2020-06-22,2.39043
2020-06-23,1.99203
2020-06-25,2.39043
2020-07-04,1.99203
2020-07-05,3.18725
2020-07-07,1.99203
2020-07-09,1.99203
2020-07-10,3.18725
2020-07-12,2.78884
2020-07-13,1.99203
2020-07-14,2.39043
2020-07-15,1.99203
2020-07-16,1.99203
2020-07-19,2.39043
2020-07-20,2.39043
2020-07-21,3.18725
2020-07-23,2.39043
2020-07-25,5.97609
2020-07-27,1.99203
2020-07-28,2.39043
2020-07-29,5.97609
2020-07-30,4.78087
2020-07-31,4.78087
2020-08-02,2.39043
2020-08-03,4.38247
2020-08-05,1.99203
2020-08-07,5.57768
2020-08-08,3.18725
2020-08-09,3.18725
2020-08-10,4.78087
2020-08-11,4.78087
2020-08-13,6.7729
2020-08-14,3.58565
2020-08-16,2.39043
2020-08-18,3.98406
2020-08-19,4.38247
2020-08-20,2.78884
2020-08-21,2.78884
2020-08-22,2.78884
2020-08-23,2.39043
2020-08-24,4.78087
2020-08-25,2.78884
2020-08-26,2.78884
2020-08-28,4.38247
2020-08-29,3.58565
2020-08-31,3.18725
2020-09-04,1.99203
2020-09-07,1.99203
2020-09-09,1.99203
2020-09-11,3.58565
2020-09-13,1.99203
2020-09-16,2.78884
2020-09-18,4.38247
2020-09-22,1.99203
2020-09-28,2.78884
2020-10-05,5.17928
2020-10-06,1.99203
2020-10-07,2.39043
