date,대웅제약주가
2020-11-08,0.52835
2020-11-09,5.08772
2020-11-10,5.39851
2020-11-11,6.12577
2020-11-12,4.99759
2020-11-13,4.99137
2020-11-14,0.82826
2020-11-15,0.62003
2020-11-16,5.90666
2020-11-17,6.05118
2020-11-18,9.00529
2020-11-19,8.64943
2020-11-20,8.41012
2020-11-21,0.95258
2020-11-22,0.69462
2020-11-23,8.47539
2020-11-24,7.25085
2020-11-25,12.44425
2020-11-26,10.79858
2020-11-27,7.64867
2020-11-28,0.92461
2020-11-29,1.07379
2020-11-30,6.94317
2020-12-01,20.59486
2020-12-02,11.90968
2020-12-03,21.01909
2020-12-04,22.42544
2020-12-05,2.6573
2020-12-06,2.71169
2020-12-07,15.71071
2020-12-08,12.10703
2020-12-09,29.24274
2020-12-10,45.84233
2020-12-11,48.51517
2020-12-12,6.01855
2020-12-13,4.82665
2020-12-14,38.06467
2020-12-15,31.23339
2020-12-16,25.23659
2020-12-17,61.14124
2020-12-18,71.52802
2020-12-19,8.87787
2020-12-20,7.55854
2020-12-21,84.42293
2020-12-22,94.415
2020-12-23,100.0
2020-12-24,76.60642
2020-12-25,9.29123
2020-12-26,6.72716
2020-12-27,6.43191
2020-12-28,50.82283
2020-12-29,46.94565
2020-12-30,43.36218
2020-12-31,8.62923
2021-01-01,4.38687
2021-01-02,4.01236
2021-01-03,4.37444
2021-01-04,56.85226
2021-01-05,57.65566
2021-01-06,45.64653
2021-01-07,37.28613
2021-01-08,34.74382
2021-01-09,4.7505
2021-01-10,3.79325
2021-01-11,31.65607
2021-01-12,35.6358
2021-01-13,29.04383
2021-01-14,35.96991
2021-01-15,33.29085
2021-01-16,3.57104
2021-01-17,2.91059
2021-01-18,25.93122
2021-01-19,24.32751
2021-01-20,22.79374
2021-01-21,20.94295
2021-01-22,19.34235
2021-01-23,3.73731
2021-01-24,2.55784
2021-01-25,31.56594
2021-01-26,27.82707
2021-01-27,21.74946
2021-01-28,19.33614
2021-01-29,19.00514
2021-01-30,2.31387
2021-01-31,1.63323
2021-02-01,18.40997
2021-02-02,17.73399
2021-02-03,15.62679
2021-02-04,15.09222
2021-02-05,18.09295
2021-02-06,2.12739
2021-02-07,1.65498
2021-02-08,14.0868
2021-02-09,12.82497
2021-02-10,10.71778
2021-02-11,1.50735
2021-02-12,1.06447
2021-02-13,1.13906
2021-02-14,1.23075
2021-02-15,14.34321
2021-02-16,15.90029
2021-02-17,12.7193
2021-02-18,12.01224
2021-02-19,10.609
2021-02-20,3.53063
2021-02-21,2.12117
2021-02-22,31.34683
2021-02-23,22.84346
2021-02-24,17.42164
2021-02-25,16.01529
2021-02-26,13.56933
2021-02-27,1.63944
2021-02-28,1.21987
2021-03-01,1.55863
2021-03-02,13.08759
2021-03-03,12.45357
2021-03-04,11.70144
2021-03-05,10.50022
2021-03-06,1.58661
2021-03-07,1.19967
2021-03-08,10.65717
2021-03-09,10.22206
2021-03-10,10.05112
2021-03-11,9.86931
2021-03-12,9.34251
2021-03-13,1.06136
2021-03-14,0.83914
2021-03-15,8.23141
2021-03-16,8.82659
2021-03-17,11.24147
2021-03-18,13.25231
2021-03-19,11.54605
2021-03-20,1.45918
2021-03-21,1.02251
2021-03-22,9.27413
2021-03-23,8.37749
2021-03-24,9.0457
2021-03-25,8.37438
2021-03-26,7.80096
2021-03-27,1.0971
2021-03-28,1.45452
2021-03-29,9.92836
2021-03-30,8.33553
2021-03-31,7.79164
2021-04-01,7.37517
2021-04-02,6.7629
2021-04-03,1.03339
2021-04-04,0.9386
2021-04-05,7.31767
2021-04-06,6.63548
2021-04-07,6.82817
2021-04-08,7.44044
2021-04-09,8.12885
2021-04-10,0.94637
2021-04-11,0.81894
2021-04-12,8.65876
2021-04-13,9.46372
2021-04-14,10.22983
2021-04-15,9.51034
2021-04-16,8.9276
2021-04-17,1.0971
2021-04-18,0.99143
2021-04-19,8.73024
2021-04-20,8.08845
2021-04-21,8.91361
2021-04-22,8.99752
2021-04-23,7.92839
2021-04-24,1.14838
2021-04-25,0.86245
2021-04-26,8.61214
2021-04-27,7.54145
2021-04-28,7.88954
2021-04-29,8.40546
2021-04-30,8.22209
2021-05-01,0.95569
2021-05-02,0.68064
2021-05-03,7.81339
2021-05-04,8.6541
2021-05-05,1.29446
2021-05-06,8.30911
2021-05-07,11.86306
2021-05-08,1.20433
2021-05-09,1.01008
2021-05-10,12.94773
2021-05-11,13.06273
2021-05-12,10.36036
2021-05-13,9.515
2021-05-14,8.89652
2021-05-15,1.31621
2021-05-16,1.00697
2021-05-17,9.09232
2021-05-18,12.39141
2021-05-19,1.83524
2021-05-20,10.9027
2021-05-21,11.82887
