date,기업공시
2020-03-20,37.19704
2020-03-21,14.01475
2020-03-22,14.43624
2020-03-23,35.72181
2020-03-24,35.08956
2020-03-25,40.25289
2020-03-26,37.51317
2020-03-27,41.41201
2020-03-28,15.48998
2020-03-29,13.804
2020-03-30,43.51949
2020-03-31,42.14963
2020-04-01,37.61854
2020-04-02,39.09378
2020-04-03,30.13698
2020-04-04,13.69863
2020-04-05,12.96101
2020-04-06,39.30453
2020-04-07,40.88514
2020-04-08,36.77555
2020-04-09,41.51738
2020-04-10,33.61433
2020-04-11,13.48788
2020-04-12,13.69863
2020-04-13,33.7197
2020-04-14,32.56059
2020-04-15,13.804
2020-04-16,31.19072
2020-04-17,30.24236
2020-04-18,12.75026
2020-04-19,13.06638
2020-04-20,35.40569
2020-04-21,33.50895
2020-04-22,35.30031
2020-04-23,34.35194
2020-04-24,30.8746
2020-04-25,10.9589
2020-04-26,11.90727
2020-04-27,32.87671
2020-04-28,34.98419
2020-04-29,32.56059
2020-04-30,13.59325
2020-05-01,8.74604
2020-05-02,8.85142
2020-05-03,10.74815
2020-05-04,23.60379
2020-05-05,11.06427
2020-05-06,30.76923
2020-05-07,33.93045
2020-05-08,33.61433
2020-05-09,12.64488
2020-05-10,12.11801
2020-05-11,33.7197
2020-05-12,39.72602
2020-05-13,48.15595
2020-05-14,52.89778
2020-05-15,89.77871
2020-05-16,22.55005
2020-05-17,14.96311
2020-05-18,46.46996
2020-05-19,34.98419
2020-05-20,31.50684
2020-05-21,36.67017
2020-05-22,28.76712
2020-05-23,11.90727
2020-05-24,9.06217
2020-05-25,35.93256
2020-05-26,27.608
2020-05-27,28.66174
2020-05-28,29.61011
2020-05-29,27.29188
2020-05-30,10.43203
2020-05-31,10.64278
2020-06-01,30.24236
2020-06-02,27.39726
2020-06-03,29.92623
2020-06-04,30.24236
2020-06-05,29.61011
2020-06-06,11.48577
2020-06-07,10.01053
2020-06-08,30.34773
2020-06-09,30.24236
2020-06-10,32.45521
2020-06-11,28.76712
2020-06-12,27.39726
2020-06-13,8.85142
2020-06-14,9.37829
2020-06-15,25.50052
2020-06-16,28.76712
2020-06-17,26.44889
2020-06-18,33.7197
2020-06-19,26.65964
2020-06-20,11.06427
2020-06-21,9.69441
2020-06-22,34.24657
2020-06-23,36.35405
2020-06-24,33.93045
2020-06-25,31.71759
2020-06-26,29.71548
2020-06-27,9.79978
2020-06-28,9.58904
2020-06-29,30.97997
