date,반도체장비주
2020-03-20,2.56941
2020-03-21,1.90634
2020-03-22,2.98383
2020-03-23,2.27932
2020-03-24,2.44508
2020-03-25,3.27393
2020-03-26,3.48114
2020-03-27,3.72979
2020-03-28,3.52258
2020-03-29,2.85951
2020-03-30,2.69374
2020-03-31,3.85412
2020-04-01,4.14421
2020-04-02,2.52797
2020-04-03,2.69374
2020-04-04,3.4397
2020-04-05,2.98383
2020-04-06,6.79651
2020-04-07,16.53543
2020-04-08,9.11728
2020-04-09,9.65602
2020-04-10,14.96062
2020-04-11,11.60381
2020-04-12,16.74264
2020-04-13,15.20928
2020-04-14,9.2416
2020-04-15,6.42353
2020-04-16,6.092
2020-04-17,8.03978
2020-04-18,4.93162
2020-04-19,5.0145
2020-04-20,6.05055
2020-04-21,2.98383
2020-04-22,4.80729
2020-04-23,4.68296
2020-04-24,2.15499
2020-04-25,2.81806
2020-04-26,1.11893
2020-04-27,2.52797
2020-04-28,2.32076
2020-04-29,4.26854
2020-04-30,2.32076
2020-05-01,1.5748
2020-05-02,0.70451
2020-05-03,1.78201
2020-05-04,1.69912
2020-05-05,2.03066
2020-05-06,5.47036
2020-05-07,6.50642
2020-05-08,5.34604
2020-05-09,5.0145
2020-05-10,4.89017
2020-05-11,4.43431
2020-05-12,7.41815
2020-05-13,5.09738
2020-05-14,3.06672
2020-05-15,5.55325
2020-05-16,5.13883
2020-05-17,5.38748
2020-05-18,7.3767
2020-05-19,14.25611
2020-05-20,43.88727
2020-05-21,31.20596
2020-05-22,23.16618
2020-05-23,15.3336
2020-05-24,15.08495
2020-05-25,16.16245
2020-05-26,16.82552
2020-05-27,13.92457
2020-05-28,15.45793
2020-05-29,8.78574
2020-05-30,4.60008
2020-05-31,5.47036
2020-06-01,16.61831
2020-06-02,27.3104
2020-06-03,20.55532
2020-06-04,24.24368
2020-06-05,15.6237
2020-06-06,10.15333
2020-06-07,10.81641
2020-06-08,10.40198
2020-06-09,9.49026
2020-06-10,20.05801
2020-06-11,14.91918
2020-06-12,9.32449
2020-06-13,6.25777
2020-06-14,6.17488
2020-06-15,7.12805
2020-06-16,6.96228
2020-06-17,7.12805
2020-06-18,9.15872
2020-06-19,6.83796
2020-06-20,6.5893
2020-06-21,7.12805
2020-06-22,17.90302
2020-06-23,10.44343
2020-06-24,26.523
2020-06-25,20.05801
2020-06-26,12.51554
2020-06-27,8.82718
2020-06-28,8.7443
2020-06-29,10.69208
2020-06-30,14.58765
2020-07-01,20.01657
2020-07-02,12.47409
2020-07-03,11.60381
2020-07-04,5.88479
2020-07-05,6.42353
2020-07-06,11.68669
2020-07-07,10.69208
2020-07-08,6.96228
2020-07-09,9.36593
2020-07-10,4.64152
2020-07-11,4.60008
2020-07-12,4.39287
2020-07-13,4.60008
2020-07-14,5.09738
2020-07-15,6.92084
2020-07-16,6.67219
2020-07-17,7.16949
2020-07-18,5.38748
2020-07-19,4.60008
2020-07-20,6.13344
2020-07-21,6.79651
2020-07-22,27.84915
2020-07-23,21.13551
2020-07-24,8.28843
2020-07-25,6.79651
2020-07-26,9.57314
2020-07-27,13.38582
2020-07-28,12.80563
2020-07-29,15.00207
2020-07-30,27.0203
2020-07-31,12.88852
2020-08-01,11.72813
2020-08-02,11.64525
2020-08-03,10.81641
2020-08-04,10.6092
2020-08-05,9.82179
2020-08-06,8.91007
2020-08-07,8.57853
2020-08-08,8.12266
2020-08-09,7.41815
2020-08-10,14.00745
2020-08-11,23.12474
2020-08-12,13.51015
2020-08-13,11.64525
2020-08-14,6.63075
2020-08-15,6.92084
2020-08-16,8.57853
2020-08-17,6.67219
2020-08-18,7.6668
2020-08-19,9.11728
2020-08-20,5.38748
2020-08-21,5.88479
2020-08-22,4.30998
2020-08-23,4.84873
2020-08-24,6.38209
2020-08-25,7.91545
2020-08-26,10.94073
2020-08-27,10.6092
2020-08-28,5.92623
2020-08-29,6.092
2020-08-30,5.8019
2020-08-31,6.05055
2020-09-01,11.23083
2020-09-02,18.35888
2020-09-03,100.0
2020-09-04,20.80397
2020-09-05,10.98217
2020-09-06,12.43265
2020-09-07,17.40571
2020-09-08,16.32822
2020-09-09,11.02362
2020-09-10,13.63447
2020-09-11,9.73891
2020-09-12,9.36593
2020-09-13,8.86862
2020-09-14,11.56237
2020-09-15,22.21301
2020-09-16,18.276
2020-09-17,7.25238
2020-09-18,18.40033
2020-09-19,10.27766
2020-09-20,8.53709
2020-09-21,5.38748
2020-09-22,6.29921
2020-09-23,7.62536
2020-09-24,6.8794
2020-09-25,4.97306
2020-09-26,3.48114
2020-09-27,3.97845
2020-09-28,7.50103
2020-09-29,6.67219
2020-09-30,4.06133
2020-10-01,3.72979
2020-10-02,4.30998
2020-10-03,1.74057
2020-10-04,4.18566
2020-10-05,3.4397
2020-10-06,3.60547
2020-10-07,4.10277
2020-10-08,2.94239
2020-10-09,3.23249
2020-10-10,1.82345
2020-10-11,2.40364
2020-10-12,3.19104
2020-10-13,4.43431
2020-10-14,3.937
2020-10-15,4.39287
2020-10-16,6.71363
2020-10-17,3.60547
2020-10-18,2.32076
2020-10-19,2.81806
2020-10-20,3.77123
2020-10-21,2.44508
2020-10-22,1.90634
2020-10-23,1.36759
2020-10-24,1.2847
2020-10-25,2.94239
2020-10-26,3.10816
2020-10-27,4.39287
2020-10-28,3.27393
2020-10-29,4.39287
2020-10-30,4.97306
2020-10-31,1.53336
2020-11-01,1.98922
2020-11-02,3.4397
2020-11-03,4.47575
2020-11-04,13.38582
2020-11-05,11.35515
2020-11-06,13.63447
2020-11-07,13.2615
2020-11-08,12.6813
2020-11-09,11.18939
2020-11-10,8.7443
2020-11-11,9.94612
2020-11-12,10.27766
2020-11-13,10.52631
2020-11-14,9.40737
2020-11-15,11.35515
2020-11-16,37.58806
2020-11-17,33.73394
2020-11-18,33.77538
2020-11-19,38.37546
2020-11-20,38.29258
2020-11-21,19.64359
2020-11-22,17.94446
2020-11-23,26.89598
2020-11-24,34.31413
2020-11-25,31.99336
2020-11-26,23.24906
2020-11-27,23.91214
2020-11-28,12.34977
2020-11-29,13.09573
2020-11-30,10.6092
2020-12-01,11.31371
2020-12-02,22.37878
2020-12-03,23.16618
2020-12-04,26.56444
2020-12-05,22.46166
2020-12-06,24.61665
2020-12-07,49.15043
2020-12-08,42.51968
2020-12-09,34.64566
2020-12-10,15.95524
2020-12-11,15.3336
