date,오늘의금시세
2020-03-20,64.98903
2020-03-21,28.75386
2020-03-22,21.2931
2020-03-23,47.25212
2020-03-24,49.13688
2020-03-25,52.12549
2020-03-26,47.67193
2020-03-27,40.16224
2020-03-28,21.33518
2020-03-29,15.76506
2020-03-30,38.77069
2020-03-31,37.27247
2020-04-01,34.74869
2020-04-02,34.04411
2020-04-03,33.14283
2020-04-04,19.88198
2020-04-05,14.43907
2020-04-06,37.05914
2020-04-07,41.30915
2020-04-08,42.3171
2020-04-09,38.30978
2020-04-10,45.5161
2020-04-11,23.37065
2020-04-12,33.78381
2020-04-13,57.85219
2020-04-14,60.91713
2020-04-15,35.58441
2020-04-16,53.88891
2020-04-17,53.04536
2020-04-18,27.23411
2020-04-19,21.13457
2020-04-20,43.06082
2020-04-21,49.12416
2020-04-22,50.18397
2020-04-23,51.06764
2020-04-24,58.53133
2020-04-25,29.38896
2020-04-26,24.79156
2020-04-27,57.60363
2020-04-28,47.06521
2020-04-29,42.40811
2020-04-30,28.04536
2020-05-01,28.79594
2020-05-02,22.2394
2020-05-03,18.82608
2020-05-04,38.55051
2020-05-05,26.66653
2020-05-06,69.89372
2020-05-07,41.21325
2020-05-08,36.48765
2020-05-09,21.24613
2020-05-10,16.0371
2020-05-11,35.25267
2020-05-12,33.55188
2020-05-13,32.14956
2020-05-14,34.40032
2020-05-15,35.44936
2020-05-16,20.78326
2020-05-17,16.8141
2020-05-18,46.67084
2020-05-19,46.87634
2020-05-20,40.88053
2020-05-21,38.06513
2020-05-22,36.01499
2020-05-23,20.91635
2020-05-24,17.16737
2020-05-25,36.37902
2020-05-26,34.25842
2020-05-27,31.37158
2020-05-28,33.75249
2020-05-29,30.65232
2020-05-30,17.10866
2020-05-31,15.02524
2020-06-01,31.18272
2020-06-02,30.54076
2020-06-03,30.78052
2020-06-04,28.87716
2020-06-05,27.79093
2020-06-06,15.91772
2020-06-07,13.43993
2020-06-08,29.66688
2020-06-09,30.87935
2020-06-10,29.94774
2020-06-11,28.79692
2020-06-12,30.1004
2020-06-13,16.15062
