date,고려아연주가
2020-03-20,56.58757
2020-03-21,9.1451
2020-03-22,7.4997
2020-03-23,50.17288
2020-03-24,58.90067
2020-03-25,57.87528
2020-03-26,52.71253
2020-03-27,46.10707
2020-03-28,6.95123
2020-03-29,4.84082
2020-03-30,43.75819
2020-03-31,37.77274
2020-04-01,40.15738
2020-04-02,44.05627
2020-04-03,40.10969
2020-04-04,10.1705
2020-04-05,5.73506
2020-04-06,41.73125
2020-04-07,53.89292
2020-04-08,44.58089
2020-04-09,41.82663
2020-04-10,40.0143
2020-04-11,4.9839
2020-04-12,4.17312
2020-04-13,37.30773
2020-04-14,37.64158
2020-04-15,5.63968
2020-04-16,36.78311
2020-04-17,40.527
2020-04-18,5.16275
2020-04-19,3.89889
2020-04-20,32.96768
2020-04-21,34.56539
2020-04-22,34.23154
2020-04-23,34.005
2020-04-24,29.16418
2020-04-25,4.10158
2020-04-26,3.75581
2020-04-27,30.24919
2020-04-28,34.12423
2020-04-29,29.65303
2020-04-30,4.85274
2020-05-01,7.11815
2020-05-02,3.56504
2020-05-03,2.73041
2020-05-04,33.14653
2020-05-05,5.09121
2020-05-06,32.91999
2020-05-07,32.62191
2020-05-08,27.87647
2020-05-09,4.14927
2020-05-10,2.65887
2020-05-11,28.8661
2020-05-12,26.89877
2020-05-13,27.08954
2020-05-14,25.3249
2020-05-15,23.92989
2020-05-16,3.39811
2020-05-17,2.76618
2020-05-18,26.91069
2020-05-19,32.08537
2020-05-20,28.8184
2020-05-21,26.94646
2020-05-22,27.47108
2020-05-23,3.56504
2020-05-24,2.73041
2020-05-25,28.05532
2020-05-26,30.05842
2020-05-27,27.76916
2020-05-28,26.80338
2020-05-29,26.17145
2020-05-30,3.06426
2020-05-31,2.08656
2020-06-01,25.43221
2020-06-02,26.95838
2020-06-03,36.0081
2020-06-04,31.16728
2020-06-05,26.26684
2020-06-06,4.51889
2020-06-07,3.10003
2020-06-08,27.87647
2020-06-09,28.63956
2020-06-10,26.08799
2020-06-11,28.60379
2020-06-12,28.74687
2020-06-13,3.17157
2020-06-14,2.6708
2020-06-15,31.52497
2020-06-16,33.28961
2020-06-17,30.11803
2020-06-18,26.08799
2020-06-19,26.44568
2020-06-20,2.94503
2020-06-21,2.44425
2020-06-22,26.88684
2020-06-23,28.75879
2020-06-24,26.61261
2020-06-25,26.46953
2020-06-26,24.93144
2020-06-27,3.37426
2020-06-28,2.63503
2020-06-29,28.11493
2020-06-30,27.69762
2020-07-01,36.35388
2020-07-02,39.44199
2020-07-03,32.26421
2020-07-04,3.26696
2020-07-05,3.07618
2020-07-06,32.65768
2020-07-07,30.77381
2020-07-08,29.14033
2020-07-09,32.19267
2020-07-10,26.13568
2020-07-11,2.57541
2020-07-12,2.01502
2020-07-13,24.64528
2020-07-14,23.53642
2020-07-15,24.68105
2020-07-16,22.83295
2020-07-17,23.14295
2020-07-18,2.59926
2020-07-19,1.86002
2020-07-20,22.71372
2020-07-21,23.54834
2020-07-22,50.62596
2020-07-23,42.72087
2020-07-24,33.64731
2020-07-25,4.25658
2020-07-26,4.06581
2020-07-27,55.33563
2020-07-28,68.12924
2020-07-29,51.63944
2020-07-30,40.95624
2020-07-31,34.73232
2020-08-01,4.20889
2020-08-02,4.10158
2020-08-03,37.28389
2020-08-04,31.45343
2020-08-05,43.0428
2020-08-06,52.49791
2020-08-07,53.01061
2020-08-08,6.92738
2020-08-09,5.89006
2020-08-10,46.1786
2020-08-11,46.50053
2020-08-12,41.75509
2020-08-13,33.61154
2020-08-14,30.22534
2020-08-15,3.4458
2020-08-16,3.1358
2020-08-17,6.66507
2020-08-18,32.34768
2020-08-19,30.6665
2020-08-20,30.26111
2020-08-21,30.47573
2020-08-22,6.33122
2020-08-23,5.4489
2020-08-24,29.79611
2020-08-25,30.64266
2020-08-26,27.02992
2020-08-27,29.8438
2020-08-28,28.47263
2020-08-29,4.97198
2020-08-30,5.42506
2020-08-31,31.87075
2020-09-01,29.95111
2020-09-02,28.17455
2020-09-03,27.35185
2020-09-04,26.98223
2020-09-05,5.07928
2020-09-06,4.24466
2020-09-07,29.34303
2020-09-08,29.04495
2020-09-09,28.91379
2020-09-10,27.10146
2020-09-11,24.13258
2020-09-12,3.51734
2020-09-13,2.58733
2020-09-14,25.76606
2020-09-15,23.95373
2020-09-16,23.96566
2020-09-17,25.03875
2020-09-18,28.00763
2020-09-19,3.50542
2020-09-20,2.59926
2020-09-21,26.60069
2020-09-22,30.79766
2020-09-23,30.77381
2020-09-24,29.24764
2020-09-25,26.73184
