date,재개발절차
2020-03-20,44.25363
2020-03-21,43.32892
2020-03-22,38.44121
2020-03-23,46.23513
2020-03-24,41.47952
2020-03-25,53.76486
2020-03-26,54.68956
2020-03-27,49.93394
2020-03-28,46.10303
2020-03-29,42.00792
2020-03-30,51.78335
2020-03-31,51.38705
2020-04-01,45.44253
2020-04-02,48.21664
2020-04-03,47.02774
2020-04-04,36.98811
2020-04-05,38.70541
2020-04-06,49.00924
2020-04-07,55.48216
2020-04-08,52.04755
2020-04-09,54.55746
2020-04-10,48.74504
2020-04-11,43.32892
2020-04-12,45.83883
2020-04-13,60.63408
2020-04-14,66.31439
2020-04-15,52.57595
2020-04-16,56.14266
2020-04-17,52.04755
2020-04-18,47.55614
2020-04-19,49.53764
2020-04-20,61.29458
2020-04-21,58.25627
2020-04-22,58.52047
2020-04-23,53.89696
2020-04-24,50.85865
2020-04-25,51.25495
2020-04-26,44.64993
2020-04-27,61.03038
2020-04-28,60.89828
2020-04-29,54.82166
2020-04-30,47.55614
2020-05-01,54.95376
2020-05-02,42.40422
2020-05-03,47.82034
2020-05-04,59.70937
2020-05-05,52.04755
2020-05-06,63.67239
2020-05-07,53.36856
2020-05-08,37.78071
2020-05-09,34.0819
2020-05-10,32.62879
2020-05-11,42.14002
2020-05-12,49.00924
2020-05-13,37.64861
2020-05-14,43.46103
2020-05-15,33.5535
2020-05-16,39.63011
2020-05-17,33.28929
2020-05-18,48.21664
2020-05-19,47.55614
2020-05-20,53.76486
2020-05-21,52.57595
2020-05-22,53.36856
2020-05-23,55.74636
2020-05-24,56.14266
2020-05-25,66.05019
2020-05-26,53.10435
2020-05-27,54.55746
2020-05-28,57.46367
2020-05-29,47.29194
2020-05-30,46.89564
2020-05-31,38.70541
2020-06-01,45.44253
2020-06-02,49.40554
2020-06-03,61.69088
2020-06-04,54.42536
2020-06-05,51.91545
2020-06-06,42.53632
2020-06-07,41.74372
2020-06-08,40.02642
2020-06-09,45.31043
2020-06-10,54.55746
2020-06-11,54.95376
2020-06-12,47.68824
2020-06-13,38.83751
2020-06-14,45.31043
2020-06-15,61.69088
2020-06-16,58.12417
2020-06-17,76.48612
2020-06-18,81.77014
2020-06-19,53.36856
2020-06-20,41.87582
2020-06-21,56.01056
2020-06-22,72.12681
2020-06-23,57.72787
2020-06-24,54.55746
2020-06-25,65.65389
2020-06-26,50.59445
2020-06-27,40.29062
2020-06-28,46.49933
2020-06-29,54.42536
2020-06-30,58.91677
2020-07-01,56.14266
2020-07-02,59.97357
2020-07-03,59.18097
2020-07-04,49.27344
2020-07-05,42.40422
2020-07-06,47.15984
2020-07-07,49.27344
2020-07-08,52.17965
2020-07-09,48.48084
2020-07-10,36.85601
2020-07-11,31.43989
2020-07-12,31.04359
2020-07-13,41.61162
2020-07-14,42.27212
2020-07-15,40.29062
2020-07-16,50.85865
2020-07-17,45.57463
2020-07-18,39.49801
2020-07-19,48.74504
2020-07-20,52.31175
2020-07-21,51.12285
2020-07-22,50.33025
2020-07-23,48.21664
2020-07-24,43.72523
2020-07-25,45.44253
2020-07-26,44.78203
2020-07-27,43.46103
2020-07-28,53.63276
2020-07-29,45.83883
2020-07-30,41.47952
2020-07-31,38.96961
2020-08-01,33.8177
2020-08-02,32.62879
2020-08-03,45.44253
2020-08-04,47.68824
2020-08-05,42.40422
2020-08-06,37.78071
2020-08-07,35.9313
2020-08-08,29.45838
2020-08-09,31.30779
2020-08-10,42.40422
2020-08-11,43.32892
