date,사업계획서예시
2020-03-20,48.29396
2020-03-21,32.54593
2020-03-22,32.02099
2020-03-23,57.48031
2020-03-24,67.71653
2020-03-25,68.50393
2020-03-26,51.44356
2020-03-27,52.7559
2020-03-28,31.75853
2020-03-29,32.54593
2020-03-30,67.45406
2020-03-31,56.95538
2020-04-01,55.64304
2020-04-02,51.1811
2020-04-03,47.76902
2020-04-04,36.7454
2020-04-05,29.39632
2020-04-06,53.5433
2020-04-07,61.94225
2020-04-08,57.48031
2020-04-09,51.70603
2020-04-10,49.60629
2020-04-11,24.93438
2020-04-12,34.3832
2020-04-13,61.94225
2020-04-14,48.55643
2020-04-15,32.54593
2020-04-16,55.38057
2020-04-17,44.61942
2020-04-18,40.41994
2020-04-19,40.68241
2020-04-20,70.86614
2020-04-21,64.82939
2020-04-22,63.77952
2020-04-23,63.25459
2020-04-24,52.23097
2020-04-25,39.89501
2020-04-26,45.93175
2020-04-27,70.86614
2020-04-28,62.72965
2020-04-29,53.80577
2020-04-30,38.3202
2020-05-01,43.04461
2020-05-02,32.02099
2020-05-03,50.13123
2020-05-04,50.91863
2020-05-05,49.60629
2020-05-06,72.70341
2020-05-07,56.95538
2020-05-08,51.70603
2020-05-09,44.09448
2020-05-10,42.51968
2020-05-11,56.69291
2020-05-12,63.25459
2020-05-13,58.79265
2020-05-14,54.59317
2020-05-15,41.73228
2020-05-16,25.72178
2020-05-17,27.03412
2020-05-18,51.1811
2020-05-19,48.55643
2020-05-20,44.88188
2020-05-21,45.14435
2020-05-22,47.76902
2020-05-23,33.33333
2020-05-24,39.89501
2020-05-25,44.88188
2020-05-26,50.13123
2020-05-27,53.5433
2020-05-28,58.79265
2020-05-29,55.64304
2020-05-30,37.27034
2020-05-31,43.30708
2020-06-01,59.58005
2020-06-02,58.26771
2020-06-03,67.1916
2020-06-04,62.99212
2020-06-05,55.38057
2020-06-06,38.84514
2020-06-07,47.50656
2020-06-08,72.17847
2020-06-09,66.92913
