date,환테크
2020-11-07,6.5234
2020-11-08,7.82808
2020-11-09,22.25633
2020-11-10,21.7191
2020-11-11,21.7191
2020-11-12,15.96316
2020-11-13,13.04681
2020-11-14,6.90713
2020-11-15,5.83269
2020-11-16,22.56331
2020-11-17,28.396
2020-11-18,33.61473
2020-11-19,17.80506
2020-11-20,13.66078
2020-11-21,8.44205
2020-11-22,12.27935
2020-11-23,16.19339
2020-11-24,15.27244
2020-11-25,19.72371
2020-11-26,23.56101
2020-11-27,24.7122
2020-11-28,11.81887
2020-11-29,11.97237
2020-11-30,19.8772
2020-12-01,14.27475
2020-12-02,31.84957
2020-12-03,71.06676
2020-12-04,100.0
2020-12-05,86.33921
2020-12-06,79.73906
2020-12-07,60.70606
2020-12-08,43.82194
2020-12-09,35.2264
2020-12-10,26.5541
2020-12-11,20.10744
2020-12-12,13.12356
2020-12-13,14.12125
2020-12-14,19.41673
2020-12-15,18.72601
2020-12-16,25.09593
2020-12-17,16.96085
2020-12-18,16.19339
2020-12-19,5.90943
2020-12-20,7.5211
2020-12-21,13.58403
2020-12-22,11.89562
2020-12-23,9.13277
2020-12-24,8.67229
2020-12-25,5.5257
2020-12-26,6.60015
2020-12-27,8.90253
2020-12-28,14.27475
2020-12-29,15.50268
2020-12-30,17.49808
2020-12-31,14.96546
2021-01-01,10.13046
2021-01-02,10.43745
2021-01-03,9.28626
2021-01-04,23.7145
2021-01-05,19.33998
2021-01-06,22.33307
2021-01-07,18.80276
2021-01-08,17.57482
2021-01-09,13.12356
2021-01-10,10.66768
2021-01-11,15.04221
2021-01-12,14.50498
2021-01-13,11.3584
2021-01-14,10.74443
2021-01-15,8.97927
2021-01-16,5.21872
2021-01-17,5.98618
2021-01-18,10.05372
2021-01-19,10.3607
2021-01-20,6.75364
2021-01-21,10.3607
2021-01-22,6.75364
2021-01-23,3.99079
2021-01-24,5.06523
2021-01-25,9.43975
2021-01-26,9.43975
2021-01-27,9.74673
2021-01-28,9.05602
2021-01-29,5.83269
2021-01-30,3.60706
2021-01-31,3.91404
2021-02-01,5.75594
2021-02-02,7.13737
2021-02-03,6.98388
2021-02-04,8.21181
2021-02-05,6.21642
2021-02-06,3.45356
2021-02-07,4.45126
2021-02-08,6.29316
2021-02-09,4.60475
2021-02-10,6.75364
2021-02-11,4.91174
2021-02-12,4.83499
2021-02-13,4.75825
2021-02-14,4.75825
