date,DC형퇴직연금
2020-03-20,3.50877
2020-03-23,2.92397
2020-03-24,3.50877
2020-03-25,1.94931
2020-03-26,3.1189
2020-03-27,1.94931
2020-03-30,2.33918
2020-03-31,1.16959
2020-04-01,2.53411
2020-04-02,3.1189
2020-04-03,0.97465
2020-04-06,1.36452
2020-04-07,0.97465
2020-04-08,1.94931
2020-04-09,2.33918
2020-04-10,3.31384
2020-04-13,3.31384
2020-04-14,1.75438
2020-04-16,3.1189
2020-04-17,1.75438
2020-04-20,1.55945
2020-04-21,2.72904
2020-04-22,1.94931
2020-04-23,1.94931
2020-04-24,1.94931
2020-04-27,2.92397
2020-04-28,2.14424
2020-04-29,2.53411
2020-05-01,1.36452
2020-05-06,1.55945
2020-05-07,1.36452
2020-05-08,1.16959
2020-05-11,1.36452
2020-05-12,0.97465
2020-05-13,1.55945
2020-05-14,0.97465
2020-05-15,1.36452
2020-05-18,2.53411
2020-05-19,3.31384
2020-05-20,1.16959
2020-05-21,4.87329
2020-05-22,3.31384
2020-05-25,3.50877
2020-05-26,2.53411
2020-05-27,1.75438
2020-05-28,0.97465
2020-05-29,1.36452
2020-05-30,1.36452
2020-05-31,1.36452
2020-06-01,2.53411
2020-06-02,2.14424
2020-06-03,4.09356
2020-06-04,1.36452
2020-06-05,3.1189
2020-06-08,1.16959
2020-06-09,2.53411
2020-06-10,2.92397
2020-06-11,5.45808
2020-06-12,2.33918
2020-06-15,3.31384
2020-06-16,3.7037
2020-06-17,2.14424
2020-06-18,1.94931
2020-06-19,3.89863
2020-06-22,2.14424
2020-06-23,2.72904
2020-06-24,1.94931
2020-06-25,1.55945
2020-06-26,1.75438
2020-06-29,2.14424
2020-06-30,2.92397
2020-07-01,2.33918
2020-07-02,3.7037
2020-07-03,0.97465
2020-07-06,1.36452
2020-07-07,2.53411
2020-07-08,1.94931
2020-07-09,0.97465
2020-07-10,1.16959
2020-07-13,2.92397
2020-07-14,1.55945
2020-07-15,2.14424
2020-07-16,1.36452
2020-07-17,1.36452
2020-07-20,3.31384
2020-07-21,2.53411
2020-07-22,2.33918
2020-07-23,3.7037
2020-07-24,1.75438
2020-07-27,1.36452
2020-07-28,3.89863
2020-07-29,1.16959
2020-07-30,2.14424
2020-07-31,2.14424
2020-08-03,1.94931
2020-08-04,3.50877
2020-08-05,2.14424
2020-08-06,3.31384
2020-08-07,2.33918
2020-08-10,0.97465
2020-08-11,4.09356
2020-08-12,2.92397
2020-08-13,0.97465
2020-08-14,1.55945
2020-08-18,1.94931
2020-08-19,1.75438
2020-08-20,3.50877
2020-08-21,3.50877
2020-08-24,6.23781
2020-08-25,4.09356
2020-08-26,3.50877
2020-08-27,3.89863
2020-08-28,0.97465
2020-08-30,1.36452
2020-08-31,5.06822
2020-09-01,4.09356
2020-09-02,2.72904
2020-09-03,2.14424
2020-09-04,1.75438
2020-09-07,2.53411
2020-09-08,3.1189
2020-09-09,3.31384
2020-09-10,2.53411
2020-09-11,2.72904
2020-09-14,1.16959
2020-09-15,3.31384
2020-09-16,3.7037
2020-09-17,2.92397
2020-09-18,1.94931
2020-09-21,2.14424
2020-09-22,2.53411
2020-09-23,1.75438
2020-09-24,3.89863
2020-09-28,1.94931
2020-09-29,3.89863
2020-10-04,0.97465
2020-10-05,1.75438
2020-10-06,2.33918
2020-10-07,2.14424
2020-10-08,2.33918
2020-10-12,1.55945
2020-10-13,2.53411
2020-10-14,2.33918
2020-10-15,2.33918
2020-10-16,2.14424
2020-10-19,1.55945
2020-10-20,2.33918
2020-10-21,2.14424
2020-10-22,2.33918
2020-10-23,2.53411
2020-10-25,2.33918
2020-10-26,2.53411
2020-10-27,3.31384
2020-10-28,1.94931
2020-10-29,2.72904
2020-10-30,1.94931
2020-10-31,0.97465
2020-11-01,0.97465
2020-11-02,3.50877
2020-11-03,3.31384
2020-11-04,2.92397
2020-11-05,2.72904
2020-11-06,2.53411
2020-11-09,2.92397
2020-11-10,5.26315
2020-11-11,2.53411
2020-11-12,4.87329
2020-11-13,2.14424
2020-11-15,3.1189
2020-11-16,5.26315
2020-11-17,4.28849
2020-11-18,1.75438
2020-11-19,6.62768
2020-11-20,5.65302
2020-11-23,2.72904
2020-11-24,2.33918
2020-11-25,2.53411
2020-11-26,3.31384
2020-11-27,7.60233
2020-11-28,1.16959
2020-11-29,1.36452
2020-11-30,1.55945
2020-12-01,5.26315
2020-12-02,6.43274
2020-12-03,2.92397
2020-12-04,4.87329
2020-12-05,5.45808
2020-12-07,5.26315
2020-12-08,6.82261
2020-12-09,4.87329
2020-12-10,5.26315
2020-12-11,7.21247
2020-12-13,1.36452
2020-12-14,6.62768
2020-12-15,8.96686
2020-12-16,5.06822
2020-12-17,7.01754
2020-12-18,3.31384
2020-12-20,1.36452
2020-12-21,5.26315
2020-12-22,7.60233
2020-12-23,4.48343
2020-12-24,6.23781
2020-12-25,1.16959
2020-12-27,0.97465
2020-12-28,6.82261
2020-12-29,8.38206
2020-12-30,7.4074
2020-12-31,7.60233
2021-01-01,3.31384
2021-01-02,3.1189
2021-01-03,5.06822
2021-01-04,7.4074
2021-01-05,9.35672
2021-01-06,10.52631
2021-01-07,5.84795
2021-01-08,7.01754
2021-01-10,1.94931
2021-01-11,6.82261
2021-01-12,5.84795
2021-01-13,4.48343
2021-01-14,3.89863
2021-01-15,3.31384
2021-01-18,3.7037
2021-01-19,3.89863
2021-01-20,5.26315
2021-01-21,4.28849
2021-01-22,2.53411
2021-01-24,0.97465
2021-01-25,4.48343
2021-01-26,5.65302
2021-01-27,4.09356
2021-01-28,4.48343
2021-01-29,2.14424
2021-01-30,1.16959
2021-02-01,5.06822
2021-02-02,4.67836
2021-02-03,4.09356
2021-02-04,4.28849
2021-02-05,1.55945
2021-02-06,0.97465
2021-02-08,4.09356
2021-02-09,4.09356
2021-02-10,2.33918
2021-02-14,0.97465
2021-02-15,4.28849
2021-02-16,4.09356
2021-02-17,3.31384
2021-02-18,5.45808
2021-02-19,5.65302
2021-02-22,5.06822
2021-02-23,5.45808
2021-02-24,2.33918
2021-02-25,4.87329
2021-02-26,1.55945
2021-03-02,4.09356
2021-03-03,1.94931
2021-03-04,2.92397
2021-03-05,3.50877
2021-03-06,1.75438
2021-03-08,2.92397
2021-03-09,4.28849
2021-03-10,3.89863
2021-03-11,5.06822
2021-03-12,2.14424
2021-03-15,3.31384
2021-03-16,4.09356
2021-03-17,2.33918
2021-03-18,5.06822
2021-03-19,1.75438
2021-03-22,3.1189
2021-03-23,3.1189
2021-03-24,4.09356
2021-03-25,1.94931
2021-03-26,2.53411
2021-03-28,0.97465
2021-03-29,5.65302
2021-03-30,2.92397
2021-03-31,2.92397
2021-04-01,3.31384
2021-04-02,1.55945
2021-04-05,3.1189
2021-04-06,2.53411
2021-04-07,2.53411
2021-04-08,2.14424
2021-04-09,2.92397
2021-04-12,3.89863
2021-04-13,5.26315
2021-04-14,4.87329
2021-04-15,4.09356
2021-04-16,4.09356
2021-04-19,1.94931
2021-04-20,2.92397
2021-04-21,3.89863
2021-04-22,2.33918
2021-04-23,1.94931
2021-04-26,3.50877
2021-04-27,3.1189
2021-04-28,3.31384
2021-04-29,2.33918
2021-04-30,1.75438
2021-05-02,0.97465
2021-05-03,3.50877
2021-05-04,3.1189
2021-05-06,3.1189
2021-05-07,4.28849
2021-05-10,2.53411
2021-05-11,4.48343
2021-05-12,3.50877
2021-05-13,2.14424
2021-05-14,1.36452
2021-05-17,3.1189
2021-05-18,1.55945
2021-05-20,2.33918
2021-05-21,3.89863
2021-05-24,2.53411
2021-05-25,2.92397
2021-05-26,1.75438
2021-05-27,2.33918
2021-05-28,1.36452
2021-05-31,3.31384
2021-06-01,5.06822
2021-06-02,3.7037
2021-06-03,3.50877
2021-06-04,3.1189
2021-06-07,2.72904
2021-06-08,1.94931
2021-06-09,3.31384
2021-06-10,4.28849
2021-06-14,2.72904
2021-06-15,3.50877
2021-06-16,4.09356
2021-06-17,3.7037
2021-06-18,4.09356
2021-06-21,4.48343
2021-06-22,4.48343
2021-06-23,2.14424
2021-06-24,2.92397
2021-06-25,2.72904
2021-06-27,1.75438
2021-06-28,2.14424
2021-06-29,4.48343
2021-06-30,2.92397
2021-07-01,3.1189
2021-07-02,3.50877
2021-07-04,2.33918
2021-07-05,4.67836
2021-07-06,1.55945
2021-07-07,5.84795
2021-07-08,1.75438
2021-07-09,1.94931
2021-07-12,2.14424
2021-07-13,1.94931
2021-07-14,3.7037
2021-07-15,3.31384
2021-07-16,1.16959
2021-07-19,2.14424
2021-07-20,2.14424
2021-07-21,1.36452
2021-07-22,2.72904
2021-07-23,1.55945
2021-07-24,1.16959
2021-07-26,3.89863
2021-07-27,1.94931
2021-07-29,2.14424
2021-07-30,1.94931
2021-08-02,1.16959
2021-08-03,1.75438
2021-08-04,4.28849
2021-08-05,3.1189
2021-08-06,1.94931
2021-08-09,1.75438
2021-08-10,2.33918
2021-08-11,4.28849
2021-08-12,2.14424
2021-08-14,1.16959
2021-08-16,1.16959
2021-08-17,3.1189
2021-08-18,3.1189
2021-08-19,2.53411
2021-08-20,1.36452
2021-08-23,2.14424
2021-08-24,3.50877
2021-08-25,1.75438
2021-08-26,3.1189
2021-08-27,3.31384
2021-08-30,1.16959
2021-08-31,1.94931
2021-09-01,2.14424
2021-09-02,0.97465
2021-09-03,1.55945
2021-09-06,1.55945
2021-09-07,2.92397
2021-09-08,4.28849
2021-09-09,1.36452
2021-09-10,2.53411
2021-09-13,2.53411
2021-09-14,3.1189
2021-09-15,2.53411
2021-09-16,3.89863
2021-09-17,2.33918
2021-09-23,1.36452
2021-09-24,1.55945
