date,대원제약주가
2020-03-20,0.88091
2020-03-21,0.14138
2020-03-22,0.1305
2020-03-23,1.07667
2020-03-24,1.16367
2020-03-25,1.21805
2020-03-26,1.03317
2020-03-27,1.1963
2020-03-28,0.27188
2020-03-29,0.10875
2020-03-30,1.06579
2020-03-31,1.8162
2020-04-01,1.67482
2020-04-02,1.59869
2020-04-03,1.45731
2020-04-04,0.14138
2020-04-05,0.16313
2020-04-06,1.30505
2020-04-07,1.40293
2020-04-08,1.07667
2020-04-09,1.00054
2020-04-10,1.25067
2020-04-11,0.15225
2020-04-12,0.1305
2020-04-13,0.73953
2020-04-14,0.88091
2020-04-15,0.10875
2020-04-16,0.72865
2020-04-17,0.97879
2020-04-18,0.10875
2020-04-20,0.76128
2020-04-21,0.78303
2020-04-22,0.7504
2020-04-23,0.58727
2020-04-24,0.54377
2020-04-27,0.52202
2020-04-28,0.7069
2020-04-29,0.5764
2020-04-30,0.05437
2020-05-01,0.05437
2020-05-04,0.5764
2020-05-05,0.10875
2020-05-06,0.5764
2020-05-07,0.41326
2020-05-08,0.55464
2020-05-09,0.174
2020-05-11,0.7069
2020-05-12,0.59815
2020-05-13,1.08754
2020-05-14,0.78303
2020-05-15,1.3703
2020-05-16,0.09787
2020-05-17,0.1305
2020-05-18,1.29418
2020-05-19,1.21805
2020-05-20,0.77215
2020-05-21,0.89178
2020-05-22,0.88091
2020-05-23,0.19575
2020-05-24,0.087
2020-05-25,1.02229
2020-05-26,0.96791
2020-05-27,0.90266
2020-05-28,0.81566
2020-05-29,0.81566
2020-05-30,0.07612
2020-05-31,0.06525
2020-06-01,1.30505
2020-06-02,0.77215
2020-06-03,1.14192
2020-06-04,1.00054
2020-06-05,1.05492
2020-06-06,0.10875
2020-06-07,0.07612
2020-06-08,1.2398
2020-06-09,0.97879
2020-06-10,5.98151
2020-06-11,19.24959
2020-06-12,11.45187
2020-06-13,2.54486
2020-06-14,2.10984
2020-06-15,11.38662
2020-06-16,8.54812
2020-06-17,46.65579
2020-06-18,34.73626
2020-06-19,19.29309
2020-06-20,2.65361
2020-06-21,1.88145
2020-06-22,13.63784
2020-06-23,10.34257
2020-06-24,27.90647
2020-06-25,20.30451
2020-06-26,13.8771
2020-06-27,1.50081
2020-06-28,1.04404
2020-06-29,12.51767
2020-06-30,10.4622
2020-07-01,7.92822
2020-07-02,8.34148
2020-07-03,9.02664
2020-07-04,0.91353
2020-07-05,0.85916
2020-07-06,8.72213
2020-07-07,7.5802
2020-07-08,7.94997
2020-07-09,6.53616
2020-07-10,5.851
2020-07-11,0.81566
2020-07-12,0.7939
2020-07-13,7.27569
2020-07-14,13.59434
2020-07-15,8.48287
2020-07-16,6.90592
2020-07-17,7.91734
2020-07-18,1.41381
2020-07-19,1.02229
2020-07-20,18.4883
2020-07-21,30.79934
2020-07-22,45.17672
2020-07-23,78.27079
2020-07-24,100.0
2020-07-25,10.4622
2020-07-26,7.67808
2020-07-27,61.01141
2020-07-28,44.7417
2020-07-29,39.10821
2020-07-30,28.13485
2020-07-31,31.83251
2020-08-01,2.84937
2020-08-02,2.31647
2020-08-03,24.35019
2020-08-04,27.63458
2020-08-05,27.6237
2020-08-06,24.14355
2020-08-07,19.94562
2020-08-08,1.34855
2020-08-09,1.27243
2020-08-10,16.40021
2020-08-11,14.12724
2020-08-12,14.59488
2020-08-13,13.13757
2020-08-14,11.20174
2020-08-15,1.01141
2020-08-16,0.59815
2020-08-17,1.60957
2020-08-18,12.33278
2020-08-19,12.75693
2020-08-20,16.45459
2020-08-21,12.09352
2020-08-22,1.05492
2020-08-23,0.68515
2020-08-24,12.41979
2020-08-25,16.6286
2020-08-26,28.1566
2020-08-27,17.13974
2020-08-28,15.84556
2020-08-29,1.70744
2020-08-30,1.17455
2020-08-31,13.59434
2020-09-01,14.06199
2020-09-02,29.18977
2020-09-03,32.49592
2020-09-04,26.74279
2020-09-05,3.24089
2020-09-06,2.38172
2020-09-07,25.41598
2020-09-08,19.5976
2020-09-09,15.87819
2020-09-10,16.46547
2020-09-11,15.21479
2020-09-12,1.76182
2020-09-13,1.26155
2020-09-14,13.2137
2020-09-15,14.15986
2020-09-16,12.5938
2020-09-17,10.75584
2020-09-18,11.528
2020-09-19,2.10984
2020-09-20,3.14301
2020-09-21,17.31375
2020-09-22,12.40891
2020-09-23,13.1702
2020-09-24,11.35399
2020-09-25,11.53887
2020-09-26,0.98966
2020-09-27,0.95704
2020-09-28,11.72376
2020-09-29,10.26644
2020-09-30,0.82653
2020-10-01,0.80478
2020-10-02,0.58727
2020-10-03,0.67427
2020-10-04,0.6634
2020-10-05,11.0386
2020-10-06,10.42958
2020-10-07,8.63512
2020-10-08,11.58238
2020-10-09,0.90266
2020-10-10,0.69603
2020-10-11,0.69603
2020-10-12,9.00489
2020-10-13,8.6025
2020-10-14,11.84339
2020-10-15,7.96084
2020-10-16,8.42849
2020-10-17,0.82653
2020-10-18,0.73953
2020-10-19,8.1566
2020-10-20,8.25448
2020-10-21,8.79825
2020-10-22,7.24306
2020-10-23,7.22131
2020-10-24,0.77215
2020-10-25,0.44589
2020-10-26,6.68841
2020-10-27,7.93909
2020-10-28,6.78629
2020-10-29,6.3404
2020-10-30,5.79662
2020-10-31,0.54377
2020-11-01,0.52202
2020-11-02,7.22131
2020-11-03,7.80859
2020-11-04,7.64545
2020-11-05,8.98314
2020-11-06,8.75475
2020-11-07,1.01141
2020-11-08,0.80478
2020-11-09,8.65687
2020-11-10,8.28711
2020-11-11,7.66721
2020-11-12,8.28711
2020-11-13,7.15606
2020-11-14,0.81566
2020-11-15,0.71778
2020-11-16,8.2001
2020-11-17,7.03643
2020-11-18,7.78684
2020-11-19,10.29907
2020-11-20,11.15823
2020-11-21,1.48994
2020-11-22,1.02229
2020-11-23,9.21152
2020-11-24,8.1566
2020-11-25,7.93909
2020-11-26,6.80804
2020-11-27,7.69983
2020-11-28,0.91353
2020-11-29,0.87003
2020-11-30,9.78792
2020-12-01,7.78684
2020-12-02,8.51549
2020-12-03,7.14518
2020-12-04,7.18868
2020-12-05,0.91353
2020-12-06,0.92441
2020-12-07,7.64545
2020-12-08,7.72158
2020-12-09,8.7765
2020-12-10,7.4497
2020-12-11,8.71125
2020-12-12,0.83741
2020-12-13,1.05492
2020-12-14,10.35345
2020-12-15,8.14573
2020-12-16,8.0261
2020-12-17,7.84121
2020-12-18,9.91843
2020-12-19,1.2398
2020-12-20,1.65307
2020-12-21,17.22675
2020-12-22,14.09461
2020-12-23,13.45296
2020-12-24,9.8858
2020-12-25,1.13104
2020-12-26,0.89178
2020-12-27,0.82653
2020-12-28,9.21152
2020-12-29,9.24415
2020-12-30,10.39695
2020-12-31,2.3926
2021-01-01,2.15334
2021-01-02,0.88091
2021-01-03,2.42523
2021-01-04,10.3317
2021-01-05,10.30995
2021-01-06,13.47471
2021-01-07,11.35399
2021-01-08,8.96139
2021-01-09,1.38118
2021-01-10,1.00054
2021-01-11,7.86296
2021-01-12,9.05927
2021-01-13,7.72158
2021-01-14,7.18868
2021-01-15,6.52528
2021-01-16,0.68515
2021-01-17,0.71778
2021-01-18,6.71016
2021-01-19,7.0038
2021-01-20,9.38553
2021-01-21,10.17944
2021-01-22,10.25557
2021-01-23,1.20717
2021-01-24,0.88091
2021-01-25,8.05872
2021-01-26,7.21044
2021-01-27,6.25339
2021-01-28,4.79608
2021-01-29,5.8945
2021-01-30,0.64165
2021-01-31,0.33713
2021-02-01,6.23164
2021-02-02,5.69874
2021-02-03,5.05709
2021-02-04,6.26427
2021-02-05,6.67754
2021-02-06,1.02229
2021-02-07,1.02229
2021-02-08,6.07939
2021-02-09,5.91625
2021-02-10,8.93964
2021-02-11,1.18542
2021-02-12,1.07667
2021-02-13,0.88091
2021-02-14,1.06579
2021-02-15,7.0473
2021-02-16,6.4274
2021-02-17,8.04785
2021-02-18,6.75367
2021-02-19,6.00326
2021-02-20,0.7504
2021-02-21,0.55464
2021-02-22,6.22077
2021-02-23,5.35073
2021-02-24,5.41598
2021-02-25,5.64437
2021-02-26,4.33931
2021-02-27,0.43501
2021-02-28,0.6199
2021-03-01,0.47852
2021-03-02,5.79662
2021-03-03,5.7205
2021-03-04,4.31756
2021-03-05,4.13268
2021-03-06,0.67427
2021-03-07,0.52202
2021-03-08,5.44861
2021-03-09,4.81783
2021-03-10,5.851
2021-03-11,6.56878
2021-03-12,5.938
2021-03-13,0.64165
2021-03-14,0.73953
2021-03-15,5.79662
2021-03-16,5.22022
2021-03-17,5.13322
2021-03-18,7.18868
2021-03-19,5.70962
2021-03-20,0.53289
2021-03-21,1.66394
2021-03-22,5.68787
2021-03-23,4.90483
2021-03-24,5.3616
2021-03-25,4.76345
2021-03-26,4.52419
2021-03-27,0.67427
2021-03-28,0.52202
2021-03-29,4.93746
2021-03-30,3.95867
2021-03-31,4.6547
2021-04-01,3.77379
2021-04-02,3.86079
2021-04-03,0.51114
2021-04-04,0.34801
2021-04-05,3.80641
2021-04-06,3.93692
2021-04-07,4.62207
2021-04-08,3.94779
2021-04-09,5.60087
2021-04-10,0.7069
2021-04-11,0.7069
2021-04-12,6.46003
2021-04-13,8.05872
2021-04-14,14.70364
2021-04-15,15.41054
2021-04-16,12.6373
2021-04-17,1.50081
2021-04-18,0.96791
2021-04-19,10.79934
2021-04-20,8.7765
2021-04-21,8.88526
2021-04-22,8.84176
2021-04-23,13.76835
2021-04-24,0.95704
2021-04-25,0.93529
2021-04-26,10.82109
2021-04-27,8.6025
2021-04-28,6.90592
2021-04-29,6.92767
2021-04-30,6.64491
2021-05-01,0.71778
2021-05-02,0.42414
2021-05-03,6.75367
2021-05-04,5.82925
2021-05-05,0.54377
2021-05-06,6.50353
2021-05-07,6.05764
2021-05-08,0.7939
2021-05-09,0.54377
2021-05-10,6.26427
2021-05-11,5.91625
2021-05-12,5.20935
2021-05-13,5.38336
2021-05-14,5.95976
2021-05-15,0.64165
2021-05-16,0.59815
2021-05-17,5.42686
2021-05-18,5.41598
2021-05-19,0.56552
2021-05-20,5.38336
2021-05-21,5.55736
2021-05-22,0.88091
2021-05-23,0.65252
2021-05-24,5.77487
2021-05-25,5.60087
2021-05-26,5.25285
2021-05-27,5.40511
2021-05-28,5.3616
2021-05-29,0.6199
2021-05-30,0.50027
2021-05-31,4.56769
2021-06-01,4.63295
2021-06-02,4.82871
2021-06-03,4.76345
2021-06-04,4.64382
2021-06-05,0.40239
2021-06-06,0.50027
2021-06-07,5.41598
2021-06-08,4.91571
2021-06-09,4.18705
2021-06-10,5.2311
2021-06-11,5.2311
2021-06-12,0.56552
2021-06-13,0.35889
2021-06-14,5.02446
2021-06-15,4.55682
2021-06-16,4.13268
2021-06-17,4.13268
2021-06-18,3.48015
2021-06-19,0.32626
2021-06-20,0.46764
2021-06-21,7.73246
2021-06-22,8.95051
2021-06-23,7.93909
2021-06-24,6.04676
2021-06-25,5.20935
2021-06-26,0.77215
2021-06-27,0.7939
2021-06-28,6.02501
2021-06-29,5.77487
2021-06-30,6.56878
2021-07-01,4.93746
2021-07-02,5.70962
2021-07-03,0.7069
2021-07-04,0.7504
2021-07-05,9.39641
2021-07-06,8.76563
2021-07-07,8.53724
2021-07-08,7.21044
2021-07-09,6.00326
2021-07-10,0.71778
2021-07-11,0.5764
2021-07-12,6.85154
2021-07-13,5.62262
2021-07-14,4.89396
2021-07-15,5.11147
2021-07-16,5.22022
2021-07-17,0.48939
2021-07-18,0.48939
2021-07-19,4.88308
2021-07-20,4.76345
2021-07-21,5.28548
2021-07-22,5.24197
2021-07-23,4.81783
2021-07-24,0.35889
2021-07-25,0.46764
2021-07-26,4.81783
2021-07-27,4.56769
2021-07-28,3.4584
2021-07-29,3.90429
2021-07-30,3.69766
2021-07-31,0.31538
2021-08-01,0.23926
2021-08-02,3.6324
2021-08-03,3.79554
2021-08-04,4.27406
2021-08-05,4.28493
2021-08-06,4.02392
2021-08-07,0.30451
2021-08-08,0.22838
2021-08-09,21.92495
2021-08-10,21.3703
2021-08-11,36.7591
2021-08-12,24.7852
2021-08-13,16.76998
2021-08-14,1.88145
2021-08-15,1.05492
2021-08-16,2.25122
2021-08-17,19.28221
2021-08-18,45.3616
2021-08-19,35.86731
2021-08-20,44.63295
2021-08-21,3.88254
2021-08-22,3.12126
2021-08-23,38.02066
2021-08-24,37.22675
2021-08-25,34.67101
2021-08-26,29.74442
2021-08-27,27.64545
2021-08-28,2.63186
2021-08-29,2.65361
2021-08-30,22.08809
2021-08-31,19.21696
2021-09-01,18.82544
2021-09-02,15.29091
2021-09-03,16.30233
2021-09-04,1.80532
2021-09-05,1.43556
2021-09-06,14.34475
2021-09-07,13.05057
2021-09-08,12.28928
2021-09-09,12.34366
2021-09-10,10.77759
2021-09-11,1.30505
2021-09-12,0.96791
2021-09-13,10.29907
2021-09-14,10.40783
2021-09-15,10.15769
2021-09-16,7.79771
2021-09-17,7.78684
2021-09-18,0.64165
2021-09-19,0.59815
2021-09-20,0.56552
2021-09-21,0.5764
2021-09-22,0.7069
2021-09-23,12.05002
2021-09-24,11.77814
2021-09-25,1.13104
2021-09-26,0.85916
2021-09-27,20.43501
2021-09-28,15.58455
2021-09-29,20.39151
2021-09-30,16.81348
2021-10-01,12.5938
2021-10-02,1.14192
2021-10-03,0.7504
2021-10-04,1.42468
2021-10-05,12.20228
2021-10-06,10.63621
2021-10-07,13.58346
2021-10-08,16.95486
2021-10-09,1.59869
2021-10-10,1.38118
2021-10-11,1.82707
2021-10-12,12.6808
2021-10-13,12.55029
2021-10-14,11.39749
2021-10-15,10.88635
2021-10-16,1.18542
2021-10-17,0.84828
2021-10-18,9.91843
2021-10-19,10.38607
2021-10-20,10.92985
2021-10-21,9.07014
2021-10-22,9.52691
2021-10-23,0.80478
2021-10-24,0.72865
2021-10-25,9.34203
2021-10-26,9.32028
2021-10-27,8.70038
2021-10-28,9.94018
2021-10-29,9.16802
2021-10-30,0.90266
2021-10-31,0.72865
2021-11-01,10.42958
2021-11-02,10.3317
2021-11-03,17.05274
2021-11-04,18.42305
2021-11-05,12.88743
2021-11-06,1.13104
2021-11-07,1.22892
2021-11-08,12.0609
2021-11-09,10.71234
2021-11-10,9.55954
2021-11-11,8.99401
2021-11-12,9.86405
2021-11-13,0.68515
2021-11-14,0.83741
2021-11-15,10.11419
2021-11-16,9.41816
2021-11-17,8.79825
2021-11-18,12.36541
2021-11-19,10.81022
2021-11-20,0.73953
2021-11-21,0.68515
2021-11-22,11.02773
2021-11-23,10.65796
2021-11-24,8.89613
2021-11-25,7.55845
2021-11-26,7.96084
2021-11-27,1.16367
2021-11-28,0.6634
2021-11-29,9.2224
2021-11-30,9.60304
2021-12-01,11.54975
2021-12-02,9.3094
2021-12-03,12.35454
2021-12-04,0.88091
2021-12-05,1.41381
2021-12-06,16.98749
2021-12-07,12.66992
2021-12-08,11.32137
2021-12-09,11.29961
2021-12-10,9.10277
2021-12-11,1.01141
2021-12-12,0.84828
2021-12-13,14.43175
2021-12-14,51.49537
2021-12-15,64.1218
2021-12-16,40.0435
2021-12-17,32.71343
2021-12-18,4.6112
2021-12-19,3.94779
2021-12-20,27.51495
2021-12-21,24.6547
2021-12-22,22.08809
2021-12-23,24.33931
2021-12-24,19.52147
2021-12-25,2.66449
2021-12-26,2.38172
2021-12-27,17.94453
2021-12-28,13.90973
2021-12-29,14.82327
2021-12-30,12.41979
2021-12-31,2.84937
2022-01-01,0.80478
2022-01-02,1.21805
2022-01-03,11.70201
2022-01-04,12.40891
2022-01-05,10.72321
2022-01-06,10.42958
2022-01-07,11.29961
2022-01-08,1.02229
2022-01-09,0.6634
2022-01-10,9.65742
2022-01-11,9.29853
2022-01-12,9.59216
2022-01-13,8.59162
2022-01-14,7.83034
2022-01-15,0.90266
2022-01-16,0.68515
2022-01-17,8.58075
2022-01-18,7.79771
2022-01-19,8.0696
2022-01-20,8.74388
2022-01-21,8.04785
2022-01-22,0.6199
2022-01-23,0.5764
2022-01-24,7.33007
2022-01-25,7.26481
2022-01-26,9.67917
2022-01-27,8.36324
2022-01-28,8.55899
2022-01-29,0.7069
2022-01-30,0.6634
2022-01-31,0.65252
2022-02-01,0.48939
2022-02-02,0.67427
2022-02-03,10.60358
2022-02-04,8.72213
2022-02-05,1.07667
2022-02-06,0.85916
2022-02-07,16.28058
2022-02-08,14.68189
2022-02-09,41.3703
2022-02-10,32.73518
2022-02-11,23.49102
2022-02-12,3.66503
2022-02-13,3.87166
2022-02-14,18.83632
2022-02-15,26.43828
2022-02-16,24.04567
2022-02-17,35.78031
2022-02-18,29.27678
2022-02-19,4.11092
2022-02-20,6.16639
2022-02-21,48.86351
2022-02-22,38.45568
2022-02-23,33.70309
2022-02-24,29.18977
2022-02-25,23.34964
2022-02-26,5.10059
2022-02-27,3.44752
2022-02-28,20.77215
2022-03-01,3.71941
2022-03-02,23.46927
2022-03-03,21.09842
2022-03-04,18.11854
2022-03-05,2.59923
2022-03-06,2.882
2022-03-07,25.88363
2022-03-08,18.28167
2022-03-09,2.97988
2022-03-10,14.8994
2022-03-11,14.30125
2022-03-12,2.882
2022-03-13,2.51223
2022-03-14,13.61609
2022-03-15,15.44317
2022-03-16,25.15497
2022-03-17,27.23219
2022-03-18,25.70962
2022-03-19,5.61174
2022-03-20,3.82816
2022-03-21,20.52202
2022-03-22,19.73898
2022-03-23,26.26427
2022-03-24,19.33659
2022-03-25,17.87928
2022-03-26,3.73028
2022-03-27,2.99075
2022-03-28,17.7379
2022-03-29,15.66068
2022-03-30,15.83469
2022-03-31,13.09407
2022-04-01,12.1914
2022-04-02,2.4796
2022-04-03,1.96846
2022-04-04,14.43175
2022-04-05,13.14845
2022-04-06,11.91952
2022-04-07,11.56063
2022-04-08,12.00652
2022-04-09,1.7292
2022-04-10,1.3268
2022-04-11,10.22294
2022-04-12,9.01576
2022-04-13,11.70201
2022-04-14,13.36595
2022-04-15,11.5715
2022-04-16,1.27243
2022-04-17,1.16367
2022-04-18,10.85372
2022-04-19,11.38662
2022-04-20,9.51604
2022-04-21,8.49374
2022-04-22,7.87384
2022-04-23,0.82653
2022-04-24,0.78303
2022-04-25,7.34094
2022-04-26,7.96084
2022-04-27,7.16693
2022-04-28,7.56933
2022-04-29,7.14518
2022-04-30,0.92441
2022-05-01,0.83741
2022-05-02,6.46003
2022-05-03,5.91625
2022-05-04,5.08972
2022-05-05,0.77215
2022-05-06,4.71995
2022-05-07,0.60902
2022-05-08,0.46764
2022-05-09,5.63349
2022-05-10,5.63349
2022-05-11,5.39423
2022-05-12,5.45948
2022-05-13,7.23219
2022-05-14,0.90266
2022-05-15,0.7504
2022-05-16,6.93855
2022-05-17,6.56878
2022-05-18,6.40565
2022-05-19,5.10059
2022-05-20,5.7205
2022-05-21,0.64165
2022-05-22,0.41326
2022-05-23,5.54649
2022-05-24,4.92659
2022-05-25,4.32843
2022-05-26,4.44806
2022-05-27,4.70908
2022-05-28,0.47852
2022-05-29,0.35889
2022-05-30,5.01359
2022-05-31,5.02446
2022-06-01,0.71778
2022-06-02,4.86133
2022-06-03,3.86079
2022-06-04,0.47852
2022-06-05,0.59815
2022-06-06,0.51114
2022-06-07,5.3181
2022-06-08,4.27406
2022-06-09,4.56769
2022-06-10,6.81892
2022-06-11,0.34801
2022-06-12,0.44589
2022-06-13,4.77433
2022-06-14,5.53561
2022-06-15,5.87275
2022-06-16,5.10059
2022-06-17,5.26373
2022-06-18,0.64165
2022-06-19,0.43501
2022-06-20,4.90483
2022-06-21,5.2311
2022-06-22,5.94888
2022-06-23,4.93746
2022-06-24,5.55736
2022-06-25,0.53289
2022-06-26,0.42414
2022-06-27,6.07939
2022-06-28,5.12234
2022-06-29,5.68787
2022-06-30,4.48069
2022-07-01,4.23056
2022-07-02,0.47852
2022-07-03,0.28276
2022-07-04,4.44806
2022-07-05,6.44915
2022-07-06,6.69929
2022-07-07,9.03752
2022-07-08,7.78684
2022-07-09,0.97879
2022-07-10,0.81566
2022-07-11,13.48558
2022-07-12,20.39151
2022-07-13,17.48776
2022-07-14,13.1702
2022-07-15,16.53072
2022-07-16,2.28384
2022-07-17,2.41435
2022-07-18,17.99891
2022-07-19,17.58564
2022-07-20,15.05165
2022-07-21,13.52909
2022-07-22,9.90755
2022-07-23,1.22892
2022-07-24,0.90266
2022-07-25,8.6025
2022-07-26,9.43991
2022-07-27,8.91789
2022-07-28,7.88471
2022-07-29,7.05818
2022-07-30,0.71778
2022-07-31,0.51114
2022-08-01,6.4709
2022-08-02,5.33985
2022-08-03,10.49483
2022-08-04,11.33224
2022-08-05,9.25502
2022-08-06,0.85916
2022-08-07,0.6634
2022-08-08,11.00598
2022-08-09,9.1789
2022-08-10,8.10222
2022-08-11,7.09081
2022-08-12,6.98205
2022-08-13,0.59815
2022-08-14,0.53289
2022-08-15,1.00054
2022-08-16,7.77596
2022-08-17,8.01522
2022-08-18,6.92767
2022-08-19,8.35236
2022-08-20,0.69603
2022-08-21,0.71778
2022-08-22,6.43828
2022-08-23,6.50353
2022-08-24,6.55791
2022-08-25,6.56878
2022-08-26,6.10114
2022-08-27,0.60902
2022-08-28,0.69603
2022-08-29,5.47036
2022-08-30,5.82925
2022-08-31,5.2311
2022-09-01,4.52419
2022-09-02,5.29635
2022-09-03,0.47852
2022-09-04,0.43501
2022-09-05,4.27406
2022-09-06,4.92659
2022-09-07,4.93746
2022-09-08,4.82871
2022-09-09,0.5764
2022-09-10,0.28276
2022-09-11,0.40239
2022-09-12,0.38064
2022-09-13,5.851
2022-09-14,4.53507
2022-09-15,5.75312
2022-09-16,5.69874
2022-09-17,0.7069
2022-09-18,0.41326
2022-09-19,4.49157
2022-09-20,4.73083
2022-09-21,4.92659
2022-09-22,4.2088
2022-09-23,3.89342
2022-09-24,0.53289
2022-09-25,0.31538
2022-09-26,4.36106
2022-09-27,5.06797
2022-09-28,5.45948
2022-09-29,4.83958
2022-09-30,4.86133
2022-10-01,0.54377
2022-10-02,0.30451
2022-10-03,0.46764
2022-10-04,5.19847
2022-10-05,5.33985
2022-10-06,5.03534
2022-10-07,4.43719
2022-10-08,0.39151
2022-10-09,0.46764
2022-10-10,0.63077
2022-10-11,6.3404
2022-10-12,6.41653
2022-10-13,4.79608
2022-10-14,6.00326
2022-10-15,0.81566
2022-10-16,0.59815
2022-10-17,8.22185
2022-10-18,11.25611
2022-10-19,9.58129
2022-10-20,6.60141
2022-10-21,5.15497
2022-10-22,0.78303
2022-10-23,0.52202
2022-10-24,5.99238
2022-10-25,6.64491
2022-10-26,6.74279
2022-10-27,5.01359
2022-10-28,4.6112
2022-10-29,0.68515
2022-10-30,0.36976
2022-10-31,5.55736
2022-11-01,5.8945
2022-11-02,5.95976
2022-11-03,5.04622
2022-11-04,5.15497
2022-11-05,0.6199
2022-11-06,0.60902
2022-11-07,5.8075
2022-11-08,6.89505
2022-11-09,6.63404
2022-11-10,6.46003
2022-11-11,7.33007
2022-11-12,0.83741
2022-11-13,0.7504
2022-11-14,7.14518
2022-11-15,9.78792
2022-11-16,8.46112
2022-11-17,7.46057
2022-11-18,6.15551
2022-11-19,0.54377
2022-11-20,0.44589
2022-11-21,5.48123
2022-11-22,6.64491
2022-11-23,6.20989
2022-11-24,6.35127
2022-11-25,4.81783
2022-11-26,0.52202
2022-11-27,0.38064
2022-11-28,5.45948
2022-11-29,6.99293
2022-11-30,6.11201
2022-12-01,5.2311
2022-12-02,5.01359
2022-12-03,0.41326
2022-12-04,0.28276
2022-12-05,4.76345
2022-12-06,3.90429
2022-12-07,3.78466
2022-12-08,3.96954
2022-12-09,4.94834
2022-12-10,0.7504
2022-12-11,1.00054
2022-12-12,11.10386
2022-12-13,18.58618
2022-12-14,28.51549
2022-12-15,21.50081
2022-12-16,17.2485
2022-12-17,1.76182
2022-12-18,2.07721
2022-12-19,13.60522
2022-12-20,10.16856
2022-12-21,12.82218
2022-12-22,9.9293
2022-12-23,7.98259
2022-12-24,1.38118
2022-12-25,1.21805
2022-12-26,13.57259
2022-12-27,9.7553
2022-12-28,9.54866
2022-12-29,9.10277
2022-12-30,2.87112
2022-12-31,1.08754
2023-01-01,1.05492
2023-01-02,10.04893
2023-01-03,12.23491
2023-01-04,9.80967
2023-01-05,10.45133
2023-01-06,8.90701
2023-01-07,1.21805
2023-01-08,0.78303
2023-01-09,9.2659
2023-01-10,8.31973
2023-01-11,7.39532
2023-01-12,8.29798
2023-01-13,8.1566
2023-01-14,0.72865
2023-01-15,0.69603
2023-01-16,7.29744
2023-01-17,6.59053
2023-01-18,5.57911
2023-01-19,5.44861
2023-01-20,5.15497
2023-01-21,0.69603
2023-01-22,0.41326
2023-01-23,0.51114
2023-01-24,0.48939
2023-01-25,6.4709
2023-01-26,4.89396
2023-01-27,5.58999
2023-01-28,0.76128
2023-01-29,0.54377
2023-01-30,5.55736
2023-01-31,5.2311
2023-02-01,5.73137
2023-02-02,5.54649
2023-02-03,4.18705
2023-02-04,0.6634
2023-02-05,0.50027
2023-02-06,4.19793
2023-02-07,4.93746
2023-02-08,4.70908
2023-02-09,4.38281
2023-02-10,4.42631
2023-02-11,0.39151
2023-02-12,0.35889
2023-02-13,3.99129
2023-02-14,5.19847
2023-02-15,4.05655
2023-02-16,4.91571
2023-02-17,4.0348
2023-02-18,0.6199
2023-02-19,0.48939
2023-02-20,4.38281
2023-02-21,4.42631
2023-02-22,3.68678
2023-02-23,4.18705
2023-02-24,3.64328
2023-02-25,0.68515
2023-02-26,0.40239
2023-02-27,3.65415
2023-02-28,3.56715
2023-03-01,0.6199
2023-03-02,3.99129
2023-03-03,3.4584
2023-03-04,0.43501
2023-03-05,0.43501
2023-03-06,4.13268
2023-03-07,4.23056
2023-03-08,3.74116
2023-03-09,4.06742
2023-03-10,3.74116
2023-03-11,0.51114
2023-03-12,0.32626
2023-03-13,4.06742
2023-03-14,3.78466
2023-03-15,4.10005
2023-03-16,3.98042
2023-03-17,4.1653
2023-03-18,0.39151
2023-03-19,0.27188
2023-03-20,3.41489
2023-03-21,3.49102
2023-03-22,3.77379
2023-03-23,3.5454
2023-03-24,3.67591
2023-03-25,0.64165
2023-03-26,0.30451
2023-03-27,3.41489
2023-03-28,3.43665
2023-03-29,3.02338
2023-03-30,3.42577
2023-03-31,3.64328
2023-04-01,0.33713
2023-04-02,0.43501
2023-04-03,3.27351
2023-04-04,3.61065
2023-04-05,4.77433
2023-04-06,3.64328
2023-04-07,3.6324
2023-04-08,0.47852
2023-04-09,0.60902
2023-04-10,3.32789
2023-04-11,3.53452
2023-04-12,3.79554
2023-04-13,3.87166
2023-04-14,4.49157
2023-04-15,0.54377
2023-04-16,0.40239
2023-04-17,3.75203
2023-04-18,3.056
2023-04-19,3.33877
2023-04-20,3.53452
2023-04-21,3.23001
2023-04-22,0.40239
2023-04-23,0.32626
2023-04-24,3.42577
2023-04-25,3.75203
2023-04-26,5.51386
2023-04-27,3.81729
2023-04-28,3.11038
2023-04-29,0.46764
